#File generated by ModelExp v0.6.0
#Generated at 2018-12-14 14:04:53.857941
#Fit range: 0.03 .. 0.5

#[[Data]] p_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
3.536	7.0	3.536	0.5824385039909925
3.536	0.078	3.536	0.0
5.226000000000001	0.078	5.226000000000001	0.0
5.226000000000001	5.66	5.226000000000001	0.0
15.225999999999999	5.66	15.225999999999999	0.0
15.225999999999999	5.66	15.225999999999999	0.0
5.226000000000001	5.66	5.226000000000001	0.0
5.226000000000001	0.078	5.226000000000001	0.0
3.536	0.078	3.536	0.0
3.536	7.0	3.536	0.5824385039909925
0.0	7.0	0.0	0.5824385039909925
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
0.6799999999999999	7.0	0.6799999999999999	0.5824385039909925
0.6799999999999999	0.078	0.6799999999999999	0.0
2.37	0.078	2.37	0.0
2.37	5.66	2.37	0.0
12.370000000000001	5.66	12.370000000000001	0.0

#[[Data]] m_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
3.536	7.0	3.536	0.5824385039909925
3.536	0.078	3.536	0.0
5.226000000000001	0.078	5.226000000000001	0.0
5.226000000000001	5.66	5.226000000000001	0.0
15.225999999999999	5.66	15.225999999999999	0.0
15.225999999999999	5.66	15.225999999999999	0.0
5.226000000000001	5.66	5.226000000000001	0.0
5.226000000000001	0.078	5.226000000000001	0.0
3.536	0.078	3.536	0.0
3.536	7.0	3.536	0.5824385039909925
0.0	7.0	0.0	0.5824385039909925
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
0.6799999999999999	7.0	0.6799999999999999	0.5824385039909925
0.6799999999999999	0.078	0.6799999999999999	0.0
2.37	0.078	2.37	0.0
2.37	5.66	2.37	0.0
12.370000000000001	5.66	12.370000000000001	0.0

#[[Data]] p_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
3.536	7.0	3.536	0.5824385039909925
3.536	0.078	3.536	0.0
5.226000000000001	0.078	5.226000000000001	0.0
5.226000000000001	5.66	5.226000000000001	0.0
15.225999999999999	5.66	15.225999999999999	0.0
15.225999999999999	5.66	15.225999999999999	0.0
5.226000000000001	5.66	5.226000000000001	0.0
5.226000000000001	0.078	5.226000000000001	0.0
3.536	0.078	3.536	0.0
3.536	7.0	3.536	0.5824385039909925
0.0	7.0	0.0	0.5824385039909925
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
0.6799999999999999	7.0	0.6799999999999999	0.5824385039909925
0.6799999999999999	0.078	0.6799999999999999	0.0
2.37	0.078	2.37	0.0
2.37	5.66	2.37	0.0
12.370000000000001	5.66	12.370000000000001	0.0

#[[Data]] m_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
3.536	7.0	3.536	0.5824385039909925
3.536	0.078	3.536	0.0
5.226000000000001	0.078	5.226000000000001	0.0
5.226000000000001	5.66	5.226000000000001	0.0
15.225999999999999	5.66	15.225999999999999	0.0
15.225999999999999	5.66	15.225999999999999	0.0
5.226000000000001	5.66	5.226000000000001	0.0
5.226000000000001	0.078	5.226000000000001	0.0
3.536	0.078	3.536	0.0
3.536	7.0	3.536	0.5824385039909925
0.0	7.0	0.0	0.5824385039909925
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	8.34	0.0	0.0
0.0	7.0	0.0	0.5824385039909925
0.6799999999999999	7.0	0.6799999999999999	0.5824385039909925
0.6799999999999999	0.078	0.6799999999999999	0.0
2.37	0.078	2.37	0.0
2.37	5.66	2.37	0.0
12.370000000000001	5.66	12.370000000000001	0.0
