#File generated by ModelExp v0.3.0
#Read datafile: PMK18_20muL_4cmTeflonPara_BGLinSub_rescale.xye
#Started Fit at 2018-07-19 20:27:20.656888
#Finished Fit at 2018-07-19 20:27:20.693604
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 17
#    # data points      = 352
#    # variables        = 3
#    chi-square         = 11508.1859
#    reduced chi-square = 32.9747448
#    Akaike info crit   = 1233.48831
#    Bayesian info crit = 1245.07921
#[[Variables]]
#    Ms:     180.300000 +/- 0.26222575 (0.15%) (init = 183)
#    mu:     12750.0000 +/- 33.3665109 (0.26%) (init = 12400)
#    chi:    13.8000000 +/- 0.22724307 (1.65%) (init = 12.2)
#    sigMu:  0 (fixed)
#    T:      298.25 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.907
#    C(Ms, mu)  = -0.834
#    C(mu, chi) =  0.718

#0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-1.9001	-201.34967388593998	-0.19334048601827886	-203.21688504872316
-1.8004	-200.83771169177027	-0.1926865338131596	-201.65803340984164
-1.8001	-201.15310136830107	-0.19268461597031314	-201.65331219436635
-1.7004	-199.0058934567659	-0.1920639522308396	-200.072935398188
-1.7001	-199.0391621282347	-0.1920621350490455	-200.06814380394027
-1.6003	-197.52734285764527	-0.19147451257470202	-198.46058138166524
-1.5999	-198.72557635589655	-0.1914722253602657	-198.45408043070123
-1.5003	-196.71608269898076	-0.1909197047566492	-196.81906311076378
-1.5	-196.6356509360929	-0.19091809182795846	-196.8140860953859
-1.4003	-195.57425275833643	-0.1903992204635839	-195.1401930908226
-1.3999	-195.10678737510275	-0.1903972078318222	-195.13339187161858
-1.3003	-193.92289997723412	-0.1899133419010963	-193.4153536761354
-1.3	-193.8686147113404	-0.18991193660127356	-193.4100993408299
-1.2002	-192.2391897845965	-0.18946190184145043	-191.63123953930915
-1.2	-192.0609493624449	-0.1894610350099639	-191.62760761923238
-1.1002	-189.91247553141022	-0.18904605204374864	-189.7757332258488
-1.1	-190.17279219642606	-0.18904525569443767	-189.77193558461713
-1.0001	-188.77382274107532	-0.18866519355454922	-187.82313696738214
-0.9999	-189.0842879755338	-0.1886644682052584	-187.81912119319816
-0.9501	-187.26319985007802	-0.18848828893251354	-186.80273790240906
-0.9499	-187.77235356719407	-0.18848759920401725	-186.79858646286857
-0.9001	-186.4944544174597	-0.18832030179449546	-185.7456319087644
-0.8999	-186.95050745113463	-0.18831964778468432	-185.7413215702621
-0.8501	-185.1535220285779	-0.1881612560246264	-184.6453420551451
-0.8499	-185.49268629532546	-0.1881606378266529	-184.64084395938212
-0.8	-183.77264641624063	-0.1880108831475687	-183.49141142884858
-0.7999	-184.64797063791062	-0.18801059201664702	-183.48905023262765
-0.7501	-182.77363235488727	-0.18787007814697707	-182.28066828566705
-0.7499	-182.85024531842774	-0.18786953183286365	-182.27567579821158
-0.7001	-181.74379299179526	-0.18773798778175493	-180.99284570929703
-0.6999	-182.26658622295497	-0.1877374775298757	-180.98752290481335
-0.6501	-180.2146353091113	-0.18761492224038437	-179.6130645763404
-0.6499	-181.02729624009697	-0.18761444812432174	-179.60733232971054
-0.6	-178.79433589590818	-0.1875006803191322	-178.11521523846514
-0.5999	-178.95782695862687	-0.1875004613814031	-178.11209081693468
-0.55	-177.13618204204985	-0.18739573460599246	-176.47387116924122
-0.5498	-177.2204181860421	-0.18739533303473094	-176.46695833954658
-0.5	-174.58563028442146	-0.187299863252576	-174.64225828627966
-0.4999	-175.49589408316214	-0.18729968061191518	-174.63836623552743
-0.45	-173.162748705683	-0.18721308019975474	-172.55695365344013
-0.4498	-173.53834729076627	-0.187212751334246	-172.54798954214942
-0.3999	-170.00925942711572	-0.18713525185421315	-170.11751762035613
-0.3998	-170.46564504072214	-0.18713510565339272	-170.1122103813524
-0.3499	-167.1915974054218	-0.18706670026342193	-167.1838625823743
-0.3498	-167.46431668608443	-0.18706657229768947	-167.17735258109465
-0.3	-163.02343291389656	-0.1870073807458146	-163.51044234756145
-0.2998	-163.42631052706713	-0.18700716128544084	-163.49372013011015
-0.25	-157.9777842995733	-0.18695706423396827	-158.63472625668555
-0.2498	-158.23047778413738	-0.1869568813133207	-158.61186020551548
-0.1999	-149.95999589066574	-0.18691581290878612	-151.65228594463258
-0.1997	-151.03830971298356	-0.1869156666278431	-151.61811173543455
-0.1499	-139.4140731062525	-0.18688379749562412	-140.54737099148676
-0.1497	-139.92330156043178	-0.18688368780274595	-140.48941010652783
-0.1	-119.09556556258114	-0.1868609678153741	-120.05069829348933
-0.0999	-119.13772100310888	-0.18686093121610664	-119.99316604036382
-0.0974	-117.46759053486431	-0.1868600281328621	-118.52614688648498
