[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28645341.55,11/28/2018,9:03 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Maghemite,SAMPLE_MATERIAL
INFO,Oleate Iron Spheres,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28645358.98,9.9948111,-0.182685270905495,,,2,,,,28.4299997961521,,,,,,,9.9948111,9.9948111,-0.182685270905495,-0.182685270905495,,,12.278775,,,,-99999999,4369,9.9933,-0.182685270905495,,,,,,,,,,,,,,,,,,,,,,,9.9948111,,,,
,28645531.585,10.030076,-0.068506982177496,-0.000559192718036302,2.16960847200023E-6,1,0.999253354069792,40.0298881530762,2.00669817059448,28.4199994057417,-0.00629029595607167,-0.00124131190545921,0.25,-1.06779938297216E-5,-0.000555928896837451,-1.33119230040898E-5,10.030076,10.030076,-0.0761188715696335,-0.0608950927853584,57.0127658212176,20.9253804273971,12.278775,0,0,0,40,4417,9.90365,-0.068506982177496,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.030076,,,,
,28645550.985,10.0321131,32.0128116607666,-0.000477048745652016,6.09256536217796E-6,1,0.999253354069792,40.0298881530762,2.00548163722205,28.4199994057417,-0.00536563432976116,-0.00104446544841607,0.25,-7.87782294946954E-6,-0.000474270601213095,-1.01322688565741E-5,10.0321131,10.0321131,30.0668334960937,33.9587898254395,57.4270289364099,20.9382695092222,12.278775,0,0,0,40,4449,9.9113,32.0128116607666,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0321131,,,,
,28645553.19,10.029767,135.112007141113,-0.00012814160596438,8.22580931272099E-6,1,0.999253354069792,40.0298881530762,2.005882001426,28.4199994057417,-0.00148868443133024,-1.52319276227316E-5,0.25,2.14050426791471E-5,-0.000127509195889007,2.06639855241831E-5,10.029767,10.029767,132.380935668945,137.843078613281,57.6232176947369,20.9352938155247,12.278775,0,0,0,40,4449,9.9143,135.112007141113,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.029767,,,,
,28645555.33,10.0296421,242.237358093262,0.000301277124989022,1.14567629381373E-5,1,0.999253354069792,40.0298881530762,2.00654334506097,28.4199994057417,0.00330891014256827,0.00111865540866114,0.25,4.56140612821404E-5,0.000299328317834475,4.68070232271246E-5,10.0296421,10.0296421,237.316696166992,247.158020019531,57.291807202583,20.927047193735,12.658426,0,0,0,40,4449,9.9115,242.237358093262,,,,,,,,,,,,,0,,,,0,,,,,,10.0296421,,,,
,28645557.245,10.0283804,336.638565063477,0.000793356959447204,1.23841078574159E-5,1,0.999253354069792,40.0298881530762,2.00674579403742,28.4299999475479,0.00880098495716525,0.00245770549500004,0.25,7.68476046454566E-5,0.000788436499033756,8.02407949455832E-5,10.0283804,10.0283804,331.469787597656,341.807342529297,57.0878021590637,20.9194439004398,12.278775,0,0,0,40,4449,9.91125,336.638565063477,,,,,,,,,,,,,0,,,,0,,,,,,10.0283804,,,,
,28645559.35,10.0262098,444.005081176758,0.00136250761024917,1.38254874644093E-5,1,0.999253354069792,40.0298881530762,2.0071317787233,28.4199994057417,0.0151441933014247,0.00407190382196727,0.25,0.000118707575132465,0.00135412649953386,0.00012461830627736,10.0262098,10.0262098,436.203765869141,451.806396484375,57.4004535667561,20.9201248004216,12.278775,0,0,0,40,4449,9.9109,444.005081176758,,,,,,,,,,,,,0,,,,0,,,,,,10.0262098,,,,
,28645561.57,10.0237484,554.072143554687,0.00200777389580041,1.57043732721938E-5,1,0.999253354069792,40.0298881530762,2.00650428113563,28.4199994057417,0.0223264246956864,0.00590452801206451,0.25,0.000166585412068216,0.00199547215069506,0.000175354543128555,10.0237484,10.0237484,546.66015625,561.484130859375,57.4012351952753,20.9321350605169,12.278775,0,0,0,40,4449,9.9061,554.072143554687,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0237484,,,,
,28645563.87,10.0200272,668.999206542969,0.00311560964925831,1.84984993766389E-5,1,0.999253354069792,40.0298881530762,2.00652763672162,28.4199994057417,0.0346647375888594,0.00905762064830108,0.25,0.000249180630913901,0.00309657919800907,0.000262860816233746,10.0200272,10.0200272,656.600891113281,681.397521972656,57.3176009437176,20.9253309393121,12.278775,0,0,0,40,4449,9.90375,668.999206542969,,,,,,,,,,,,,0,,,,0,,,,,,10.0200272,,,,
,28645565.89,10.0200272,771.073944091797,0.00391579394342573,2.04039886601619E-5,1,0.999253354069792,40.0298881530762,2.00667902283715,28.4299999475479,0.043603517645862,0.0112018072014018,0.25,0.000296948192555815,0.00389197071483529,0.000314256654589416,10.0200272,10.0200272,761.184020996094,780.9638671875,57.3183825722368,20.9226924664855,12.278775,0,0,0,40,4449,9.90565,771.073944091797,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0200272,,,,
