#File generated by ModelExp v0.3.1
#Read datafile: kwi338_BGLinSub_rescale.xye
#Started Fit at 2018-07-20 16:39:54.669700
#Finished Fit at 2018-07-20 16:39:54.700777
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 13
#    # data points      = 352
#    # variables        = 3
#    chi-square         = 10024.3861
#    reduced chi-square = 28.7231692
#    Akaike info crit   = 1184.89898
#    Bayesian info crit = 1196.48988
#[[Variables]]
#    Ms:     168.000000 +/- 1.40934484 (0.84%) (init = 212.8)
#    mu:     3771.75223 +/- 43.5322834 (1.15%) (init = 3770)
#    chi:    10.1600000 +/- 0.90823060 (8.94%) (init = 12.88)
#    sigMu:  0 (fixed)
#    T:      298.25 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.957
#    C(Ms, mu)  = -0.866
#    C(mu, chi) =  0.762

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-1.8996	-176.64853315664985	-0.5086209215741103	-176.88875556601053
-1.8	-175.56262843213864	-0.5086209215741103	-175.30073424867732
-1.7997	-175.37767600213013	-0.5086209215741103	-175.29585473246613
-1.7	-173.64756285434834	-0.5086209215741103	-173.63842449867704
-1.6997	-173.3536637923092	-0.5086209215741103	-173.6333231524103
-1.6	-169.64064708587233	-0.5086209215741103	-171.89532603026808
-1.5996	-172.2201255384151	-0.5086209215741103	-171.8881710890438
-1.5	-170.64668587049357	-0.5086209215741103	-170.05528110126744
-1.4997	-170.6674247168029	-0.5086209215741103	-170.04959563000756
-1.3999	-166.61074562567526	-0.5086209215741103	-168.09549037162554
-1.3997	-168.56522324100806	-0.5086209215741103	-168.0914397257345
-1.3	-159.51888135747254	-0.5086209215741103	-165.99486289182406
-1.2998	-166.84588107771896	-0.5086209215741103	-165.99049004934184
-1.2	-164.81525477249176	-0.5086209215741103	-163.71110184318064
-1.1998	-164.93771238005363	-0.5086209215741103	-163.7063225704641
-1.1	-162.40466524228628	-0.5086209215741103	-161.19684043250857
-1.0998	-163.14056240542396	-0.5086209215741103	-161.1915389082284
-0.9999	-159.9535894867235	-0.5086209215741103	-158.37994182478477
-0.9997	-159.51345945844858	-0.5086209215741103	-158.37395287436664
-0.9499	-157.72897312752423	-0.5086209215741103	-156.83084812153584
-0.9498	-158.00299773523147	-0.5086209215741103	-156.82764011932883
-0.8999	-154.65747241664877	-0.5086209215741103	-155.16608761809337
-0.8998	-156.13138464044152	-0.5086209215741103	-155.16262932034005
-0.8499	-154.90841580693498	-0.5086209215741103	-153.3652754359766
-0.8498	-154.08840698475478	-0.5086209215741103	-153.36152146391098
-0.7999	-140.70151450134264	-0.5086209215741103	-151.40296658769574
-0.7998	-153.01179890764044	-0.5086209215741103	-151.39885997605418
-0.7499	-148.63860501701723	-0.5086209215741103	-149.24701446637187
-0.7498	-150.45508360390858	-0.5086209215741103	-149.24248280883126
-0.7	-146.05400711436465	-0.5086209215741103	-146.86132956566323
-0.6998	-146.2864773927793	-0.5086209215741103	-146.85123080558756
-0.65	-143.47233886822033	-0.5086209215741103	-144.1831008089564
-0.6498	-144.87045640228013	-0.5086209215741103	-144.17172229249093
-0.6	-140.77752281186267	-0.5086209215741103	-141.1467723928817
-0.5998	-132.47064454136685	-0.5086209215741103	-141.13379224780056
-0.5499	-136.0462394476144	-0.5086209215741103	-137.65156501534346
-0.5498	-136.3836382221498	-0.5086209215741103	-137.64405764158167
-0.5	-132.68309550030835	-0.5086209215741103	-133.59458723488046
-0.4999	-133.4479189524978	-0.5086209215741103	-133.58577573586697
-0.4499	-126.73924968660899	-0.5086209215741103	-128.7732209787736
-0.4498	-127.85392295349394	-0.5086209215741103	-128.76270601541918
-0.3999	-122.01953236211732	-0.5086209215741103	-122.98480949860962
-0.3997	-122.24053832495969	-0.5086209215741103	-122.95931563898445
-0.3499	-107.5333167912333	-0.5086209215741103	-115.91553112346236
-0.3498	-115.48434352015903	-0.5086209215741103	-115.89986148586702
-0.3	-106.17954082911638	-0.5086209215741103	-107.19210514820551
-0.2998	-105.3034209468681	-0.5086209215741103	-107.15317595452699
-0.25	-95.52684183381015	-0.5086209215741103	-96.30695624727765
-0.2498	-95.2900075878884	-0.5086209215741103	-96.25842225129351
-0.1999	-80.50081670644113	-0.5086209215741103	-82.74270214232693
-0.1998	-81.74323520398863	-0.5086209215741103	-82.71266045787056
-0.1499	-66.24097813533133	-0.5086209215741103	-66.14716322342943
-0.1498	-65.16769643904408	-0.5086209215741103	-66.11077001135281
-0.1	-46.490169819091754	-0.5086209215741103	-46.444479974462354
-0.0999	-46.52438983469525	-0.5086209215741103	-46.40203981030071
-0.0974	-45.84726280180364	-0.5086209215741103	-45.33747668848677
-0.0974	-45.64486219227244	-0.5086209215741103	-45.33747668848677
-0.0949	-44.358427640171904	-0.5086209215741103	-44.26613875300065
-0.0949	-44.283701054374234	-0.5086209215741103	-44.26613875300065
-0.0924	-43.254699895519224	-0.5086209215741103	-43.188131527134544
-0.0924	-43.686508885517206	-0.5086209215741103	-43.188131527134544
-0.0899	-42.464425052414235	-0.5086209215741103	-42.10356498556376
-0.0899	-42.1229471380878	-0.5086209215741103	-42.10356498556376
-0.0874	-41.19462240444917	-0.5086209215741103	-41.012553539664644
-0.0874	-41.33060729404122	-0.5086209215741103	-41.012553539664644
-0.0849	-37.29460872958478	-0.5086209215741103	-39.91521601690903
-0.0849	-40.0016215156418	-0.5086209215741103	-39.91521601690903
-0.0824	-39.02039003374103	-0.5086209215741103	-38.8116756342373
-0.0824	-39.224855644213825	-0.5086209215741103	-38.8116756342373
-0.0799	-38.026676994424825	-0.5086209215741103	-37.702059965325965
-0.0799	-38.03184458298802	-0.5086209215741103	-37.702059965325965
-0.0774	-36.78487901440163	-0.5086209215741103	-36.586500901679884
-0.0774	-37.05890362210891	-0.5086209215741103	-36.586500901679884
-0.0749	-33.687214843320405	-0.5086209215741103	-35.46513460748968
-0.0749	-35.5794169130157	-0.5086209215741103	-35.46513460748968
-0.0724	-34.740365323531755	-0.5086209215741103	-34.33810146821015
-0.0724	-34.48297261995996	-0.5086209215741103	-34.33810146821015
-0.0699	-33.7051488170151	-0.5086209215741103	-33.20554603283155
-0.0699	-33.288913799635715	-0.5086209215741103	-33.20554603283155
-0.0674	-32.384463732055764	-0.5086209215741103	-32.06761694982705
-0.0674	-29.970080907017195	-0.5086209215741103	-32.06761694982705
-0.0649	-30.49706304386013	-0.5086209215741103	-30.924466896778878
-0.0649	-31.272435293963	-0.5086209215741103	-30.924466896778878
-0.0624	-29.511589663473426	-0.5086209215741103	-29.776252503697112
-0.0624	-29.456577224595968	-0.5086209215741103	-29.776252503697112
-0.0599	-29.163499677166538	-0.5086209215741103	-28.623134270065666
-0.0599	-27.82658958480899	-0.5086209215741103	-28.623134270065666
-0.0574	-25.845775578157046	-0.5086209215741103	-27.465276475661756
-0.0574	-27.916523936161724	-0.5086209215741103	-27.465276475661756
-0.0549	-26.892690365869903	-0.5086209215741103	-26.302847085215443
-0.0549	-25.68972050699968	-0.5086209215741103	-26.302847085215443
-0.0524	-23.46911208066241	-0.5086209215741103	-25.136017646988652
-0.0524	-25.242998751581137	-0.5086209215741103	-25.136017646988652
-0.0499	-22.82416040726957	-0.5086209215741103	-23.964963185373623
-0.0499	-23.957622130997475	-0.5086209215741103	-23.964963185373623
-0.0474	-23.477707774237007	-0.5086209215741103	-22.789862087623682
-0.0474	-22.962871505001264	-0.5086209215741103	-22.789862087623682
-0.0449	-21.713830763054855	-0.5086209215741103	-21.610895984848366
-0.0449	-21.660893497537426	-0.5086209215741103	-21.610895984848366
-0.0424	-21.05642804950189	-0.5086209215741103	-20.428249627420374
-0.0424	-20.586228352343486	-0.5086209215741103	-20.428249627420374
-0.0399	-19.82501610869724	-0.5086209215741103	-19.242110754956247
-0.0399	-19.43785386319503	-0.5086209215741103	-19.242110754956247
-0.0374	-18.09538963037389	-0.5086209215741103	-18.052669961054256
-0.0374	-18.586341061132515	-0.5086209215741103	-18.052669961054256
-0.0349	-16.422850764288018	-0.5086209215741103	-16.860120552980174
-0.0349	-17.382964305525032	-0.5086209215741103	-16.860120552980174
-0.0324	-15.83394911645265	-0.5086209215741103	-15.66465840651429
-0.0324	-16.014540060866754	-0.5086209215741103	-15.66465840651429
-0.0299	-14.755082762446511	-0.5086209215741103	-14.466481816184078
-0.0299	-15.050927207689305	-0.5086209215741103	-14.466481816184078
-0.0274	-13.282864246322601	-0.5086209215741103	-13.265791341120197
-0.0274	-13.264195824017145	-0.5086209215741103	-13.265791341120197
-0.0249	-12.021363309039472	-0.5086209215741103	-12.062789646791488
-0.0249	-11.67156333919425	-0.5086209215741103	-12.062789646791488
-0.0224	-11.247693921782032	-0.5086209215741103	-10.857681342881989
-0.0224	-10.99339668513894	-0.5086209215741103	-10.857681342881989
-0.0199	-10.126308893215983	-0.5086209215741103	-9.650672817587234
-0.0198	-9.554386028984604	-0.5086209215741103	-9.602355888779552
-0.0174	-8.000189009963222	-0.5086209215741103	-8.441972068622272
-0.0174	-8.663461208951157	-0.5086209215741103	-8.441972068622272
-0.0149	-7.224432242443644	-0.5086209215741103	-7.2317885312389905
-0.0149	-7.432035026760706	-0.5086209215741103	-7.2317885312389905
-0.0124	-5.846673786632635	-0.5086209215741103	-6.020332903557116
-0.0124	-6.676010716514517	-0.5086209215741103	-6.020332903557116
-0.0099	-5.019039719596184	-0.5086209215741103	-4.807816969535425
-0.0098	-4.630823611544469	-0.5086209215741103	-4.759297283394497
-0.0074	-3.4679300295687563	-0.5086209215741103	-3.5944534199055695
-0.0074	-4.154038290693525	-0.5086209215741103	-3.5944534199055695
-0.0049	-2.8427006410308793	-0.5086209215741103	-2.380455671391286
-0.0049	-2.2022736593563677	-0.5086209215741103	-2.380455671391286
-0.004	-2.0682418741031583	-0.5086209215741103	-1.9433024207415353
