[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,29125267.50,12/04/2018,10:22 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Iron Oxide Spheres,SAMPLE_MATERIAL
INFO,10 nm diameter, collaboration Mainz,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29125283.05,150.3127136,-0.19790905714035,,,2,,,,17.5400001248717,,,,,,,150.3127136,150.3127136,-0.19790905714035,-0.19790905714035,,,24.427608,,,,-99999999,4369,150.1602,-0.19790905714035,,,,,,,,,,,,,,,,,,,,,,,150.3127136,,,,
sample offset = 34.96 mm touchdown = 11.3300001248717 mm,29125323.065,150.2817383,-0.0989545248448849,-1.12363926063994E-5,3.56790078866174E-7,1,0.999253354069792,40.0298881530762,2.00885773845157,17.5299998372793,-0.000127575537449505,-2.70262890866311E-5,0.25,-4.07722008142876E-7,-1.12906862374931E-5,-4.27732154798308E-7,150.2817383,150.2817383,-0.106566414237022,-0.0913426354527473,56.0669953129482,20.5428617278731,24.047956,0,0,0,40,4417,150.06505,-0.0989545248448849,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.2817383,,,,
,29125341.685,150.2652893,36.7915267944336,-1.99672501873445E-6,7.94685564355122E-7,1,0.999253354069792,40.0298881530762,2.00874212930669,17.5299998372793,-2.18942572864176E-5,-9.25005888359826E-6,0.25,-4.61734352118088E-7,-2.0057492941995E-6,-4.6719518036378E-7,150.2652893,150.2652893,34.7267189025879,38.8563346862793,56.4773502855444,20.5457187705579,24.427608,0,0,0,40,4449,150.026,36.7915267944336,,,,,,,,,,,,,0,,,,0,,,,,,150.2652893,,,,
,29125343.6,150.2627258,127.914169311523,4.15032213303638E-5,8.42441448999082E-7,1,0.999253354069792,40.0298881530762,2.00871084501948,17.5299998372793,0.00047432269944337,8.18131990547353E-5,0.25,-6.99746020645982E-8,4.17063062493782E-5,-3.74594756081501E-9,150.2627258,150.2627258,122.570053100586,133.258285522461,56.1185827952175,20.5474458136435,24.427608,0,0,0,40,4449,150.0244,127.914169311523,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2627258,,,,
,29125345.655,150.2596283,229.798828125,6.95548968056838E-5,5.71812039840077E-7,1,0.999253354069792,40.0298881530762,2.0087175109211,17.5299998372793,0.0007946901389581,0.000138406740552379,0.25,-3.81649133889932E-9,6.98950689028632E-5,1.0773171412158E-7,150.2596283,150.2596283,227.162155151367,232.435501098633,56.3984058051021,20.5467808310845,24.427608,0,0,0,40,4449,150.0209,229.798828125,,,,,,,,,,,,,0,,,,-0.0098,,,,,,150.2596283,,,,
,29125347.655,150.2565613,331.787948608398,8.53290618441422E-5,4.92071800467253E-7,1,0.999253354069792,40.0298881530762,2.00864811167274,17.5299998372793,0.000974784389517755,0.000170360061189755,0.25,4.52067414319039E-8,8.57463071709082E-5,1.82300372712445E-7,150.2565613,150.2565613,326.618225097656,336.957672119141,56.3210245816983,20.5481165489263,24.427608,0,0,0,40,4449,150.0156,331.787948608398,,,,,,,,,,,,,0,,,,0,,,,,,150.2565613,,,,
,29125349.735,150.2565613,434.474624633789,9.56458300781854E-5,4.4578029935918E-7,1,0.999253354069792,40.0298881530762,2.00875367026624,17.5299998372793,0.00109194488584342,0.00019527911333399,0.25,4.28076269051012E-7,9.61129178992266E-5,5.83588668782669E-7,150.2565613,150.2565613,432.183013916016,436.766235351562,56.3546346080252,20.5477595932126,23.668306,0,0,0,40,4449,150.0145,434.474624633789,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.2565613,,,,
,29125352.255,150.2536621,561.748474121094,0.000105999170492486,4.10515870208442E-7,1,0.999253354069792,40.0298881530762,2.00869869847452,17.5299998372793,0.00121081332574479,0.000212390702382536,0.25,1.22460747175086E-7,0.000106517391553701,2.93088507253477E-7,150.2536621,150.2536621,551.837280273438,571.65966796875,56.3976241765829,20.5476355960316,24.427608,0,0,0,40,4449,150.0092,561.748474121094,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2536621,,,,
,29125354.905,150.2514038,691.125854492188,0.000112888819407661,4.25700541293868E-7,1,0.999253354069792,40.0298881530762,2.00872867285261,17.5299998372793,0.00129001132821713,0.000223443020755413,0.25,-1.10775109791787E-7,0.000113441117053684,6.97651936097E-8,150.2514038,150.2514038,681.400146484375,700.8515625,56.2835064127752,20.5467776988063,24.427608,0,0,0,40,4449,150.0044,691.125854492188,,,,,,,,,,,,,0,,,,0,,,,,,150.2514038,,,,
,29125357.025,150.2483368,798.777557373047,0.00011630803797293,3.47934992301409E-7,1,0.999253354069792,40.0298881530762,2.00864538856749,17.5299998372793,0.0013281502547304,0.000235258310248194,0.25,3.28467564253886E-7,0.00011687636341139,5.1664306245613E-7,150.2483368,150.2483368,791.558837890625,805.996276855469,56.3460366943136,20.5472214671697,24.427608,0,0,0,40,4449,149.99995,798.777557373047,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.2483368,,,,
,29125359.13,150.2449341,903.252471923828,0.000118963487960222,4.26562899479836E-7,1,0.999253354069792,40.0298881530762,2.00872870379259,17.5299998372793,0.00135884632636042,0.000238808293322702,0.25,1.75729846516369E-7,0.000119545057868087,3.67415756080596E-7,150.2449341,150.2449341,895.539916992188,910.965026855469,56.2811615272175,20.5489597668813,24.047956,0,0,0,40,4449,149.9979,903.252471923828,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2449341,,,,
,29125361.615,150.2428741,1028.03350830078,0.000121339695907205,3.78010730519295E-7,1,0.999253354069792,40.0298881530762,2.00861166403947,17.5299998372793,0.00138610002719628,0.000242481854689505,0.25,8.44540066535027E-8,0.00012193304211145,2.7950160399367E-7,150.2428741,150.2428741,1025.45520019531,1030.61181640625,56.5179949685444,20.5489856215506,24.427608,0,0,0,40,4449,149.9958,1028.03350830078,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2428741,,,,
,29125363.945,150.2401428,1142.67639160156,0.000123639403299815,3.61857139724896E-7,1,0.999253354069792,40.0298881530762,2.00860900336237,17.5299998372793,0.0014115734449455,0.000251641347727729,0.25,4.8555302022191E-7,0.000124243364166747,6.86249156384577E-7,150.2401428,150.2401428,1140.29626464844,1145.05651855469,56.262402442756,20.5480662473804,24.427608,0,0,0,40,4449,149.9932,1142.67639160156,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2401428,,,,
,29125366.225,150.2372742,1254.96600341797,0.000126151798338129,3.71937689929695E-7,1,0.999253354069792,40.0298881530762,2.00871761866212,17.5299998372793,0.00144069597168038,0.000254675934287864,0.25,3.12304327459616E-7,0.000126768335246605,5.16185612758083E-7,150.2372742,150.2372742,1245.03100585938,1264.90100097656,56.4382688595829,20.5489493805106,24.427608,0,0,0,40,4449,149.9882,1254.96600341797,,,,,,,,,,,,,0,,,,0,,,,,,150.2372742,,,,
,29125368.685,150.2333374,1376.84771728516,0.000127440802481101,2.87109091357665E-7,1,0.999253354069792,40.0298881530762,2.00869815966383,17.5299998372793,0.00145599216651847,0.00025389731817302,0.25,1.97907993233192E-8,0.000128064128436272,2.24304983946207E-7,150.2333374,150.2333374,1374.13610839844,1379.55932617188,56.4710972573906,20.5495223968685,23.668306,0,0,0,40,4449,149.9861,1376.84771728516,,,,,,,,,,,,,0,,,,0,,,,,,150.2333374,,,,
,29125370.725,150.2321167,1479.32220458984,0.000128592586090373,2.92341863488573E-7,1,0.999253354069792,40.0298881530762,2.00873117032587,17.5299998372793,0.00146909590087816,0.000256645396081656,0.25,5.93000544074711E-8,0.000129221486475192,2.65856775674103E-7,150.230896,150.2333374,1474.41662597656,1484.22778320313,56.4327974599483,20.5496996003657,24.427608,0,0,0,40,4449,149.9817,1479.32220458984,,,,,,,,,,,,,0,,,,0,,,,,,150.2321167,,,,
,29125373.215,150.2298355,1606.275390625,0.000130345031671255,3.61464068175018E-7,1,0.999253354069792,40.0298881530762,2.00871994552018,17.5299998372793,0.00148884318721181,0.000261665774954204,0.25,1.9351512404723E-7,0.000130982296990868,4.03539520312767E-7,150.228775,150.230896,1594.10803222656,1618.44274902344,56.2717819849867,20.5497270249359,24.427608,0,0,0,40,4449,149.9772,1606.275390625,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2298355,,,,
,29125375.555,150.228775,1720.83679199219,0.000130710848030096,3.15166035001069E-7,1,0.999253354069792,40.0298881530762,2.00870719596458,17.5299998372793,0.00149302673869921,0.000262317823443448,0.25,1.86992771169489E-7,0.000131349917450182,3.97570431989259E-7,150.228775,150.228775,1708.45190429687,1733.2216796875,56.4241995462367,20.5508783235325,24.427608,0,0,0,40,4449,149.97395,1720.83679199219,,,,,,,,,,,,,0,,,,0,,,,,,150.228775,,,,
,29125377.695,150.2263336,1828.14367675781,0.00013127604219074,3.33975837593221E-7,1,0.999253354069792,40.0298881530762,2.00868862420499,17.5299998372793,0.00149994700441689,0.000260708835477636,0.25,-5.21037540815994E-8,0.000131918268876839,1.58210579022349E-7,150.2263336,150.2263336,1823.00048828125,1833.28686523438,56.5859966497175,20.5512475990204,24.427608,0,0,0,40,4449,149.9703,1828.14367675781,,,,,,,,,,,,,0,,,,0,,,,,,150.2263336,,,,
,29125378.515,150.2247772,1868.23474121094,0.000132367592412131,3.16305397395655E-7,1,0.999253354069792,40.0298881530762,2.008714230179,17.5299998372793,0.00151178472096587,0.000266626133833656,0.25,2.75363726875281E-7,0.000133014639631417,4.89027985344569E-7,150.2232208,150.2263336,1833.28686523438,1903.1826171875,56.5437887096791,20.552711403315,24.807261,0,0,0,40,4449,149.9702,1868.23474121094,,,,,,,,,,,,,0,,,,0,,,,,,150.2247772,,,,
,29125381.25,150.2216339,2005.60412597656,0.000132567178712949,4.22285228452106E-7,1,0.999253354069792,40.0298881530762,2.00866635229499,17.5299998372793,0.0015148989209911,0.000262034308846221,0.25,-1.60788684251177E-7,0.000133215913988434,5.10602614561875E-8,150.220047,150.2232208,1993.19372558594,2018.01452636719,56.3726120639675,20.5528366882009,24.427608,0,0,0,40,4449,149.96615,2005.60412597656,,,,,,,,,,,,,0,,,,0,,,,,,150.2216339,,,,
,29125383.675,150.21899415,2127.33190917969,0.000132853350220929,2.97884246361711E-7,1,0.999253354069792,40.0298881530762,2.00872943015476,17.5299998372793,0.0015180053740438,0.000263809398690442,0.25,-5.59646468652502E-8,0.000133503328313273,1.56850606085944E-7,150.2179413,150.220047,2122.4228515625,2132.24096679687,56.7681160946983,20.5505552294362,24.427608,0,0,0,40,4449,149.9643,2127.33190917969,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.21899415,,,,
,29125385.925,150.2166672,2239.36926269531,0.00013315114606803,3.62393179406635E-7,1,0.999253354069792,40.0298881530762,2.00868254699764,17.5299998372793,0.00152123453159636,0.000265196957915297,0.25,1.41122181390555E-8,0.000133802476813907,2.27749855449732E-7,150.2153931,150.2179413,2231.94873046875,2246.78979492187,56.3773018350829,20.5515794988698,24.047956,0,0,0,40,4449,149.9592,2239.36926269531,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.2166672,,,,
,29125388.03,150.2153931,2341.63671875,0.000133690995481569,3.69002431215834E-7,1,0.999253354069792,40.0298881530762,2.00865000672378,17.5299998372793,0.00152771187995105,0.000264355689542405,0.25,-1.53216057137163E-7,0.000134345240635416,6.04672618595686E-8,150.2153931,150.2153931,2331.66381835938,2351.60961914062,56.4445218877367,20.5530169494324,24.427608,0,0,0,40,4449,149.95615,2341.63671875,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2153931,,,,
,29125390.12,150.212326,2448.91467285156,0.000133439373156685,4.09919464219392E-7,1,0.999253354069792,40.0298881530762,2.0086272786959,17.5299998372793,0.00152395905124507,0.000268798351183668,0.25,2.79734650386052E-7,0.000134091705287794,4.95128869618211E-7,150.212326,150.212326,2441.15869140625,2456.67065429687,56.465625857756,20.5527988167543,24.047956,0,0,0,40,4449,149.95375,2448.91467285156,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.212326,,,,
,29125392.635,150.2099304,2573.69482421875,0.00013368433999744,3.81180703241813E-7,1,0.999253354069792,40.0298881530762,2.00869502242979,17.5299998372793,0.00152688743808147,0.000268832769890266,0.25,2.39318754012882E-7,0.000134337946248129,4.5489965893961E-7,150.2099304,150.2099304,2566.29760742187,2581.09204101562,56.4703156288714,20.5509013748491,24.047956,0,0,0,40,4449,149.95305,2573.69482421875,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2099304,,,,
,29125395.405,150.2070465,2712.94470214844,0.000133795986004315,3.61817877754929E-7,1,0.999253354069792,40.0298881530762,2.00874730032696,17.5299998372793,0.00152808059127333,0.000269753246360428,0.25,2.99849604206164E-7,0.000134450053152212,5.15901562646763E-7,150.2070465,150.2070465,2705.24780273438,2720.6416015625,56.5633294226598,20.551478957421,24.047956,0,0,0,40,4449,149.94965,2712.94470214844,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2070465,,,,
,29125397.72,150.2029877,2825.28686523438,0.00013420901697667,3.86763997565367E-7,1,0.999253354069792,40.0298881530762,2.00864387263128,17.5299998372793,0.00153262958848672,0.000271107250907767,0.25,3.47559695552469E-7,0.000134865043151827,5.64509349544264E-7,150.2029877,150.2029877,2815.2529296875,2835.32080078125,56.546915223756,20.5544389460061,24.427608,0,0,0,40,4449,149.9444,2825.28686523438,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2029877,,,,
,29125399.82,150.2006531,2932.70385742188,0.000133906549349632,3.05794720754437E-7,1,0.999253354069792,40.0298881530762,2.00866948510835,17.5299998372793,0.0015291400238139,0.000270810575582831,0.25,3.74006442245962E-7,0.000134561064013695,5.90592177737541E-7,150.2006531,150.2006531,2925.21875,2940.18896484375,56.5289377678137,20.5525907406741,24.427608,0,0,0,40,4449,149.9441,2932.70385742188,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.2006531,,,,
,29125402.36,150.1975708,3059.78466796875,0.000134052356387122,4.40132021591988E-7,1,0.999253354069792,40.0298881530762,2.00871786432784,17.5299998372793,0.00153171582753181,0.000266086760065254,0.25,-6.53864528081387E-8,0.000134708302817734,1.49273947534062E-7,150.1975708,150.1975708,3049.86328125,3069.7060546875,56.4507749158906,20.5529394472201,24.047956,0,0,0,40,4449,149.9436,3059.78466796875,,,,,,,,,,,,,0,,,,0,,,,,,150.1975708,,,,
,29125405.05,150.195755,3194.46862792969,0.000133860687248578,3.24464029998981E-7,1,0.999253354069792,40.0298881530762,2.00870947016786,17.5299998372793,0.00152849385331338,0.000271593748996362,0.25,4.50099736961954E-7,0.000134514876015485,6.66975196473987E-7,150.1939392,150.1975708,3189.63818359375,3199.29907226562,56.8509687177368,20.5541023128645,24.047956,0,0,0,40,4449,149.938,3194.46862792969,,,,,,,,,,,,,0,,,,0,,,,,,150.195755,,,,
