[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,29136923.63,12/04/2018,1:36 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Iron Oxide Spheres,SAMPLE_MATERIAL
INFO,10 nm diameter, collaboration Mainz,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29136939.61,200.2510223,-0.502384543418884,,,2,,,,17.2399997031689,,,,,,,200.2510223,200.2510223,-0.502384543418884,-0.502384543418884,,,25.946213,,,,-99999999,4433,200.2158,-0.502384543418884,,,,,,,,,,,,,,,,,,,,,,,200.2510223,,,,
sample offset = 34.96 mm touchdown = 11.0299997031689 mm,29136971.74,200.2472839,-0.464325085282326,-7.29098368176031E-6,3.08419179025147E-7,1,0.999253354069792,40.0298881530762,1.98473192521746,17.2199998050928,-8.20086814662372E-5,-1.5618852801487E-5,0.25,-1.18305387118583E-7,-7.31596177079094E-6,-1.26624840859662E-7,200.2472839,200.2472839,-0.471936970949173,-0.456713199615479,56.3530713509867,20.5456711808467,25.566563,0,0,0,40,4417,200.15455,-0.464325085282326,,,,,,,,,,,,,0,,,,0,,,,,,200.2472839,,,,
,29136990.39,200.2406311,36.1174306869507,1.06819177350267E-6,6.76964427753516E-7,1,0.999253354069792,40.0298881530762,1.98453013446907,17.2199998050928,1.28085951757934E-5,-2.2877743954733E-6,0.25,-3.88376242780415E-7,1.07229184103114E-6,-3.88554231879929E-7,200.2406311,200.2406311,29.6853847503662,42.5494766235352,56.7438856106022,20.5511223271232,25.946213,0,0,0,40,4449,200.1172,36.1174306869507,,,,,,,,,,,,,0,,,,-0.0049,,,,,,200.2406311,,,,
,29136992.38,200.2394104,130.12219619751,3.28043247327074E-5,7.99835318222924E-7,1,0.999253354069792,40.0298881530762,1.9846488360928,17.2199998050928,0.000369990839050934,6.43765448934795E-5,0.25,9.68216490047917E-9,3.29172830461623E-5,4.53230324778057E-8,200.2394104,200.2394104,127.775779724121,132.468612670898,56.3991874336214,20.5505965669797,25.566563,0,0,0,40,4449,200.1131,130.12219619751,,,,,,,,,,,,,0,,,,0,,,,,,200.2394104,,,,
,29136994.645,200.237442,241.458976745605,5.87239856972024E-5,6.07793394537503E-7,1,0.999253354069792,40.0298881530762,1.9844598611716,17.2199998050928,0.000663062131000598,0.000110678623024946,0.25,-3.86387003181633E-7,5.89266376138969E-5,-3.23974649251159E-7,200.237442,200.237442,236.448089599609,246.469863891602,56.3921527769483,20.5518774715286,25.566563,0,0,0,40,4449,200.10835,241.458976745605,,,,,,,,,,,,,0,,,,0,,,,,,200.237442,,,,
,29136996.615,200.237442,341.678848266602,7.62136965758698E-5,4.89939102160665E-7,1,0.999253354069792,40.0298881530762,1.98451852880406,17.2199998050928,0.000859576134693844,0.000149342801623457,0.25,3.63449697571275E-9,7.64761557822428E-5,8.63750324483879E-8,200.237442,200.237442,336.662139892578,346.695556640625,56.2717819849867,20.5528560560529,26.325863,0,0,0,40,4449,200.1049,341.678848266602,,,,,,,,,,,,,0,,,,0,,,,,,200.237442,,,,
,29136998.685,200.2350311,446.596374511719,8.81033736608137E-5,3.66506204222115E-7,1,0.999253354069792,40.0298881530762,1.98446285121422,17.2199998050928,0.000993278514752377,0.000174759606203875,0.25,1.92467931915845E-7,8.84065810459388E-5,2.8876013591962E-7,200.2350311,200.2350311,441.425231933594,451.767517089844,56.3984058051021,20.5531665531701,25.566563,0,0,0,40,4449,200.10985,446.596374511719,,,,,,,,,,,,,0,,,,0,,,,,,200.2350311,,,,
,29137000.685,200.2337799,546.328308105469,9.6530573932282E-5,4.13762556121871E-7,1,0.999253354069792,40.0298881530762,1.98442632259866,17.2199998050928,0.00108988427709231,0.000182165485246124,0.25,-6.14328933071853E-7,9.68636829786649E-5,-5.11666677949597E-7,200.2337799,200.2337799,541.386535644531,551.270080566406,56.3671406643329,20.5540104572408,25.946213,0,0,0,40,4449,200.10485,546.328308105469,,,,,,,,,,,,,0,,,,0,,,,,,200.2337799,,,,
,29137002.75,200.2325897,648.693817138672,0.000103156061390247,4.2336543487248E-7,1,0.999253354069792,40.0298881530762,1.98442148781127,17.2199998050928,0.00116289106740243,0.000205008448093083,0.25,2.6035308927526E-7,0.00010351104258408,3.73219664432886E-7,200.2325897,200.2325897,641.270568847656,656.117065429688,56.5109603118714,20.5542557845515,25.566563,0,0,0,40,4449,200.10135,648.693817138672,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.2325897,,,,
,29137004.47,200.2303467,733.149627685547,0.000107494024173527,3.47337294878859E-7,1,0.999253354069792,40.0298881530762,1.98440005060978,17.2199998050928,0.00121225397211371,0.000210904526406056,0.25,2.98690279209567E-8,0.000107864202849144,1.4665307382531E-7,200.2303467,200.2303467,731.036071777344,735.26318359375,56.3413469231983,20.553732464631,25.946213,0,0,0,40,4449,200.0953,733.149627685547,,,,,,,,,,,,,0,,,,-0.00245,,,,,,200.2303467,,,,
