[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,29483524.20,12/08/2018,1:53 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Iron Oxide Spheres,SAMPLE_MATERIAL
INFO,10 nm diameter, collaboration Mainz,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29483539.44,10.0060453,9999.7509765625,,,2,,,,17.0600000047684,,,,,,,10.0060453,10.0060453,9999.7509765625,9999.7509765625,,,12.278775,,,,-99999999,4369,9.9925,9999.7509765625,,,,,,,,,,,,,,,,,,,,,,,10.0060453,,,,
,29483621.98,10.0057325,0.243580371141434,0.000110517871100001,4.66033760028768E-7,1,0.999253354069792,40.0298881530762,1.99721509795833,17.0499999076128,0.00124338297012856,0.000211642349936831,0.25,-7.89349291413782E-7,0.000109886796024601,-2.52126095664809E-7,10.0057325,10.0057325,0.213132828474045,0.274027913808823,55.5690979461982,20.4939702749347,12.658426,0,0,0,40,4417,9.98135,0.243580371141434,,,,,,,,,,,,,0,,,,0,,,,,,10.0057325,,,,
,29483641.055,10.0102167,63.8648357391357,0.000103238476541307,3.55130848619817E-7,1,0.999253354069792,40.0298881530762,1.99714942940302,17.0499999076128,0.00115944878260928,0.000208973311125253,0.25,2.6611837623755E-7,0.000102644279229756,7.62367938836485E-7,10.0102167,10.0102167,52.3631248474121,75.3665466308594,55.382288730102,20.4960800970008,12.278775,0,0,0,40,4449,9.9874,63.8648357391357,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0102167,,,,
,29483644.075,10.0093517,210.742622375488,0.000109393339343218,3.08682391956769E-7,1,0.999253354069792,40.0298881530762,1.99715074497173,17.0499999076128,0.00122788038625426,0.00022536819532926,0.25,6.31618449061165E-7,0.000108762532948314,1.15604144131909E-6,10.0093517,10.0093517,198.440277099609,223.044967651367,55.8966002957559,20.4967377916947,13.038077,0,0,0,40,4449,9.98625,210.742622375488,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0093517,,,,
,29483646.1,10.0071354,312.682403564453,0.000113488876467302,3.6291129023203E-7,1,0.999253354069792,40.0298881530762,1.99701609456916,17.0499999076128,0.00127405982371074,0.000232177965741728,0.25,5.11163295724231E-7,0.000112835564155663,1.05653771686626E-6,10.0071354,10.0071354,302.572265625,322.792541503906,55.507349293179,20.4985835977664,12.658426,0,0,0,40,4449,9.9847,312.682403564453,,,,,,,,,,,,,0,,,,0.0049,,,,,,10.0071354,,,,
,29483648.345,10.0050316,424.966079711914,0.000116882335145783,3.43226031501399E-7,1,0.999253354069792,40.0298881530762,1.99710925948005,17.0499999076128,0.0013120053573564,0.000240340445461982,0.25,6.3340002407828E-7,0.000116209475407132,1.19506489157551E-6,10.0050316,10.0050316,417.422119140625,432.510040283203,55.219709998102,20.4988476646778,12.658426,0,0,0,40,4449,9.9835,424.966079711914,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0050316,,,,
,29483650.375,10.0032167,524.84814453125,0.000119967010356298,3.49360838953315E-7,1,0.999253354069792,40.0298881530762,1.99720874919136,17.0499999076128,0.00134661065382085,0.000247201392895938,0.25,6.94517103115346E-7,0.000119276662675357,1.27132314854881E-6,10.0032167,10.0032167,522.351440429687,527.344848632812,55.6144324003136,20.4987864714741,12.278775,0,0,0,40,4449,9.9823,524.84814453125,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0032167,,,,
,29483652.31,10.0032167,622.052307128906,0.000123575263751138,3.86541169121578E-7,1,0.999253354069792,40.0298881530762,1.99719853670427,17.0499999076128,0.00138759826378936,0.000251896529845684,0.25,4.70983211892332E-7,0.000122865841255011,1.06713202405696E-6,10.0032167,10.0032167,617.002380371094,627.102233886719,55.5823856310251,20.496029936925,13.038077,0,0,0,40,4449,9.98215,622.052307128906,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0032167,,,,
,29483654.595,10.0019073,736.956176757812,0.000125852398096685,3.32379836661612E-7,1,0.999253354069792,40.0298881530762,1.99722578083791,17.0499999076128,0.00141308043483283,0.000257178033671491,0.25,5.35448261716345E-7,0.000125130262638659,1.14300294226796E-6,10.0019073,10.0019073,736.956176757812,736.956176757812,55.862990269429,20.4981109172437,13.038077,0,0,0,40,4449,9.9833,736.956176757812,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0019073,,,,
,29483656.67,10.0018768,841.565582275391,0.000127799034949817,3.52938013660808E-7,1,0.999253354069792,40.0298881530762,1.99719300128027,17.0499999076128,0.00143457346452977,0.000263114139379015,0.25,7.17551632743183E-7,0.000127065485874786,1.33421468025533E-6,10.0018768,10.0018768,836.44970703125,846.681457519531,55.5628449180443,20.5000780868985,12.278775,0,0,0,40,4449,9.98455,841.565582275391,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0018768,,,,
