[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,29160698.13,12/04/2018,8:12 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Iron Oxide Spheres,SAMPLE_MATERIAL
INFO,10 nm diameter, collaboration Mainz,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29165361.13,9.9984236,99.6091461181641,,,2,,,,17.7000004118681,,,,,,,9.9984236,9.9984236,99.6091461181641,99.6091461181641,,,13.038077,,,,-99999999,4373,9.9945,99.6091461181641,,,,,,,,,,,,,,,,,,,,,,,9.9984236,,,,
,29165458.015,10.0009279,99.6091461181641,3.9224254905437E-6,3.39464282505477E-7,1,0.999253354069792,40.0298881530762,1.9966752541097,17.6899991929531,4.43161410484594E-5,6.39392882166353E-6,0.25,-1.27339249173764E-7,3.90051659742332E-6,-1.07690859744192E-7,10.0009279,10.0009279,99.6091461181641,99.6091461181641,56.5461335952368,20.5355437625334,13.038077,0,0,0,40,4369,9.9958,99.6091461181641,,,,,,,,,,,,,0,,,,0.00245,,,,,,10.0009279,,,,
,29165468.05,10.012392,99.6091461181641,4.09244378237894E-6,3.32721844069399E-7,1,0.999253354069792,40.0298881530762,1.99650683183349,17.6899991929531,4.6356315428405E-5,5.9778433139807E-6,0.25,-1.94527649254453E-7,4.06988258957487E-6,-1.73673483646782E-7,10.012392,10.012392,99.6091461181641,99.6091461181641,56.2225393882752,20.5341486203276,12.658426,0,0,0,40,4370,10.031,99.6091461181641,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.012392,,,,
,29165487.125,10.5326624,99.6091461181641,3.64487197003306E-6,2.57842471807922E-7,1,0.999253354069792,40.0298881530762,1.99656844737518,17.6899991929531,4.10222884607074E-5,6.81896813583613E-6,0.25,-4.01837189904498E-8,3.6241333471519E-6,-2.23743610215592E-8,10.4901867,10.5751381,99.6091461181641,99.6091461181641,56.4101302328906,20.5386737437235,13.038077,0,0,0,40,4370,10.64865,99.6091461181641,,,,,,,,,,,,,0,,,,0,,,,,,10.5326624,,,,
,29165510.525,11.1121731,99.6091461181641,3.75859018323749E-6,3.14594140330181E-7,1,0.999253354069792,40.0298881530762,1.99647408654615,17.6899991929531,4.27897981413402E-5,4.2743429041172E-6,0.25,-2.86894960639859E-7,3.73838449044471E-6,-2.67120028148279E-7,11.1121731,11.1121731,99.6091461181641,99.6091461181641,56.5430070811598,20.5387494014732,13.038077,0,0,0,40,4370,11.1996,99.6091461181641,,,,,,,,,,,,,0,,,,0.00245,,,,,,11.1121731,,,,
,29165527.63,11.5208292,99.6091461181641,3.96060715278529E-6,3.45932598113791E-7,1,0.999253354069792,40.0298881530762,1.99628532326968,17.6899991929531,4.48640554148921E-5,5.75106787495504E-6,0.25,-1.91250288932733E-7,3.93877674740898E-6,-1.71050315096122E-7,11.5208292,11.5208292,99.6091461181641,99.6091461181641,56.5594212800637,20.5395606802937,13.417728,0,0,0,40,4370,11.6091,99.6091461181641,,,,,,,,,,,,,0,,,,0.0049,,,,,,11.5208292,,,,
,29165548.315,12.0373049,99.6091461181641,3.78449438828037E-6,2.9857717978041E-7,1,0.999253354069792,40.0298881530762,1.99628267540829,17.6899991929531,4.32510605726161E-5,3.34394740570763E-6,0.25,-3.74299387326818E-7,3.76455461010542E-6,-3.5389683075691E-7,12.0373049,12.0373049,99.6091461181641,99.6091461181641,56.4898563418521,20.5399526998668,12.658426,0,0,0,40,4370,12.13905,99.6091461181641,,,,,,,,,,,,,0,,,,-0.00245,,,,,,12.0373049,,,,
,29165569.365,12.5610533,99.6091461181641,3.805356483369E-6,3.52299066324183E-7,1,0.999253354069792,40.0298881530762,1.99624165321747,17.6899991929531,4.33424808450716E-5,4.18505827286629E-6,0.25,-3.03105963694217E-7,3.7849492338878E-6,-2.83011538706537E-7,12.5610533,12.5610533,99.6091461181641,99.6091461181641,56.6547799594098,20.5401746239904,13.038077,0,0,0,40,4370,12.6736,99.6091461181641,,,,,,,,,,,,,0,,,,0,,,,,,12.5610533,,,,
,29165588.18,13.0212269,99.6091461181641,4.01965247260616E-6,3.30847620404711E-7,1,0.999253354069792,40.0298881530762,1.99621274332236,17.6899991929531,4.51895080079018E-5,7.76061258060714E-6,0.25,-2.27849533790906E-8,3.99665757700807E-6,-3.26799859643225E-9,13.0212269,13.0212269,99.6091461181641,99.6091461181641,56.5179949685444,20.5409733216906,13.797379,0,0,0,40,4370,13.1284,99.6091461181641,,,,,,,,,,,,,0,,,,-0.0049,,,,,,13.0212269,,,,
,29165608.695,13.5530462,99.6091461181641,4.55884343577443E-6,3.47128523642419E-7,1,0.999253354069792,40.0298881530762,1.99621785315952,17.6899991929531,5.16410991660062E-5,6.60611612505267E-6,0.25,-2.21330058564244E-7,4.53370106975899E-6,-1.98071212119598E-7,13.5530462,13.5530462,99.6091461181641,99.6091461181641,56.8509687177368,20.5413842362407,14.177031,0,0,0,40,4370,13.6567,99.6091461181641,,,,,,,,,,,,,0,,,,-0.00245,,,,,,13.5530462,,,,
