[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,29394259.69,12/07/2018,1:05 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Iron Oxide Spheres,SAMPLE_MATERIAL
INFO,7 nm diameter, collaboration Mainz,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,29394327.45,30.0442276,0.251192256808281,3.27932012855483E-5,3.77010935040128E-7,1,0.999253354069792,40.0298881530762,1.989294891992,16.8999992311001,0.000367612365977544,6.33554868813389E-5,0.25,-1.87767821693214E-7,3.26236882568555E-5,-7.39956817690754E-9,30.0442276,30.0442276,0.228356599807739,0.274027913808823,56.3647957787752,20.6812914589286,16.454937,0,0,0,40,4417,29.9174,0.251192256808281,,,,,,,,,,,,,0,,,,0.0049,,,,,,30.0442276,,,,
,29394345.285,30.0537472,22.0646486282349,2.80721945227357E-5,3.28827105963154E-7,1,0.999253354069792,40.0298881530762,1.98970905525338,16.8999992311001,0.000314347509112956,5.65226009166487E-5,0.25,4.24678370502282E-8,2.79260630328343E-5,1.95897381910762E-7,30.0537472,30.0537472,17.8818454742432,26.2474517822266,56.6086638767752,20.6829279329878,16.075285,0,0,0,40,4449,29.9428,22.0646486282349,,,,,,,,,,,,,0,,,,-0.00245,,,,,,30.0537472,,,,
,29394348.025,30.0531998,87.9618682861328,3.80389432535284E-5,3.5544053266858E-7,1,0.999253354069792,40.0298881530762,1.98960979336334,16.8999992311001,0.000425469985196253,7.91880658484546E-5,0.25,2.89749217229419E-7,3.78397051161912E-5,4.96489202933143E-7,30.0531998,30.0531998,81.7313842773437,94.1923522949219,56.5390989385637,20.68440523449,16.075285,0,0,0,40,4449,29.9378,87.9618682861328,,,,,,,,,,,,,0,,,,0,,,,,,30.0531998,,,,
,29394350.075,30.0533066,139.234436035156,4.49829924936513E-5,3.22560622111293E-7,1,0.999253354069792,40.0298881530762,1.98966829750911,16.8999992311001,0.000503398864906765,9.2277561782708E-5,0.25,2.20348364093517E-7,4.47481156560128E-5,4.65522947297258E-7,30.0533066,30.0533066,133.982788085938,144.486083984375,56.5203398541021,20.683706777145,15.695635,0,0,0,40,4449,29.9358,139.234436035156,,,,,,,,,,,,,0,,,,0,,,,,,30.0533066,,,,
,29394352.81,30.0519218,207.770988464355,5.36224549502871E-5,3.18254666679062E-7,1,0.999253354069792,40.0298881530762,1.98954706731288,16.8999992311001,0.00060043878287977,0.000107802633413123,0.25,6.6902959687757E-8,5.33436337949707E-5,3.60269428662025E-7,30.0519218,30.0519218,203.835372924805,211.706604003906,56.6094455052945,20.6856175169637,16.075285,0,0,0,40,4449,29.93025,207.770988464355,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.0519218,,,,
,29394355.02,30.051281,262.939147949219,5.77819349095376E-5,3.3546237370585E-7,1,0.999253354069792,40.0298881530762,1.98965021443264,16.9099997729063,0.000647151457332382,0.000115589486856213,0.25,2.00989472583189E-8,5.74818712379162E-5,3.36584309286139E-7,30.051281,30.051281,259.051452636719,266.826843261719,56.4398321166213,20.6840574919122,16.454937,0,0,0,40,4449,29.92765,262.939147949219,,,,,,,,,,,,,0,,,,0,,,,,,30.051281,,,,
,29394357.96,30.0481281,336.268661499023,6.36433683992035E-5,3.358151784844E-7,1,0.999253354069792,40.0298881530762,1.98951296924334,16.8999992311001,0.000712588476567246,0.000128234561722462,0.25,1.04811545455964E-7,6.33125813401581E-5,4.53126125061283E-7,30.0481281,30.0481281,331.39453125,341.142791748047,56.526592882256,20.6851938142954,15.695635,0,0,0,40,4449,29.9258,336.268661499023,,,,,,,,,,,,,0,,,,0,,,,,,30.0481281,,,,
,29394360.535,30.045023,400.189361572266,6.66120664221742E-5,3.07890582398656E-7,1,0.999253354069792,40.0298881530762,1.98952409926629,16.8999992311001,0.000745813362449596,0.000134329975212318,0.25,1.19631529776696E-7,6.62659472449164E-5,4.84281001685271E-7,30.045023,30.045023,396.281066894531,404.09765625,56.5093970548329,20.6845168417445,16.454937,0,0,0,40,4449,29.92305,400.189361572266,,,,,,,,,,,,,0,,,,-0.0049,,,,,,30.045023,,,,
,29394362.925,30.0427818,461.191040039063,7.07324823633314E-5,3.44389831686911E-7,1,0.999253354069792,40.0298881530762,1.98954307937159,16.8999992311001,0.000792346216275778,0.000140451412120825,0.25,-6.85822245818124E-8,7.03661725859274E-5,3.19771135730727E-7,30.0427818,30.0427818,458.641021728516,463.741058349609,56.4585912010829,20.6881122036644,16.454937,0,0,0,40,4449,29.91875,461.191040039063,,,,,,,,,,,,,0,,,,0,,,,,,30.0427818,,,,
,29394364.82,30.04231355,507.601409912109,7.27870622711079E-5,3.27750106459831E-7,1,0.999253354069792,40.0298881530762,1.98952454118608,16.8999992311001,0.000814850114278975,0.000147368651496697,0.25,1.82724542268798E-7,7.24088741892269E-5,5.81184659626072E-7,30.0418453,30.0427818,503.787689208984,511.415130615234,56.4359239740252,20.6887780316965,16.075285,0,0,0,40,4449,29.9197,507.601409912109,,,,,,,,,,,,,0,,,,0,,,,,,30.04231355,,,,
