[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46585514.50,04/05/2017,2:41 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.48,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46586077.765,5.02050755,-0.252136304974556,4.2879635943511E-5,3.20000675886952E-7,1,0.999253354069792,40.0298881530762,1.9947777270301,15.5500008817762,0.000465836034000179,5.47795486511308E-5,0.25,-2.45766361065463E-6,4.26308365907549E-5,-2.34838597991374E-6,5.019958,5.0210571,-0.259776800870895,-0.244495809078217,52.2917295650632,18.7051833966163,1.68398195,0,0,0,4417,4.94795,-0.252136304974556,,,,,,,,,,,,,,,,,12.252253,,,,,,5.02050755,,,,
,46586092.79,5.0194399,32.5423538684845,4.35614254339082E-5,3.64414609603514E-7,1,0.999253354069792,40.0298881530762,1.99484733278058,15.5500008817762,0.000473551653393508,5.39877519753596E-5,0.25,-2.65152857682804E-6,4.3309019936564E-5,-2.53957752533053E-6,5.0193295,5.0195503,7.61948251724243,57.4652252197266,52.3018907358132,18.7075646779281,1.7092142,0,0,0,4449,4.94585,32.5423538684845,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0194399,,,,
,46586093.96,5.01915905,81.3033561706543,4.31234239015145E-5,2.45894357680964E-7,1,0.999253354069792,40.0298881530762,1.99484556288551,15.5500008817762,0.000469018247026127,5.21485555793002E-5,0.25,-2.74543176968797E-6,4.28738384256903E-5,-2.63385550299442E-6,5.0189886,5.0193295,57.4652252197266,105.141487121582,52.5989095731209,18.7024072391784,1.69230885,0,0,0,4449,4.94645,81.3033561706543,,,,,,,,,,,,,,,,,12.252253,,,,,,5.01915905,,,,
,46586094.985,5.019907,129.700672149658,4.35965014647696E-5,2.26449286082862E-7,1,0.999253354069792,40.0298881530762,1.99471410296954,15.5500008817762,0.000473287586012082,5.75253703455177E-5,0.25,-2.32854352792946E-6,4.334320766351E-5,-2.21835200732627E-6,5.0189886,5.0208254,105.141487121582,154.259857177734,51.7156693463901,18.7057009423275,1.6754035,0,0,0,4449,4.94735,129.700672149658,,,,,,,,,,,,,,,,,12.252253,,,,,,5.019907,,,,
,46586095.955,5.02075935,179.164970397949,4.41566620962449E-5,2.55417912725805E-7,1,0.999253354069792,40.0298881530762,1.99488157598197,15.5500008817762,0.000479208929676199,5.93933220653462E-5,0.25,-2.25399076801753E-6,4.38999023406355E-5,-2.14295657483988E-6,5.0206933,5.0208254,154.259857177734,204.070083618164,52.9256302941594,18.7071918697988,1.6754035,0,0,0,4449,4.94795,179.164970397949,,,,,,,,,,,,,,,,,12.252253,,,,,,5.02075935,,,,
,46586096.925,5.0208204,228.918495178223,4.39892731094955E-5,2.59494831691068E-7,1,0.999253354069792,40.0298881530762,1.99488113695311,15.5500008817762,0.000477387511544253,5.9196367947813E-5,0.25,-2.24287676768719E-6,4.37335017080558E-5,-2.13222979912253E-6,5.0206933,5.0209475,204.070083618164,253.766906738281,52.3691107884671,18.7048700130958,1.6670766,0,0,0,4449,4.94795,228.918495178223,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0208204,,,,
,46586098.015,5.02066995,281.144622802734,4.45326616593718E-5,2.72801629060607E-7,1,0.999253354069792,40.0298881530762,1.99483955507404,15.5500008817762,0.000482920232359415,6.1942813453162E-5,0.25,-2.08316777279423E-6,4.42733388067365E-5,-1.97221042546874E-6,5.0203924,5.0209475,253.766906738281,308.522338867188,51.9360885888132,18.7020897152335,1.6670766,0,0,0,4449,4.9467,281.144622802734,,,,,,,,,,,,,,,,,13.378378,,,,,,5.02066995,,,,
,46586099.125,5.01920175,336.163818359375,4.52659639652535E-5,2.57429901528292E-7,1,0.999253354069792,40.0298881530762,1.99470236262114,15.5500008817762,0.000490899089792662,6.2627461884897E-5,0.25,-2.14833658352199E-6,4.50024647234339E-5,-2.03530866661664E-6,5.0180111,5.0203924,308.522338867188,363.805297851562,52.565299546794,18.7064025842477,1.68381395,0,0,0,4449,4.94485,336.163818359375,,,,,,,,,,,,,,,,,13.003003,,,,,,5.01920175,,,,
,46586100.195,5.0188401,391.059478759766,4.52211457808234E-5,2.86019163054909E-7,1,0.999253354069792,40.0298881530762,1.99485387320327,15.5500008817762,0.000490572271417735,6.18668640109802E-5,0.25,-2.2116442904987E-6,4.4958078704785E-5,-2.09827818010131E-6,5.0180111,5.0196691,363.805297851562,418.313659667969,52.6223584286979,18.7036675235092,1.7007193,0,0,0,4449,4.94545,391.059478759766,,,,,,,,,,,,,,,,,13.003003,,,,,,5.0188401,,,,
,46586101.355,5.0194738,448.444427490234,4.59092586494403E-5,2.32739846462767E-7,1,0.999253354069792,40.0298881530762,1.99486667032605,15.5500008817762,0.000497798306806963,6.41836619855633E-5,0.25,-2.11753137485242E-6,4.56419338321618E-5,-2.0031292083481E-6,5.0192785,5.0196691,418.313659667969,478.5751953125,52.7528903914094,18.7055005004156,1.7007193,0,0,0,4449,4.9453,448.444427490234,,,,,,,,,,,,,,,,,12.252253,,,,,,5.0194738,,,,
