[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31919392.94,01/05/2019,6:32 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 Monolayer,SAMPLE_MATERIAL
INFO,from YF45,SAMPLE_COMMENT
INFO,29.98,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31919408.42,20.0011654,-0.365370541810989,,,2,,,,21.5399994683266,,,,,,,20.0011654,20.0011654,-0.365370541810989,-0.365370541810989,,,13.417728,,,,-99999999,4369,20.0175,-0.365370541810989,,,,,,,,,,,,,,,,,,,,,,,20.0011654,,,,
sample offset = 36.5 mm touchdown = 16.8699994683266 mm,31919444.645,20.0041828,-0.0685069765895605,4.90272103085138E-5,4.12295241335904E-7,1,0.999253354069792,40.0298881530762,1.99296643296357,21.5300004929304,0.000549616390096839,9.84376515688633E-5,0.25,7.13691521439875E-8,4.87449580211498E-5,3.08558639995714E-7,20.0041828,20.0041828,-0.0913426354527473,-0.0456713177263737,55.5323614057943,20.53954084979,13.038077,0,0,0,40,4417,20.0166,-0.0685069765895605,,,,,,,,,,,,,0,,,,0,,,,,,20.0041828,,,,
,31919460.24,20.001667,17.9515352249146,4.85747757545607E-5,3.78075052357404E-7,1,0.999253354069792,40.0298881530762,1.99303233017214,21.5300004929304,0.000544438887226375,9.82240951199466E-5,0.25,1.32382983571696E-7,4.82948425499542E-5,3.6704400059209E-7,20.001667,20.001667,16.2641754150391,19.63889503479,55.5331430343136,20.5426042254918,13.038077,0,0,0,40,4449,20.0138,17.9515352249146,,,,,,,,,,,,,0,,,,0,,,,,,20.001667,,,,
,31919461.68,20.0006886,77.3602256774902,4.93290622275496E-5,3.60572465178777E-7,1,0.999253354069792,40.0298881530762,1.99309055083765,21.5300004929304,0.000552730433307762,0.00010075990437756,0.25,2.24205398007908E-7,4.90444210733745E-5,4.62080999674735E-7,20.0006886,20.0006886,74.9994735717773,79.7209777832031,55.7043196800251,20.5448242626901,13.038077,0,0,0,40,4449,20.0136,77.3602256774902,,,,,,,,,,,,,0,,,,0,,,,,,20.0006886,,,,
,31919462.375,20.0007992,111.39762878418,4.8567299762028E-5,3.10987795700519E-7,1,0.999253354069792,40.0298881530762,1.99311202777396,21.5300004929304,0.000544646165828596,9.66988570760502E-5,0.25,-2.79806165560213E-9,4.82881865998459E-5,2.3274576667932E-7,20.0006886,20.0009098,79.7209777832031,143.074279785156,55.6535138262751,20.5432882167997,13.038077,0,0,0,40,4449,20.0136,111.39762878418,,,,,,,,,,,,,0,,,,0,,,,,,20.0007992,,,,
,31919463.565,20.0009098,170.240081787109,4.8756209688667E-5,3.00148975512186E-7,1,0.999253354069792,40.0298881530762,1.99295119842917,21.5300004929304,0.000546248615022178,9.9741878281185E-5,0.25,2.3556834536614E-7,4.84749457710465E-5,4.70765234499997E-7,20.0009098,20.0009098,143.074279785156,197.405883789062,55.802023244929,20.5463806271089,13.038077,0,0,0,40,4449,20.0136,170.240081787109,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.0009098,,,,
,31919464.635,20.0009098,224.849853515625,4.79780016019298E-5,3.386173155032E-7,1,0.999253354069792,40.0298881530762,1.99316303205816,21.5300004929304,0.000537390361822208,9.92580450946635E-5,0.25,3.2961563085783E-7,4.7700841290105E-5,5.60601311747891E-7,20.0009098,20.0009098,197.405883789062,252.293823242187,56.0521443710829,20.542259377929,13.038077,0,0,0,40,4449,20.0137,224.849853515625,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.0009098,,,,
,31919465.75,20.00083255,282.193145751953,4.80424389271615E-5,3.52632633899169E-7,1,0.999253354069792,40.0298881530762,1.99314705807413,21.5300004929304,0.00053870289965008,9.60475758737139E-5,0.25,3.18235541417423E-8,4.77664530844379E-5,2.64947690673736E-7,20.0007553,20.0009098,252.293823242187,312.092468261719,56.0419832003329,20.5438367185847,12.278775,0,0,0,40,4449,20.014,282.193145751953,,,,,,,,,,,,,0,,,,0.00245,,,,,,20.00083255,,,,
,31919466.985,20.0007553,342.119277954102,4.79342912370116E-5,3.78958496487004E-7,1,0.999253354069792,40.0298881530762,1.99311926670117,21.5300004929304,0.00053795610257938,9.31739843791029E-5,0.25,-2.0524407903603E-7,4.76601862740916E-5,2.88410633249393E-8,20.0007553,20.0007553,312.092468261719,372.146087646484,55.6222486855059,20.5418708234995,13.038077,0,0,0,40,4449,20.01465,342.119277954102,,,,,,,,,,,,,0,,,,0,,,,,,20.0007553,,,,
,31919468.19,20.0011606,402.075881958008,4.81449355005324E-5,3.8078626626621E-7,1,0.999253354069792,40.0298881530762,1.99304925988832,21.5300004929304,0.000540254144918718,9.38571611833925E-5,0.25,-1.81606832282219E-7,4.78696196808154E-5,5.3496217803976E-8,20.0007553,20.0015659,372.146087646484,432.005676269531,55.659766854429,20.5436881134077,13.038077,0,0,0,40,4449,20.0152,402.075881958008,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.0011606,,,,
,31919469.36,20.00184345,461.952087402344,4.76634748870127E-5,3.48778672027315E-7,1,0.999253354069792,40.0298881530762,1.99317144761308,21.5300004929304,0.000534336188225325,9.60088802091381E-5,0.25,9.51338092190719E-8,4.73896895142224E-5,3.26441134588673E-7,20.0015659,20.002121,432.005676269531,491.898498535156,55.8715881831405,20.5437349946754,13.038077,0,0,0,40,4449,20.01525,461.952087402344,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.00184345,,,,
,31919470.635,20.002121,524.418731689453,4.72515588670113E-5,3.26682367808185E-7,1,0.999253354069792,40.0298881530762,1.99314436794006,21.5300004929304,0.000530371663721573,9.14691786200902E-5,0.25,-2.36562009051615E-7,4.69818711896642E-5,-5.21632672468589E-9,20.002121,20.002121,491.898498535156,556.93896484375,55.7895171886213,20.5444311047862,13.417728,0,0,0,40,4449,20.01545,524.418731689453,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.002121,,,,
,31919471.805,20.00256825,581.879058837891,4.72526115511493E-5,3.38257861483001E-7,1,0.999253354069792,40.0298881530762,1.99312479062426,21.5300004929304,0.000530651880981701,8.99388806688645E-5,0.25,-3.73283804916776E-7,4.69836987340445E-5,-1.41017869235506E-7,20.002121,20.0030155,556.93896484375,606.819152832031,55.9481877780252,20.5458002961546,12.658426,0,0,0,40,4449,20.01575,581.879058837891,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.00256825,,,,
,31919472.93,20.0030155,639.146545410156,4.70906979949413E-5,2.68121948952499E-7,1,0.999253354069792,40.0298881530762,1.99305233757165,21.5300004929304,0.000527800711665552,9.53467478128223E-5,0.25,1.37841935585405E-7,4.6820339457613E-5,3.66525610149476E-7,20.0030155,20.0030155,606.819152832031,671.473937988281,55.4924983513136,20.5426448715154,13.038077,0,0,0,40,4449,20.01645,639.146545410156,,,,,,,,,,,,,0,,,,0,,,,,,20.0030155,,,,
,31919474.175,20.0031824,701.476440429688,4.69057157148895E-5,2.58588540468942E-7,1,0.999253354069792,40.0298881530762,1.99305141605185,21.5300004929304,0.000526008078129974,9.33991498286282E-5,0.25,-3.14314806793142E-9,4.66372318442615E-5,2.25594549595909E-7,20.0030155,20.0033493,671.473937988281,731.478942871094,55.9489694065444,20.5436191375527,13.038077,0,0,0,40,4449,20.0169,701.476440429688,,,,,,,,,,,,,0,,,,0.00245,,,,,,20.0031824,,,,
