[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,31980127.80,01/06/2019,11:24 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 Monolayer,SAMPLE_MATERIAL
INFO,from YF45,SAMPLE_COMMENT
INFO,29.98,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,31980143.61,249.9909515,-0.106566414237022,,,2,,,,20.2800001186132,,,,,,,249.9909515,249.9909515,-0.106566414237022,-0.106566414237022,,,27.464817,,,,-99999999,4369,250.0404,-0.106566414237022,,,,,,,,,,,,,,,,,,,,,,,249.9909515,,,,
sample offset = 36.5 mm touchdown = 15.6100001186132 mm,31980179.765,249.9876556,-0.0228356597945094,6.57226779915063E-6,3.1283674440416E-7,1,0.999253354069792,40.0298881530762,2.00885761700813,20.2699992805719,7.63682427338145E-5,4.34822731164611E-6,0.25,-7.58111817043171E-7,6.58442837771221E-6,-7.54008477863821E-7,249.9876556,249.9876556,-0.0304475463926792,-0.0152237731963396,55.3541501034097,20.4981093139627,27.464817,0,0,0,40,4417,250.0447,-0.0228356597945094,,,,,,,,,,,,,0,,,,-0.00245,,,,,,249.9876556,,,,
,31980194.63,249.9858551,21.2519311904907,7.72336842531779E-6,3.7550276293121E-7,1,0.999253354069792,40.0298881530762,2.0088658827196,20.2699992805719,8.96078171446003E-5,5.89578976534413E-6,0.25,-8.21897536098444E-7,7.73760232513113E-6,-8.16954628050936E-7,249.9858551,249.9858551,19.5047359466553,22.9991264343262,55.4541985538713,20.5013806415403,27.844467,0,0,0,40,4449,250.0489,21.2519311904907,,,,,,,,,,,,,0,,,,0,,,,,,249.9858551,,,,
,31980195.34,249.9858551,51.2095546722412,9.34017825658341E-6,2.92069140388709E-7,1,0.999253354069792,40.0298881530762,2.00888734552658,20.2699992805719,0.000108022245889368,9.12040542504687E-6,0.25,-8.19242194416393E-7,9.35724743805759E-6,-8.12957946772575E-7,249.9858551,249.9858551,22.9991264343262,79.4199829101562,55.5980182014097,20.5012606502189,27.464817,0,0,0,40,4449,250.0491,51.2095546722412,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9858551,,,,
,31980196.625,249.9849777,110.969276428223,1.18279543951452E-5,3.94511565733839E-7,1,0.999253354069792,40.0298881530762,2.00891880913586,20.2699992805719,0.000134910699216064,2.24221114592683E-5,0.25,-8.30869708901003E-8,1.18487813373203E-5,-7.34539918140477E-8,249.9841003,249.9858551,79.4199829101562,142.518569946289,55.5417409480251,20.4995929783895,27.844467,0,0,0,40,4449,250.0476,110.969276428223,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9849777,,,,
,31980197.77,249.9841003,167.602241516113,1.3307718083551E-5,3.4962199141416E-7,1,0.999253354069792,40.0298881530762,2.00893114002357,20.2699992805719,0.000152145119755374,2.31792393544521E-5,0.25,-2.73269377344369E-7,1.33312996893845E-5,-2.62746821717136E-7,249.9841003,249.9841003,142.518569946289,192.685913085938,55.5589367754482,20.5002908958282,27.464817,0,0,0,40,4449,250.04725,167.602241516113,,,,,,,,,,,,,0,,,,0,,,,,,249.9841003,,,,
,31980198.875,249.98452755,222.530891418457,1.48688095898312E-5,4.2965504268336E-7,1,0.999253354069792,40.0298881530762,2.00890299412607,20.2699992805719,0.000169458168133177,2.89678697439696E-5,0.25,-3.58514375717659E-8,1.48949344899341E-5,-2.36217176988699E-8,249.9841003,249.9849548,192.685913085938,252.375869750977,55.4924983513136,20.4997942872055,27.085165,0,0,0,40,4449,250.0486,222.530891418457,,,,,,,,,,,,,0,,,,0,,,,,,249.98452755,,,,
,31980199.98,249.9849548,277.195274353027,1.66074917004365E-5,3.55504186103236E-7,1,0.999253354069792,40.0298881530762,2.00892963623037,20.2699992805719,0.000189940495886688,2.85247909431465E-5,0.25,-3.76310407499781E-7,1.66369492692051E-5,-3.63240822101398E-7,249.9849548,249.9849548,252.375869750977,302.014678955078,55.5690979461982,20.5008169176721,27.464817,0,0,0,40,4449,250.0483,277.195274353027,,,,,,,,,,,,,0,,,,0,,,,,,249.9849548,,,,
,31980200.975,249.9847107,326.916519165039,1.85835889333046E-5,3.45162648844219E-7,1,0.999253354069792,40.0298881530762,2.0089178279581,20.2699992805719,0.000212649648565366,3.12865015399008E-5,0.25,-4.76583353737015E-7,1.86165976565391E-5,-4.62056105350041E-7,249.9844666,249.9849548,302.014678955078,351.818359375,55.7691948471213,20.5011588149305,27.844467,0,0,0,40,4449,250.048,326.916519165039,,,,,,,,,,,,,0,,,,0,,,,,,249.9847107,,,,
,31980202.055,249.9844666,381.833511352539,1.87785296134127E-5,3.47499053810889E-7,1,0.999253354069792,40.0298881530762,2.00895041712213,20.2699992805719,0.000214263067464325,3.51935756887322E-5,0.25,-1.67478700988944E-7,1.88116250890635E-5,-1.5224789379663E-7,249.9844666,249.9844666,351.818359375,411.848663330078,55.5237634920828,20.5004410509916,27.085165,0,0,0,40,4449,250.0479,381.833511352539,,,,,,,,,,,,,0,,,,-0.00245,,,,,,249.9844666,,,,
