[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,46644185.19,04/06/2017,6:59 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,291,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,36.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,46645042.515,20.022439,-0.305619746446609,4.39576442978448E-5,1.90102861909182E-7,1,0.999253354069792,40.0298881530762,1.99441133786709,16.1200007982552,0.000477525136575105,5.57970591616552E-5,0.25,-2.5547646882972E-6,4.37025630388332E-5,-2.43975750113887E-6,20.0223484,20.0225296,-0.305619746446609,-0.305619746446609,52.7216252506402,18.7208838232266,4.57290245,0,0,0,4417,20.0135,-0.305619746446609,,,,,,,,,,,,,,,,,13.753754,,,,,,20.022439,,,,
,46645058.325,20.008338,43.163724899292,4.45408281357684E-5,2.30980418917114E-7,1,0.999253354069792,40.0298881530762,1.99446137594841,16.1200007982552,0.000483648296153179,5.78080751023034E-5,0.25,-2.4706135236378E-6,4.42820978375775E-5,-2.35477905580405E-6,20.007864,20.008812,19.8228874206543,66.5045623779297,52.1002305778517,18.7245170208868,4.5955143,0,0,0,4449,19.9978,43.163724899292,,,,,,,,,,,,,,,,,13.753754,,,,,,20.008338,,,,
,46645059.485,20.00773525,98.0391616821289,4.46291127799248E-5,2.98251748432305E-7,1,0.999253354069792,40.0298881530762,1.99444056990119,16.1200007982552,0.000484995266266772,5.5691972142569E-5,0.25,-2.68294879625559E-6,4.43703616716885E-5,-2.56560712252401E-6,20.0076065,20.007864,66.5045623779297,129.573760986328,52.3355007621402,18.7246418760311,4.5955143,0,0,0,4449,19.99985,98.0391616821289,,,,,,,,,,,,,,,,,13.003003,,,,,,20.00773525,,,,
,46645060.73,20.00753595,159.42554473877,4.49867164436398E-5,2.64377955796744E-7,1,0.999253354069792,40.0298881530762,1.99442104760571,16.1200007982552,0.000488180293574827,6.00936897168882E-5,0.25,-2.33661927306423E-6,4.47250802976025E-5,-2.22046490865342E-6,20.0074654,20.0076065,129.573760986328,189.277328491211,51.7610038005055,18.7262729759922,4.6414213,0,0,0,4449,19.9997,159.42554473877,,,,,,,,,,,,,,,,,13.753754,,,,,,20.00753595,,,,
,46645061.83,20.00738145,211.549911499023,4.53842289244465E-5,2.31005232762437E-7,1,0.999253354069792,40.0298881530762,1.99437826268631,16.1200007982552,0.000492824896277287,5.86898239485982E-5,0.25,-2.53714510529677E-6,4.51207128772431E-5,-2.41884500071246E-6,20.0072975,20.0074654,189.277328491211,233.822494506836,51.7610038005055,18.7253245561113,4.5955143,0,0,0,4449,20.00025,211.549911499023,,,,,,,,,,,,,,,,,13.003003,,,,,,20.00738145,,,,
,46645062.885,20.00717355,263.747093200684,4.57320713975734E-5,2.39689968866556E-7,1,0.999253354069792,40.0298881530762,1.99443623289777,16.1200007982552,0.000496560433816688,5.94566070960199E-5,0.25,-2.52732681816466E-6,4.54664939218864E-5,-2.40823740499864E-6,20.0070496,20.0072975,233.822494506836,293.671691894531,52.2276360264863,18.727933123708,4.5496073,0,0,0,4449,20.00155,263.747093200684,,,,,,,,,,,,,,,,,13.753754,,,,,,20.00717355,,,,
,46645063.985,20.0072422,321.052474975586,4.64832199984724E-5,2.41433822435027E-7,1,0.999253354069792,40.0298881530762,1.9945880750706,16.1200007982552,0.000504605823386181,6.12727964086825E-5,0.25,-2.49123666052831E-6,4.62131317704134E-5,-2.37058785975376E-6,20.0070496,20.0074348,293.671691894531,348.433258056641,52.2901663080248,18.7252485295259,4.52699545,0,0,0,4449,20.00195,321.052474975586,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0072422,,,,
,46645065.15,20.0075445,378.437530517578,4.7331829407466E-5,2.48668392103199E-7,1,0.999253354069792,40.0298881530762,1.99445875816481,16.1200007982552,0.00051275005268199,6.82734338500907E-5,0.25,-1.98944606947295E-6,4.70555924023417E-5,-1.86977435310636E-6,20.0074348,20.0076542,348.433258056641,408.441802978516,52.6731642824479,18.7269833057012,4.52699545,0,0,0,4449,20.00195,378.437530517578,,,,,,,,,,,,,,,,,13.753754,,,,,,20.0075445,,,,
,46645067.215,20.00816345,480.772232055664,4.71201763117361E-5,2.99983939658826E-7,1,0.999253354069792,40.0298881530762,1.99440687775767,16.1200007982552,0.000511203669862678,6.3661672892049E-5,0.25,-2.38101428490226E-6,4.68461424844038E-5,-2.25937522510142E-6,20.0079174,20.0084095,473.311096191406,488.233367919922,52.781810646621,18.7259788479537,4.6414213,0,0,0,4449,20.0041,480.772232055664,,,,,,,,,,,,,,,,,13.003003,,,,,,20.00816345,,,,
,46645067.875,20.00867365,513.148971557617,4.77384975597206E-5,2.51548526322403E-7,1,0.999253354069792,40.0298881530762,1.9944898713885,16.1200007982552,0.000517701478301975,6.58098601651934E-5,0.25,-2.29045783915807E-6,4.74606075176355E-5,-2.16790410720269E-6,20.0084095,20.0089378,488.233367919922,538.064575195313,52.2878214224671,18.7279025024593,4.6414213,0,0,0,4449,20.00415,513.148971557617,,,,,,,,,,,,,,,,,13.378378,,,,,,20.00867365,,,,
