#File generated by ModelExp v0.7.1
#Read datafile: ../mftFiles/DD205_4_5K_6000mT_u.mft
#Read datafile: ../mftFiles/DD205_4_5K_6000mT_d.mft
#Started Fit at 2019-01-08 10:15:52.362279
#Finished Fit at 2019-01-08 10:15:52.389813
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 3
#    # data points      = 270
#    # variables        = 1
#    chi-square         = 4.34074282
#    reduced chi-square = 0.01613659
#    Akaike info crit   = -1113.20165
#    Bayesian info crit = -1109.60322
#[[Variables]]
#    i0:                      0.975 (fixed)
#    bg:                      1.4e-07 (fixed)
#    roughnessSubstrate:      20.04103 (fixed)
#    roughnessSpacer:         23.52761 (fixed)
#    roughnessShellCube:      14.57009 (fixed)
#    roughnessCubeShell:      22.31643 (fixed)
#    roughnessShellAir:       8.4 (fixed)
#    a:                       93.8 (fixed)
#    sigA:                    0 (fixed)
#    packingDensity:          0.506359 (fixed)
#    sldSubstrate:            2.079e-06 (fixed)
#    sldCore:                 6.194e-06 (fixed)
#    sldSpacer:               4.186e-06 (fixed)
#    sldShellLower:           7.8e-08 (fixed)
#    sldShellTop:             7.8e-08 (fixed)
#    thicknessSpacer:         24.25716 (fixed)
#    thicknessShellLower:     36.601 (fixed)
#    thicknessShellTop:       39.6 (fixed)
#    coverage:                1 (fixed)
#    orderHermite:            10 (fixed)
#    magSldCore:              9.2125e-07 +/- 1.9957e-08 (2.17%) (init = 9.212526e-07)
#    polarization_p:          1 (fixed)
#    polarizationEfficiency:  1 (fixed)
#    gamma:                   0 (fixed)
#    polarization_m:         -1 (fixed)

#[[Data]] p
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00534516	1.00832	0.0704001	0.9750001399999998
0.00543942	0.987399	0.0642535	0.9750001399999999
0.00553705	0.979498	0.058489	0.9750001399999999
0.00563826	0.98142	0.0548868	0.9750001400000001
0.00573834	1.01168	0.0546089	0.97500014
0.00583705	1.0256	0.0516702	0.97500014
0.00593922	1.03946	0.0489311	0.97500014
0.00604503	1.01596	0.0454932	0.97500014
0.00615467	1.00564	0.0424626	0.9750001399999999
0.00626837	0.996696	0.039561	0.9750001399999999
0.0063803	0.997284	0.0390331	0.9750001399999999
0.00649013	0.991012	0.0366504	0.9750001400000001
0.00660381	0.99865	0.0346661	0.97500014
0.00672154	0.992195	0.0325754	0.9750001400000001
0.00684354	0.999662	0.0308035	0.9750001400000002
0.00697006	1.01133	0.0292888	0.9750001399999999
0.00710134	1.00074	0.0275959	0.9750001399999998
0.0072299	0.990178	0.0275	0.97500014
0.00735528	1.00407	0.0263628	0.9750001399999999
0.00748507	1.00589	0.0250351	0.9750001399999998
0.00761954	1.00614	0.0237744	0.9750001399999997
0.00775892	0.997103	0.0224686	0.9750001399999999
0.00790349	0.997279	0.0213023	0.97500014
0.00805356	1.00105	0.0202991	0.9750001399999998
0.00819946	0.9894	0.0205987	0.9750001399999998
0.00834053	0.989223	0.0197154	0.9750001399999998
0.00848655	0.995088	0.0189267	0.9750001399999998
0.00863777	1.0012	0.01822	0.9750001399999998
0.00879448	0.997477	0.017436	0.97500014
0.00895698	0.975075	0.0165144	0.9750001400000001
0.0091256	0.967909	0.0157784	0.97500014
0.00930069	0.930485	0.0148376	0.97500014
0.00948263	0.918829	0.0141887	0.9716721107341383
0.00965798	0.861113	0.0143091	0.959074834622304
0.00982578	0.81178	0.0134569	0.928200927998641
0.00999951	0.721432	0.0122385	0.8669438718695163
