[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32294179.91,01/10/2019,2:38 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Monolayer,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32294317.69,349.5692139,99.4112396240234,7.64444319550105E-6,4.69635206627032E-7,1,0.999253354069792,40.0298881530762,1.99515281367991,19.7599995881319,8.70669288882725E-5,1.00271242677277E-5,0.25,-4.34604204106718E-7,7.63124336619367E-6,-4.29579783770916E-7,349.5692139,349.5692139,99.4112396240234,99.4112396240234,57.0268351345637,20.5193315230604,26.705515,0,0,0,40,4369,350.3011,99.4112396240234,,,,,,,,,,,,,0,,,,0,,,,,,349.5692139,,,,
,32294326.165,349.5628967,99.4112396240234,6.90736579252733E-6,4.09655650403611E-7,1,0.999253354069792,40.0298881530762,1.99518345783828,19.7599995881319,7.93423563539975E-5,5.19532300971749E-6,0.25,-7.35392658571575E-7,6.89563118720226E-6,-7.30248915627832E-7,349.5628967,349.5628967,99.4112396240234,99.4112396240234,57.1143775287176,20.5220342161515,27.085165,0,0,0,40,4370,350.1788,99.4112396240234,,,,,,,,,,,,,0,,,,0,,,,,,349.5628967,,,,
,32294343.335,349.4901428,99.4112396240234,7.30944686603068E-6,5.33556704114516E-7,1,0.999253354069792,40.0298881530762,1.99520235195053,19.7599995881319,8.2671182811804E-5,1.29518978871694E-5,0.25,-1.17317472532076E-7,7.29667819400736E-6,-1.13027804160428E-7,349.4901428,349.4901428,99.4112396240234,99.4112396240234,56.5125235689098,20.5186985781493,27.085165,0,0,0,40,4370,349.42345,99.4112396240234,,,,,,,,,,,,,0,,,,-0.0049,,,,,,349.4901428,,,,
,32294381.61,348.9618835,99.4112396240234,7.46642473258315E-6,4.90024761216306E-7,1,0.999253354069792,40.0298881530762,1.99514223509636,19.7599995881319,8.53395579989641E-5,8.06774805175788E-6,0.25,-5.77545918047874E-7,7.4537709211198E-6,-5.72352349421356E-7,348.9618835,348.9618835,99.4112396240234,99.4112396240234,57.054973761256,20.5204047497752,26.705515,0,0,0,40,4374,347.9041,99.4112396240234,,,,,,,,,,,,,0,,,,-0.0049,,,,,,348.9618835,,,,
,32294404.795,348.4555054,99.4112396240234,7.22910157750234E-6,4.35707973374934E-7,1,0.999253354069792,40.0298881530762,1.99512794981046,19.7599995881319,8.25750460941851E-5,8.11640564271423E-6,0.25,-5.3216012094113E-7,7.2169586468725E-6,-5.27172953895015E-7,348.4555054,348.4555054,99.4112396240234,99.4112396240234,56.8017261210252,20.5212912054826,27.085165,0,0,0,40,4374,346.66915,99.4112396240234,,,,,,,,,,,,,0,,,,-0.00245,,,,,,348.4555054,,,,
,32294422,347.9627686,99.4112396240234,7.09848634621186E-6,4.71154868852133E-7,1,0.999253354069792,40.0298881530762,1.99513188915596,19.7599995881319,7.97193164904939E-5,1.58544367481054E-5,0.25,1.76492646637181E-7,7.08628703209877E-6,1.80195240952682E-7,347.9627686,347.9627686,99.4112396240234,99.4112396240234,56.9103724851983,20.5210660908511,26.705515,0,0,0,40,4374,346.18385,99.4112396240234,,,,,,,,,,,,,0,,,,0.00245,,,,,,347.9627686,,,,
,32294443.675,347.4612122,99.4112396240234,7.50037220416765E-6,4.45040951639301E-7,1,0.999253354069792,40.0298881530762,1.99514790467345,19.7599995881319,8.43550238346465E-5,1.60579272031426E-5,0.25,1.24906045224054E-7,7.48764421329962E-6,1.28928416148759E-7,347.4612122,347.4612122,99.4112396240234,99.4112396240234,56.9072459711214,20.5186130157512,26.325863,0,0,0,40,4374,345.944,99.4112396240234,,,,,,,,,,,,,0,,,,0.0049,,,,,,347.4612122,,,,
,32294467.645,346.9665222,99.4112396240234,7.73207127737059E-6,5.3334690201641E-7,1,0.999253354069792,40.0298881530762,1.99513132673246,19.7599995881319,8.72314610677905E-5,1.49959985985643E-5,0.25,-9.38418778114877E-9,7.7191571731294E-6,-4.99517301161546E-9,346.9665222,346.9665222,99.4112396240234,99.4112396240234,56.8181403199291,20.5193431481271,27.464817,0,0,0,40,4374,345.22345,99.4112396240234,,,,,,,,,,,,,0,,,,0,,,,,,346.9665222,,,,
,32294486.045,346.4943542,99.4112396240234,5.8252140243296E-6,5.07606188439784E-7,1,0.999253354069792,40.0298881530762,1.99519523921355,19.7599995881319,6.55542054902089E-5,1.22660807143963E-5,0.25,7.87247306352011E-8,5.81552916348179E-6,8.18947425740461E-8,346.4943542,346.4943542,99.4112396240234,99.4112396240234,56.9799374234099,20.5198131068097,26.705515,0,0,0,40,4374,344.67,99.4112396240234,,,,,,,,,,,,,0,,,,0.00245,,,,,,346.4943542,,,,
,32294510.575,345.9502869,99.4112396240234,7.23250342503508E-6,4.08455197793477E-7,1,0.999253354069792,40.0298881530762,1.99509718401337,19.7599995881319,8.25734406679699E-5,8.3880748867516E-6,0.25,-5.08745754569328E-7,7.22095620222325E-6,-5.03809036259575E-7,345.9502869,345.9502869,99.4112396240234,99.4112396240234,56.8963031718522,20.5197119552184,26.705515,0,0,0,40,4374,344.1426,99.4112396240234,,,,,,,,,,,,,0,,,,-0.00245,,,,,,345.9502869,,,,
