[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32402822.41,01/11/2019,8:49 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Monolayer,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32402838.23,199.9941254,-0.258804142475128,,,2,,,,20.4500002563,,,,,,,199.9941254,199.9941254,-0.258804142475128,-0.258804142475128,,,26.705515,,,,-99999999,4369,199.9328,-0.258804142475128,,,,,,,,,,,,,,,,,,,,,,,199.9941254,,,,
sample offset = 35.92 mm touchdown = 15.2000002563 mm,32402885.67,199.98673245,0,1.59037608552172E-5,3.24330498497841E-7,1,0.999253354069792,40.0298881530762,1.99586650558705,20.4399991780519,0.00017977373841699,3.4659279690347E-5,0.25,2.9394677641721E-7,1.59583398223579E-5,3.12243243865035E-7,199.9863586,199.9871063,0,0,55.8794044683328,20.4811244392626,26.325863,0,0,0,40,4417,199.941,0,,,,,,,,,,,,,0,,,,0,,,,,,199.98673245,,,,
,32402904.335,199.9859161,47.3356628417969,1.65383210914709E-5,3.79894579042902E-7,1,0.999253354069792,40.0298881530762,1.99561847722214,20.4399991780519,0.00018843577808612,2.73372531000314E-5,0.25,-4.6165246344693E-7,1.6595911986608E-5,-4.45274429032966E-7,199.9859161,199.9859161,38.4607734680176,56.2105522155762,56.0388566862559,20.4876078009688,25.946213,0,0,0,40,4449,199.9377,47.3356628417969,,,,,,,,,,,,,0,,,,-0.0049,,,,,,199.9859161,,,,
,32402906.61,199.9859619,155.029273986816,1.63117258152342E-5,3.27698534850392E-7,1,0.999253354069792,40.0298881530762,1.99549805493321,20.4399991780519,0.000185043195894709,3.15674364143012E-5,0.25,-4.90661453053742E-8,1.63680861934615E-5,-3.15104243732655E-8,199.9859619,199.9859619,147.603042602539,162.455505371094,56.0795013692559,20.4857664797522,26.325863,0,0,0,40,4449,199.9383,155.029273986816,,,,,,,,,,,,,0,,,,0,,,,,,199.9859619,,,,
,32402908.64,199.98602295,254.458686828613,1.72130668486885E-5,3.96991536222866E-7,1,0.999253354069792,40.0298881530762,1.99550586781412,20.4399991780519,0.000196267746416023,2.75612386006072E-5,0.25,-5.58964795965605E-7,1.72730927335651E-5,-5.42190540018486E-7,199.9859619,199.986084,251.860214233398,257.057159423828,56.0529259996021,20.4877653835866,26.325863,0,0,0,40,4449,199.94255,254.458686828613,,,,,,,,,,,,,0,,,,0,,,,,,199.98602295,,,,
,32402910.72,199.98615265,359.381774902344,1.71145684095113E-5,3.54179838012994E-7,1,0.999253354069792,40.0298881530762,1.99548562622823,20.4399991780519,0.000195445874983593,2.56580875766621E-5,0.25,-7.09685619886896E-7,1.7174418023975E-5,-6.93539049590273E-7,199.986084,199.9862213,356.868438720703,361.895111083984,56.1138930241021,20.4878528254245,26.705515,0,0,0,40,4449,199.9432,359.381774902344,,,,,,,,,,,,,0,,,,0.0049,,,,,,199.98615265,,,,
,32402912.865,199.9862213,466.589385986328,1.7598226292193E-5,4.49254063729253E-7,1,0.999253354069792,40.0298881530762,1.99554375956688,20.4399991780519,0.000200397122253028,2.97095967940766E-5,0.25,-4.36432599196798E-7,1.76594485730101E-5,-4.18817723869837E-7,199.9862213,199.9862213,461.672271728516,471.506500244141,55.7988967308521,20.4916448832733,26.705515,0,0,0,40,4449,199.9444,466.589385986328,,,,,,,,,,,,,0,,,,0.0049,,,,,,199.9862213,,,,
,32402915,199.9870911,573.946319580078,1.83847429807032E-5,3.54557000675839E-7,1,0.999253354069792,40.0298881530762,1.99560204131789,20.4399991780519,0.000209003986448178,3.30838792123486E-5,0.25,-2.75530017421033E-7,1.84485049892575E-5,-2.56505686653472E-7,199.9870911,199.9870911,571.194885253906,576.69775390625,56.4390504881021,20.4912241440409,25.946213,0,0,0,40,4449,199.946,573.946319580078,,,,,,,,,,,,,0,,,,0,,,,,,199.9870911,,,,
,32402916.905,199.986969,668.743255615234,1.82369553977757E-5,4.16339509779777E-7,1,0.999253354069792,40.0298881530762,1.99561262643762,20.4399991780519,0.000207657404613592,3.09039842595192E-5,0.25,-4.42124279394848E-7,1.83003884116142E-5,-4.23836192972303E-7,199.986969,199.986969,666.120544433594,671.365966796875,55.9177042657751,20.4906392322951,26.325863,0,0,0,40,4449,199.9481,668.743255615234,,,,,,,,,,,,,0,,,,0,,,,,,199.986969,,,,
,32402918.875,199.9857483,766.161254882813,1.86693301891388E-5,3.2897066384842E-7,1,0.999253354069792,40.0298881530762,1.99556813455331,20.4399991780519,0.00021259705252172,3.15158374354333E-5,0.25,-4.6320431303473E-7,1.87342794275053E-5,-4.44519566400779E-7,199.9857483,199.9857483,761.038696289063,771.283813476563,56.3515080939483,20.4921780600243,26.325863,0,0,0,40,4449,199.9478,766.161254882813,,,,,,,,,,,,,0,,,,0.00245,,,,,,199.9857483,,,,
,32402921.04,199.9861145,873.443939208984,1.87951919561694E-5,4.43891180072843E-7,1,0.999253354069792,40.0298881530762,1.99561518258497,20.4399991780519,0.00021380838814315,3.30343768677763E-5,0.25,-3.51204538628185E-7,1.88604538065237E-5,-3.31996837073266E-7,199.9857483,199.9864807,865.936767578125,880.951110839844,56.2303556734675,20.4916275594914,26.705515,0,0,0,40,4449,199.9478,873.443939208984,,,,,,,,,,,,,0,,,,0.00245,,,,,,199.9861145,,,,
