[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32415065.52,01/11/2019,12:13 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Monolayer,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32415081.63,249.9964142,-0.304475486278534,,,2,,,,20.169999986887,,,,,,,249.9964142,249.9964142,-0.304475486278534,-0.304475486278534,,,27.844467,,,,-99999999,4369,250.0347,-0.304475486278534,,,,,,,,,,,,,,,,,,,,,,,249.9964142,,,,
sample offset = 35.92 mm touchdown = 14.919999986887 mm,32415119.515,249.991272,-0.015223772265017,8.70113502898916E-6,3.6240175376836E-7,1,0.999253354069792,40.0298881530762,1.98448707021203,20.1600007712841,9.80985552772663E-5,1.62744754216058E-5,0.25,-6.36665168815581E-8,8.71645630695604E-6,-5.65842221533715E-8,249.991272,249.991272,-0.0456713177263737,0.0152237731963396,55.5081309216982,20.4865878500299,27.085165,0,0,0,40,4417,250.03985,-0.015223772265017,,,,,,,,,,,,,0,,,,0,,,,,,249.991272,,,,
,32415137.33,249.9894714,37.0668048858643,9.30657568931767E-6,3.69218329628897E-7,1,0.999253354069792,40.0298881530762,1.98448225939585,20.1600007712841,0.000105410462587144,1.46029562066772E-5,0.25,-3.17111556498976E-7,9.32316953433263E-6,-3.09973492648444E-7,249.9894714,249.9894714,35.0311889648438,39.1024208068848,55.7934253312174,20.4843966761419,27.464817,0,0,0,40,4449,250.0405,37.0668048858643,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9894714,,,,
,32415139.235,249.9887085,128.128559112549,1.08889840143877E-5,4.24235760408868E-7,1,0.999253354069792,40.0298881530762,1.98464638740853,20.1600007712841,0.000123116827471467,1.83930063443462E-5,0.25,-2.55075778943387E-7,1.09083037626206E-5,-2.46520597958618E-7,249.9887085,249.9887085,118.31810760498,137.939010620117,56.177986562679,20.4833025570125,27.844467,0,0,0,40,4449,250.0401,128.128559112549,,,,,,,,,,,,,0,,,,0.0049,,,,,,249.9887085,,,,
,32415140.95,249.9887085,215.138801574707,1.32738436256853E-5,3.57121170318869E-7,1,0.999253354069792,40.0298881530762,1.98459768532239,20.1600007712841,0.000149941903607123,2.32046706296754E-5,0.25,-2.413326441539E-7,1.32973371641136E-5,-2.3078170727855E-7,249.9887085,249.9887085,207.738922119141,222.538681030273,55.8801860968521,20.4842888623846,27.464817,0,0,0,40,4449,250.04055,215.138801574707,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9887085,,,,
,32415143.065,249.9885406,319.618270874023,1.46639401214035E-5,3.94851678391709E-7,1,0.999253354069792,40.0298881530762,1.98455730845298,20.1600007712841,0.000164733948945024,3.08660227977818E-5,0.25,1.98012621265473E-7,1.4689509981502E-5,2.10483701892136E-7,249.9885406,249.9885406,312.169464111328,327.067077636719,56.1717335345252,20.4855546653323,27.085165,0,0,0,40,4449,250.04075,319.618270874023,,,,,,,,,,,,,0,,,,0,,,,,,249.9885406,,,,
,32415144.75,249.9871674,404.587661743164,1.58003093888458E-5,3.06895812929874E-7,1,0.999253354069792,40.0298881530762,1.98460154118106,20.1600007712841,0.000178968078520973,2.48145977363227E-5,0.25,-5.36522574708747E-7,1.58284815269017E-5,-5.24401253097211E-7,249.9871674,249.9871674,402.255035400391,406.920288085937,56.0247873729098,20.4841737986498,27.844467,0,0,0,40,4449,250.0421,404.587661743164,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9871674,,,,
,32415146.82,249.9876862,507.06477355957,1.75177566376403E-5,4.00003387982586E-7,1,0.999253354069792,40.0298881530762,1.98463383859462,20.1600007712841,0.000198220395088592,2.86889873014838E-5,0.25,-4.90345929374103E-7,1.75489043094259E-5,-4.76723910952063E-7,249.9876862,249.9876862,501.912384033203,512.217163085937,56.1639172493329,20.4847127084803,27.464817,0,0,0,40,4449,250.04305,507.06477355957,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9876862,,,,
,32415148.655,249.9876862,599.18505859375,1.81879741999052E-5,3.2161878327299E-7,1,0.999253354069792,40.0298881530762,1.98461642401423,20.1600007712841,0.000205549424937171,3.12453272806211E-5,0.25,-3.79542473384916E-7,1.82202064660222E-5,-3.65172133362755E-7,249.9876862,249.9876862,596.523620605469,601.846496582031,56.1631356208136,20.4849207356405,27.464817,0,0,0,40,4449,250.0437,599.18505859375,,,,,,,,,,,,,0,,,,-0.00245,,,,,,249.9876862,,,,
,32415150.625,249.9868622,694.092468261719,1.87259406700945E-5,3.70769970724426E-7,1,0.999253354069792,40.0298881530762,1.98462783066045,20.1600007712841,0.000212303568067324,2.82879003102658E-5,0.25,-7.35487916183976E-7,1.8759411860006E-5,-7.21297711963708E-7,249.9868622,249.9868622,691.623107910156,696.561828613281,56.0888809114867,20.4857235277446,27.464817,0,0,0,40,4449,250.0439,694.092468261719,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.9868622,,,,
,32415152.71,249.9867554,798.904083251953,1.92450056873299E-5,3.06195878313678E-7,1,0.999253354069792,40.0298881530762,1.98458876310664,20.1600007712841,0.00021727580718214,3.43100471682432E-5,0.25,-2.90656693707412E-7,1.92790201838288E-5,-2.75257182593977E-7,249.9867554,249.9867554,791.265014648438,806.543151855469,56.2616208142367,20.4849269949118,27.085165,0,0,0,40,4449,250.0471,798.904083251953,,,,,,,,,,,,,0,,,,-0.0049,,,,,,249.9867554,,,,
,32415154.715,249.9857788,898.843109130859,1.92313030038128E-5,2.99245229413136E-7,1,0.999253354069792,40.0298881530762,1.98465061073223,20.1600007712841,0.000216907966490334,3.55529310380142E-5,0.25,-1.77998537520741E-7,1.92652010104254E-5,-1.62412845049173E-7,249.9857788,249.9857788,896.346801757812,901.339416503906,56.2108149604867,20.486982273801,27.464817,0,0,0,40,4449,250.0468,898.843109130859,,,,,,,,,,,,,0,,,,0,,,,,,249.9857788,,,,
,32415156.625,249.98648835,995.846557617187,2.00013579495064E-5,4.30441619759865E-7,1,0.999253354069792,40.0298881530762,1.98462899350256,20.1600007712841,0.000225380298960189,3.81910036430736E-5,0.25,-7.72411184951306E-8,2.00365236215222E-5,-6.08422183141581E-8,249.9857788,249.9871979,990.65185546875,1001.04125976562,56.1553193356213,20.4872687198111,27.844467,0,0,0,40,4449,250.0466,995.846557617187,,,,,,,,,,,,,0,,,,0.00245,,,,,,249.98648835,,,,
