[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32256518.55,01/09/2019,4:10 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Monolayer,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32256535,300.0256653,0.0761188715696335,,,2,,,,20.169999986887,,,,,,,300.0256653,300.0256653,0.0761188715696335,0.0761188715696335,,,25.946213,,,,-99999999,4369,300.7482,0.0761188715696335,,,,,,,,,,,,,,,,,,,,,,,300.0256653,,,,
sample offset = 35.92 mm touchdown = 14.919999986887 mm,32256573.4,300.05169675,0.0456713177263737,-2.25256403546762E-7,2.81657312944262E-7,1,0.999253354069792,40.0298881530762,1.9980305473519,20.1600007712841,1.09538182298739E-6,-2.14725015224092E-5,0.25,-1.85894228489388E-6,-2.24018356145044E-7,-1.85903272497647E-6,300.0516052,300.0517883,0.0456713177263737,0.0456713177263737,55.6675831396213,20.447888766916,25.566563,0,0,0,40,4417,300.7146,0.0456713177263737,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.05169675,,,,
,32256591.77,300.0537415,35.0375499725342,1.76777358289431E-6,4.03552629518102E-7,1,0.999253354069792,40.0298881530762,1.9979604427146,20.1600007712841,2.09080228493574E-5,-1.78241194724647E-6,0.25,-4.63836261628016E-7,1.76802476495036E-6,-4.62650941160462E-7,300.0537415,300.0537415,26.834098815918,43.2410011291504,55.8473576990444,20.454570898338,24.807261,0,0,0,40,4449,300.6989,35.0375499725342,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.0537415,,,,
,32256593.53,300.0523071,115.915149688721,3.91572369302894E-6,5.07275822086396E-7,1,0.999253354069792,40.0298881530762,1.99796768975557,20.1600007712841,4.47394067874288E-5,5.13230581939857E-6,0.25,-2.24771659336829E-7,3.91574875435006E-6,-2.22171522305174E-7,300.0523071,300.0523071,113.289756774902,118.540542602539,55.8926921531598,20.4551574331075,25.946213,0,0,0,40,4449,300.6968,115.915149688721,,,,,,,,,,,,,0,,,,0,,,,,,300.0523071,,,,
,32256595.35,300.05239865,205.054298400879,9.23943417197348E-6,4.68701422628552E-7,1,0.999253354069792,40.0298881530762,1.99795021891648,20.1600007712841,0.000105515716823913,1.23943675935246E-5,0.25,-5.05223954227335E-7,9.23947662573007E-6,-4.99089501640225E-7,300.0523071,300.0524902,202.576904296875,207.531692504883,55.9841426899098,20.4559955968392,25.566563,0,0,0,40,4449,300.6937,205.054298400879,,,,,,,,,,,,,0,,,,0,,,,,,300.05239865,,,,
,32256597.285,300.0524902,299.862457275391,1.2381994024833E-5,4.86839057516986E-7,1,0.999253354069792,40.0298881530762,1.99795541506167,20.1600007712841,0.000140742686814866,2.04302382173272E-5,0.25,-3.39380729121547E-7,1.23818272666195E-5,-3.31170585760262E-7,300.0524902,300.0524902,297.353607177734,302.371307373047,55.9653836054482,20.4547614984389,25.186911,0,0,0,40,4449,300.6952,299.862457275391,,,,,,,,,,,,,0,,,,-0.0049,,,,,,300.0524902,,,,
,32256599.4,300.0517883,407.056167602539,1.4382733227564E-5,4.3516587180032E-7,1,0.999253354069792,40.0298881530762,1.9979572484861,20.1600007712841,0.000162831987370311,2.74986305691474E-5,0.25,-6.12258419239664E-8,1.43823193720947E-5,-5.16995438381089E-8,300.0517883,300.0517883,401.901794433594,412.210540771484,55.9528775491405,20.4581205640324,25.566563,0,0,0,40,4449,300.6914,407.056167602539,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0517883,,,,
,32256601.485,300.0527039,509.420516967773,1.67772627569905E-5,4.01893575957108E-7,1,0.999253354069792,40.0298881530762,1.997931960379,20.1600007712841,0.000190669502366038,2.78601330762377E-5,0.25,-4.44114625932682E-7,1.67770262545294E-5,-4.32990604462542E-7,300.0527039,300.0527039,506.862365722656,511.978668212891,55.9817978043521,20.4575263453989,25.566563,0,0,0,40,4449,300.69045,509.420516967773,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0527039,,,,
,32256603.535,300.0528564,614.314453125,1.77442489293331E-5,4.72538482534769E-7,1,0.999253354069792,40.0298881530762,1.9979058525078,20.1600007712841,0.000201737868444159,2.89961768963346E-5,0.25,-5.112009811536E-7,1.77440261750459E-5,-4.99434531738513E-7,300.0528564,300.0528564,606.7275390625,621.9013671875,55.8966002957559,20.4568788542674,25.186911,0,0,0,40,4449,300.6887,614.314453125,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0528564,,,,
,32256605.85,300.0535889,728.801361083984,1.81667798025617E-5,3.78226517987993E-7,1,0.999253354069792,40.0298881530762,1.99790755908791,20.1600007712841,0.000205532613688971,3.55117942744107E-5,0.25,-8.45604762508169E-9,1.81662102981055E-5,3.5741684418297E-9,300.0535889,300.0535889,721.256164550781,736.346557617187,55.883312610929,20.458907576751,25.186911,0,0,0,40,4449,300.68855,728.801361083984,,,,,,,,,,,,,0,,,,0.0049,,,,,,300.0535889,,,,
,32256608.08,300.050415,841.309631347656,1.91593665683075E-5,4.14923107463031E-7,1,0.999253354069792,40.0298881530762,1.99785299746747,20.1600007712841,0.00021781282237212,3.13558625988389E-5,0.25,-5.47725891885872E-7,1.91591249278093E-5,-5.3502138022914E-7,300.050415,300.050415,831.446166992188,851.173095703125,55.9583489487752,20.4588016886358,25.566563,0,0,0,40,4449,300.6856,841.309631347656,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.050415,,,,
