[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,19727777.34,08/17/2018,7:54 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,19728027.67,150.0517,0.137013956904411,-2.81898447441717E-5,3.74031066608613E-7,1,0.999253354069792,40.0298881530762,1.9938326921636,14.2400003969669,-0.000321566065761055,-4.5582246544436E-5,0.25,8.93256793038405E-7,-2.83293104023538E-5,8.52425147493486E-7,150.0525,150.0525,0.106566414237022,0.1674614995718,53.4751151431787,19.5583115948471,24.427608,0,0,0,40,4417,150.0517,0.137013956904411,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728044.89,150.0499,45.3010025024414,-2.3102682588821E-5,2.809092998758E-7,1,0.999253354069792,40.0298881530762,1.99371632657454,14.2400003969669,-0.000261182951388225,-5.07762655926351E-5,0.25,-4.51123438932538E-7,-2.32150838684509E-5,-4.90380533726671E-7,150.0499,150.0499,41.0916366577148,49.510368347168,53.6259694473903,19.5596232635878,24.807261,0,0,0,40,4449,150.0499,45.3010025024414,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728046.675,150.0509,125.898498535156,-2.30866965363358E-5,3.10292557834523E-7,1,0.999253354069792,40.0298881530762,1.99378770724617,14.2400003969669,-0.000261575137766988,-4.75055991493925E-5,0.25,-1.65447017174865E-7,-2.31994772187201E-5,-2.03278702407078E-7,150.0509,150.0509,125.898498535156,125.898498535156,53.7393055826788,19.5547645777228,24.807261,0,0,0,40,4449,150.0509,125.898498535156,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728048.645,150.0508,224.281257629395,-2.24146485981941E-5,2.71959213320197E-7,1,0.999253354069792,40.0298881530762,1.99385095709815,14.2400003969669,-0.00025416418846249,-4.50005796440166E-5,0.25,-6.15944189108293E-8,-2.25243053056155E-5,-9.78391540626128E-8,150.0501,150.0501,219.302673339844,229.259841918945,53.7721339804865,19.5578651995178,24.427608,0,0,0,40,4449,150.0508,224.281257629395,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728050.47,150.0508,313.542053222656,-2.14611568799856E-5,2.58299880890205E-7,1,0.999253354069792,40.0298881530762,1.99381936694439,14.2400003969669,-0.000242949667567904,-4.53759100958692E-5,0.25,-2.60857800211303E-7,-2.156582536507E-5,-2.9654853876628E-7,150.0506,150.0506,313.542053222656,313.542053222656,53.9691043673326,19.5566299217451,24.047956,0,0,0,40,4449,150.0508,313.542053222656,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728052.145,150.0502,398.487167358398,-2.13374063212969E-5,2.29172482479844E-7,1,0.999253354069792,40.0298881530762,1.9938615119082,14.2500000074506,-0.00024199428595807,-4.25859093583584E-5,0.25,-3.64072938376489E-8,-2.14418292396546E-5,-7.08000173895555E-8,150.0496,150.0496,393.55029296875,403.424041748047,53.5399903102749,19.5559252421329,24.427608,0,0,0,40,4449,150.0502,398.487167358398,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728054.03,150.0493,493.579162597656,-2.09832679131897E-5,2.15347076524249E-7,1,0.999253354069792,40.0298881530762,1.99382649334567,14.2400003969669,-0.000237434469966444,-4.49747011688934E-5,0.25,-3.0873708828845E-7,-2.10855207299953E-5,-3.43894908865654E-7,150.0493,150.0493,488.353637695313,498.8046875,53.7322709260057,19.5566026168498,24.047956,0,0,0,40,4449,150.0493,493.579162597656,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728055.83,150.0505,583.568115234375,-1.99930323857305E-5,2.76444982720173E-7,1,0.999253354069792,40.0298881530762,1.99379434364119,14.2400003969669,-0.000225883943849071,-4.48152682678104E-5,0.25,-4.67264585879516E-7,-2.00901817747166E-5,-5.01609669912577E-7,150.0512,150.0512,583.568115234375,583.568115234375,53.7533748960249,19.5567035947262,24.427608,0,0,0,40,4449,150.0505,583.568115234375,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728057.725,150.0511,675.814025878906,-1.99886367712792E-5,2.54179050154373E-7,1,0.999253354069792,40.0298881530762,1.99380738029899,14.2400003969669,-0.000225703578001221,-4.5564000599423E-5,0.25,-5.34006968006715E-7,-2.00856575375398E-5,-5.68670788340518E-7,150.0511,150.0511,673.04638671875,678.581665039063,53.8690559168711,19.5572158020212,24.427608,0,0,0,40,4449,150.0511,675.814025878906,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,19728059.84,150.05015,782.759735107422,-1.93223898586544E-5,2.28571638240783E-7,1,0.999253354069792,40.0298881530762,1.99390849619508,14.2400003969669,-0.000218478558676106,-4.23977914759927E-5,0.25,-3.70801332450158E-7,-1.94164106174167E-5,-4.03597094884723E-7,150.0488,150.0488,777.722778320312,787.796691894531,53.8651477742749,19.5569833622046,24.427608,0,0,0,40,4449,150.05015,782.759735107422,,,,,,,,,,,,,0,,,,,,,,,,,,,,
