[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,32267115.55,01/09/2019,7:07 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DD205_4,SAMPLE_MATERIAL
INFO,Monolayer,SAMPLE_COMMENT
INFO,29.55,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,32279907.05,4.9926195,99.4112396240234,,,2,,,,21.2100004553795,,,,,,,4.9926195,4.9926195,99.4112396240234,99.4112396240234,,,8.861917,,,,-99999999,4373,5.005,99.4112396240234,,,,,,,,,,,,,,,,,,,,,,,4.9926195,,,,
,32279998.67,4.9954376,99.4112396240234,-5.85973274088969E-7,2.66379840509382E-7,1,0.999253354069792,40.0298881530762,1.99741444375707,21.1999993771315,-6.11238854697801E-6,-3.82975859239698E-6,0.25,-2.3674958864057E-7,-5.81469418819337E-7,-2.38217285626627E-7,4.9954376,4.9954376,99.4112396240234,99.4112396240234,56.2350454445829,20.4780675546479,8.482265,0,0,0,40,4369,5.0087,99.4112396240234,,,,,,,,,,,,,0,,,,0.0049,,,,,,4.9954376,,,,
,32280006.82,5.0068178,99.4112396240234,-3.11706486220371E-7,2.79983892004008E-7,1,0.999253354069792,40.0298881530762,1.99742957308533,21.1999993771315,-3.34421749575163E-6,-1.51504447455552E-6,0.25,-7.94689267880143E-8,-3.09534788610154E-7,-8.0516282171001E-8,5.0068178,5.0068178,99.4112396240234,99.4112396240234,56.3788650921214,20.472983332996,8.482265,0,0,0,40,4370,5.0475,99.4112396240234,,,,,,,,,,,,,0,,,,0.00245,,,,,,5.0068178,,,,
,32280026.77,5.5356474,99.4112396240234,-4.25019598759875E-7,3.02019488172762E-7,1,0.999253354069792,40.0298881530762,1.99735322984958,21.1999993771315,-4.9797458672678E-6,2.99394729493477E-7,0.25,1.02116781444564E-7,-4.23073443983014E-7,9.94810593008123E-8,5.5356474,5.5356474,99.4112396240234,99.4112396240234,56.3374387806021,20.4754179997005,8.861917,0,0,0,40,4370,5.59785,99.4112396240234,,,,,,,,,,,,,0,,,,0,,,,,,5.5356474,,,,
,32280047.445,6.03874205,99.4112396240234,-2.57129500691758E-7,2.85474727175335E-7,1,0.999253354069792,40.0298881530762,1.99751828349047,21.1999993771315,-1.92009355362377E-6,-5.97285821998565E-6,0.25,-4.85829427269686E-7,-2.53311019757281E-7,-4.84281847436808E-7,6.0047283,6.0727558,99.4112396240234,99.4112396240234,56.5078337977944,20.4757708379747,9.621219,0,0,0,40,4370,6.1016,99.4112396240234,,,,,,,,,,,,,0,,,,0.00245,,,,,,6.03874205,,,,
,32280065.155,6.5056586,99.4112396240234,-3.46713855669493E-7,2.71788997529734E-7,1,0.999253354069792,40.0298881530762,1.99747891943753,21.1999993771315,-3.6274263932905E-6,-2.2059202415895E-6,0.25,-1.34727511197236E-7,-3.44074554701435E-7,-1.35626556999657E-7,6.5056586,6.5056586,99.4112396240234,99.4112396240234,56.5281561392944,20.4773020658918,9.621219,0,0,0,40,4370,6.5462,99.4112396240234,,,,,,,,,,,,,0,,,,-0.00245,,,,,,6.5056586,,,,
,32280086.97,7.0079131,99.4112396240234,1.3636392616734E-7,2.52316130906978E-7,1,0.999253354069792,40.0298881530762,1.99746141198974,21.1999993771315,2.51943450218847E-6,-5.28620028706964E-6,0.25,-4.94615888289176E-7,1.37966839381707E-7,-4.91119815958524E-7,7.0079131,7.0079131,99.4112396240234,99.4112396240234,56.3976241765829,20.4805118999741,10.00087,0,0,0,40,4370,7.0844,99.4112396240234,,,,,,,,,,,,,0,,,,0,,,,,,7.0079131,,,,
,32280108.36,7.5655055,99.4112396240234,-2.40665110876887E-7,2.9658437545787E-7,1,0.999253354069792,40.0298881530762,1.99734798355396,21.1999993771315,-2.08507044060321E-6,-3.96770240023268E-6,0.25,-3.10355231811487E-7,-2.37787117484441E-7,-3.09734761952481E-7,7.5655055,7.5655055,99.4112396240234,99.4112396240234,56.4179465180829,20.4792084390268,10.00087,0,0,0,40,4370,7.62825,99.4112396240234,,,,,,,,,,,,,0,,,,-0.0049,,,,,,7.5655055,,,,
,32280128.72,8.0628195,99.4112396240234,-7.57401117822155E-8,2.87391801377985E-7,1,0.999253354069792,40.0298881530762,1.99738160019036,21.1999993771315,-2.22074919596467E-7,-3.69346348875398E-6,0.25,-3.15231931424445E-7,-7.37850826261645E-8,-3.13787910799154E-7,8.0628195,8.0628195,99.4112396240234,99.4112396240234,56.5500417378329,20.4838620162965,10.00087,0,0,0,40,4370,8.13795,99.4112396240234,,,,,,,,,,,,,0,,,,-0.0049,,,,,,8.0628195,,,,
,32280148.615,8.5613718,99.4112396240234,-2.34498740637939E-7,3.07840493771282E-7,1,0.999253354069792,40.0298881530762,1.99733772771968,21.1999993771315,-2.11827479055086E-6,-3.37811136476744E-6,0.25,-2.58983461564329E-7,-2.31903648218045E-7,-2.58627805343995E-7,8.5613718,8.5613718,99.4112396240234,99.4112396240234,56.6579064734868,20.4822714792049,11.139823,0,0,0,40,4370,8.64005,99.4112396240234,,,,,,,,,,,,,0,,,,0,,,,,,8.5613718,,,,
