#File generated by ModelExp v0.3.8
#Read datafile: ../mftFiles/DD205_4_5K_10mT_u.mft
#Read datafile: ../mftFiles/DD205_4_5K_10mT_d.mft
#Started Fit at 2018-08-20 19:08:48.193145
#Finished Fit at 2018-08-20 19:08:48.527428
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 67
#    # data points      = 350
#    # variables        = 5
#    chi-square         = 37.3507547
#    reduced chi-square = 0.10826306
#    Akaike info crit   = -773.153013
#    Bayesian info crit = -753.863347
#[[Variables]]
#    i0:                  1 (fixed)
#    bg:                  1.3165e-07 +/- 3.1839e-08 (24.19%) (init = 1e-07)
#    roughness:           14.5585298 +/- 0.48656217 (3.34%) (init = 14.54)
#    packingDensity:      0.64720056 +/- 0.03065832 (4.74%) (init = 0.647)
#    a:                   93.9 (fixed)
#    d:                   36.7709044 +/- 2.83918022 (7.72%) (init = 36.765)
#    bottomThickness:     0 (fixed)
#    nLayers:             1 (fixed)
#    sldCore:             6.011e-06 (fixed)
#    sldShell:            7.8e-08 (fixed)
#    sldMatrix:           0 (fixed)
#    sldSubstrate:        2.072e-06 (fixed)
#    sldBottom:           0 (fixed)
#    coverage:            0.25930409 +/- 0.04296723 (16.57%) (init = 0.259)
#    roughnessSubstrate:  9.1647 (fixed)
#    magSldCore:          0 (fixed)
#    magSldShell:         0 (fixed)
#    polarization_p:      1 (fixed)
#    polarization_m:     -1 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(packingDensity, coverage)  = -0.929
#    C(roughness, coverage)       =  0.615
#    C(d, coverage)               = -0.582
#    C(packingDensity, d)         =  0.463
#    C(roughness, packingDensity) = -0.445
#    C(roughness, d)              = -0.275
#    C(bg, roughness)             =  0.180
#    C(bg, coverage)              =  0.140
#    C(bg, packingDensity)        = -0.124

#[[Data]] p
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00549938	1.0047	0.0752484	1.0000001316458413
0.00559635	0.994086	0.0691852	1.0000001316458411
0.0056968	0.984803	0.0618262	1.0000001316458413
0.00579608	0.95672	0.0593907	1.0000001316458411
0.00589394	0.92914	0.0553345	1.0000001316458416
0.00599515	0.921729	0.0523515	1.0000001316458416
0.00609991	0.96303	0.0506801	1.0000001316458413
0.00620838	0.954277	0.0470758	1.0000001316458413
0.00632079	0.961811	0.0445755	1.000000131645841
0.00643138	0.935503	0.0436546	1.0000001316458413
0.00653981	0.911252	0.0404424	1.0000001316458411
0.00665196	0.904139	0.0377531	1.0000001316458411
0.00676802	0.909802	0.0357537	1.0000001316458413
0.0068882	0.897986	0.0334111	1.0000001316458411
0.00701273	0.915254	0.0316393	1.0000001316458411
0.00714185	0.933406	0.030119	1.0000001316458413
0.00726819	0.948436	0.0306359	1.0000001316458411
0.0073913	0.954375	0.0292445	1.0000001316458413
0.00751864	0.942676	0.0276571	1.0000001316458413
0.00765045	0.933491	0.0261554	1.0000001316458411
0.00778697	0.920335	0.0247306	1.0000001316458411
0.00792845	0.927128	0.0235167	1.0000001316458411
0.00807516	0.945119	0.0225689	1.0000001316458413
0.00821767	0.946799	0.0230048	1.0000001316458413
0.00835534	0.945422	0.0220573	1.0000001316458413
0.0084977	0.931854	0.0210011	1.0000001316458411
0.008645	0.92511	0.0200703	1.0000001316458411
0.0087975	0.927123	0.0192269	1.000000131645841
0.00895548	0.925364	0.0183692	1.0000001316458411
0.00911923	0.928568	0.0176343	1.0000001316458413
0.00928908	0.900237	0.0166467	1.0000001316458411
0.00946538	0.895156	0.0159656	0.9962943490265983
0.0096351	0.864755	0.0163907	0.9822679200785777
0.00979734	0.821577	0.0155064	0.9480602792257771
0.00996514	0.739741	0.01426	0.8803841730251415
0.0101388	0.640014	0.0128283	0.7737526600788388
0.0103186	0.551816	0.0115401	0.6387875371765067
0.0105049	0.440629	0.00995089	0.4991808323722474
0.010698	0.356321	0.00860323	0.37807258195582655
0.0108984	0.287987	0.00740473	0.286319299028424
0.0111064	0.230758	0.00633454	0.22213515453803834
0.0113226	0.193547	0.00555568	0.17788323490956565
0.0115281	0.163483	0.00534384	0.14859084978965406
0.0117216	0.142055	0.00477144	0.12812422520695074
0.0119218	0.127559	0.00433535	0.11155338992336189
0.0121289	0.110615	0.00388272	0.09776667768084632
0.0123433	0.0982423	0.00352544	0.08610530121083933
0.0125654	0.0884207	0.0032257	0.07613948172911793
0.0127957	0.0771747	0.0028973	0.06755420373042023
0.0130346	0.0691867	0.00263033	0.060124024372135036
0.0132825	0.0624779	0.00241656	0.05365756991871135
0.0135401	0.0570925	0.0022117	0.04798770256812634
0.0138079	0.051415	0.00200629	0.04298788701355329
0.0140864	0.0463835	0.00183614	0.0385183488923026
0.0143765	0.0413873	0.00166809	0.03459534543660517
0.0146477	0.0382563	0.00172985	0.03144438631653693
0.0148978	0.0352212	0.00161435	0.028909946076493727
0.0151565	0.032561	0.00150613	0.026601164911980734
0.0154243	0.0307848	0.0014165	0.024515611596210334
0.0157018	0.0282558	0.00131306	0.022580312699449066
0.0159895	0.0262754	0.00122734	0.020807718761386117
0.0162879	0.0240522	0.00113514	0.01918499812626568
0.0165977	0.0219246	0.00104807	0.01769987071503359
0.0169194	0.0198576	0.000968493	0.01635506359854791
0.0172539	0.0174622	0.000882079	0.015102667564198369
0.0176019	0.0165657	0.000836299	0.013946433905571591
0.0179642	0.0152822	0.00078345	0.012890553801439901
0.0183417	0.0144242	0.000745356	0.011923251071522313
0.0187354	0.0134092	0.00070235	0.01102828564383255
