# GRASP V.7.15CD    Instrument:  ILL_d22

# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  AH11 RF off 8m
# Start: 22-Apr-18   16:04:22   End: 22-Apr-18   16:24:22

# Sample - (Flip off):  213434 , Loaded: 213434,213446,213464,213476,213480,213492,213496,213508,213512
# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  AH11 RF on 8m
# Start: 22-Apr-18   16:24:22   End: 22-Apr-18   16:44:22

# Sample + (Flip on):  213435 , Loaded: 213435, 213447,213465,213477,213481,213489,213497,213509,213513
# Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Background:  213452 , Loaded: 213452,213453
# Cadmium: No Cadmium Subtraction

# Transmissions:  Ts = 0.99545 +/- 0.0049653  Te = 0.82099 +/- 0.0039031
# Foreground Image Only :  I_corr = I_s

# Beam Centre1 :  Cx = 65.4982  Cy = 126.261       Cm Translation :  Tx = 0  Ty = 0 [mm]

# ***** Calibrations: *****
# Data: Corrected for D22 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.2 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 2
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q



0.00727339	0.803907	0.035566	0.00169126
0.00775354	0.687825	0.0282488	0.00169126
0.00818361	0.698166	0.0283614	0.00169126
0.008614	0.639826	0.0273539	0.00169126
0.00904467	0.658444	0.0268194	0.00169126
0.00947558	0.649132	0.0269747	0.00169125
0.00990669	0.593055	0.0258197	0.00169125
0.010338	0.590955	0.0253332	0.00169125
0.0107694	0.585126	0.0251699	0.00169125
0.011201	0.597013	0.0252871	0.00169124
0.0116327	0.583405	0.0252167	0.00169124
0.0120646	0.522612	0.024077	0.00169124
0.0125253	0.540463	0.0216188	0.00169123
0.0129409	0.529888	0.019796	0.00169123
0.0133714	0.521705	0.0197925	0.00169334
0.0138021	0.522397	0.019485	0.00169544
0.0142329	0.510072	0.0190273	0.00169722
0.0146981	0.508472	0.0178731	0.00169885
0.0151669	0.460323	0.0185595	0.00170026
0.0155981	0.431888	0.0179121	0.00170138
0.0160294	0.478781	0.0189398	0.00170237
0.0164608	0.443905	0.0182693	0.00170325
0.0168923	0.416318	0.0179581	0.00170404
0.0173468	0.407915	0.0164688	0.00170478
0.0177689	0.417719	0.0153646	0.00170541
0.0181994	0.393583	0.0149556	0.00170599
0.01863	0.374984	0.0147097	0.00170651
0.0190608	0.375115	0.0146658	0.001707
0.0194916	0.357839	0.0140769	0.00170744
0.0199225	0.351009	0.0142703	0.00170785
0.0203535	0.319891	0.0138465	0.00170823
0.0207846	0.301859	0.0132801	0.00170858
0.0212157	0.287569	0.0133375	0.00170891
0.0216469	0.286893	0.013608	0.00170921
0.0220782	0.288776	0.0133301	0.0017095
0.0225372	0.275861	0.0116266	0.00170978
0.022988	0.259962	0.0109185	0.00171004
0.023442	0.24409	0.0113763	0.00171029
0.0238726	0.243391	0.0110222	0.0017105
0.0243033	0.232973	0.0110271	0.00171071
0.0247341	0.2277	0.011067	0.00171091
0.0251649	0.226178	0.0108847	0.00171109
