#File generated by ModelExp v0.3.5
#Read datafile: ../YF45_nuclear_SA.dat
#Read datafile: ../YF45_nuclear_LA.dat
#Started Fit at 2018-08-27 11:43:23.307014
#Finished Fit at 2018-08-27 13:41:59.274072
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 110
#    # data points      = 196
#    # variables        = 6
#    chi-square         = 499.675924
#    reduced chi-square = 2.62987329
#    Akaike info crit   = 195.425635
#    Bayesian info crit = 215.094323
#[[Variables]]
#    r:              42.89596 (fixed)
#    d:              11.2363778 +/- 0.57868174 (5.15%) (init = 6.071306)
#    pVal:           2.164745 (fixed)
#    sldCore:        6.9385e-06 +/- 6.1310e-08 (0.88%) (init = 6.4652e-06)
#    sldShell:       7.8e-08 (fixed)
#    sldSolvent:     5.664e-06 (fixed)
#    sigR:           0.1503019 (fixed)
#    i0:             0.10093954 +/- 0.01342592 (13.30%) (init = 0.503437)
#    bg:             0.00394841 +/- 3.2428e-04 (8.21%) (init = 0)
#    orderHermite:   10 (fixed)
#    orderLegendre:  10 (fixed)
#    dTheta_sa:      0.00195257 +/- 2.2338e-04 (11.44%) (init = 0.00124365)
#    wavelength:     5.9984 (fixed)
#    dWavelength:    0.04247 (fixed)
#    dTheta_la:      0.00337370 +/- 1.5106e-04 (4.48%) (init = 0.00322425)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(d, i0)                = -0.995
#    C(d, sldCore)           =  0.926
#    C(sldCore, i0)          = -0.888
#    C(i0, bg)               = -0.736
#    C(d, bg)                =  0.687
#    C(sldCore, dTheta_sa)   =  0.581
#    C(d, dTheta_sa)         =  0.509
#    C(sldCore, dTheta_la)   =  0.506
#    C(i0, dTheta_sa)        = -0.493
#    C(sldCore, bg)          =  0.466
#    C(d, dTheta_la)         =  0.410
#    C(i0, dTheta_la)        = -0.388
#    C(dTheta_sa, dTheta_la) =  0.372
#    C(bg, dTheta_sa)        =  0.205
#    C(bg, dTheta_la)        =  0.106

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00740339	0.572395	0.015709	0.5275553837235158
0.00823293	0.522995	0.035215	0.5154969484037507
0.00828587	0.550813	0.0150384	0.5147347793475993
0.0091018	0.50236	0.0251741	0.5024909707966491
0.00915587	0.506366	0.0157267	0.5016864718874698
0.00997011	0.490206	0.0219127	0.48905379630934875
0.0100352	0.490376	0.0146018	0.4880512555411666
0.0108379	0.457732	0.0194012	0.47515956182834374
0.0109154	0.484276	0.0138222	0.4739235400128519
0.0117062	0.430771	0.0172593	0.4607820404013699
0.0117955	0.453212	0.0129032	0.4593087829802624
0.0125741	0.430919	0.0158147	0.44593627516783896
0.0126608	0.445777	0.0128127	0.4444598332519242
0.0134426	0.438011	0.0148576	0.4306274179331444
0.0135409	0.416602	0.0122999	0.4289040108563667
0.0143106	0.397567	0.0135112	0.4149084809406477
0.0144214	0.406038	0.0118159	0.41291562752364985
0.0151761	0.379438	0.0135504	0.3988657413939828
0.0152806	0.388308	0.0116107	0.39694580882751895
0.0160469	0.373129	0.0120575	0.3824116445659204
0.0161669	0.366213	0.0109929	0.3801684214967207
0.0169123	0.355821	0.0120664	0.36581078684053486
0.0170411	0.340773	0.0100897	0.36337230279496385
0.0177834	0.316238	0.0106179	0.3489270747799944
0.017912	0.317495	0.0104672	0.346472544017629
0.0186486	0.342685	0.010929	0.3320514729239818
0.0187863	0.310004	0.00990945	0.3294136857794872
0.0195197	0.321742	0.00990061	0.3150352449757425
0.0196728	0.307458	0.00973976	0.3121051226296427
0.0203847	0.284637	0.00955855	0.2981831846781382
0.020547	0.275086	0.00887249	0.29509361155368313
0.021256	0.262585	0.008594	0.2813195780936887
0.0214178	0.268208	0.00925073	0.2782702634672153
0.0221208	0.27318	0.00877262	0.2647702252389875
0.0222916	0.255156	0.00856212	0.2615968332059581
0.0229921	0.249488	0.00800604	0.24835552167941433
0.0231786	0.237191	0.00832454	0.24495506781965948
0.0238567	0.216049	0.00764909	0.23238482682477013
0.0240365	0.22257	0.00821539	0.2291801396703056
0.0247248	0.20661	0.00745952	0.2167298179508464
0.0249163	0.21519	0.0077712	0.21340843899242973
0.0255925	0.197197	0.0070798	0.20152061518814202
0.0257967	0.192854	0.00732008	0.1980887298803301
0.026457	0.178577	0.0068589	0.18684751307908906
0.0266703	0.185276	0.00684064	0.18338882030311404
0.027328	0.159407	0.00636083	0.172599091669796
0.0275409	0.154188	0.00698034	0.16928308050776295
0.0281924	0.151241	0.00639674	0.1590314013491341
0.0284145	0.150458	0.00650278	0.15566343232961483
0.0290635	0.140927	0.0059013	0.14596461220621815
0.0293009	0.139236	0.00648045	0.14254558908696055
0.0299276	0.142277	0.00581811	0.13363932869791453
0.0301582	0.120468	0.00627961	0.13048957110791176
0.0307986	0.122598	0.0053803	0.12188295815258361
0.0310447	0.107237	0.00597061	0.11872017104046342
0.0316625	0.119179	0.00533771	0.11092912861154057
0.0319178	0.112014	0.00567963	0.10782415925086072
0.0325335	0.104699	0.00504167	0.10055650802607839
0.0327881	0.0979752	0.00570807	0.09766447480351496
0.0333972	0.0815325	0.00483363	0.09097185286257614
0.0336611	0.0871641	0.00542112	0.08819195700012705
0.034268	0.0771967	0.00458938	0.08211205321717513
0.0345474	0.0775673	0.00550163	0.07931437041719244
0.0351316	0.0736988	0.0045936	0.07394087661906426
0.0354202	0.0798417	0.00495839	0.071290106210203
0.0360024	0.0682051	0.00425157	0.06640861936288583
0.0362902	0.0677355	0.00507504	0.06400826293238732
0.0368658	0.0546836	0.00429752	0.05962834669623556
0.0371628	0.0614468	0.00488765	0.057395407188997556
0.0377364	0.0521356	0.00410512	0.05347898974768757
0.038049	0.0494219	0.00487894	0.05138066933368589
0.0385996	0.0553044	0.00396936	0.04804003248781765
0.0389052	0.047469	0.00474683	0.04621478743157803
0.0394701	0.0452988	0.0038495	0.04319427367080963
0.039791	0.050437	0.0045614	0.041527655189978446
0.0403331	0.0365373	0.00380305	0.03901105457696507
0.0406633	0.0372787	0.00444438	0.037529336388969145
0.0412034	0.0330201	0.0036689	0.03538660331994796
0.0415492	0.0258949	0.00436208	0.0341358176839616
0.0420662	0.0294532	0.0036438	0.03235045418685685
0.0424049	0.0322641	0.00435253	0.031334166583326925
0.0429364	0.031469	0.00351023	0.029821260574681516
0.0432906	0.0285457	0.00434673	0.028965954118198748
0.043799	0.0229415	0.00349323	0.0278099936448792
0.0441624	0.0429905	0.00425325	0.02712964324595396
0.044669	0.026985	0.00341297	0.026244875086930845
0.0450316	0.0245777	0.00432597	0.025745135149894762
0.0455353	0.0215931	0.0033757	0.025111320733271315
0.04591	0.0271427	0.00424574	0.02476555113532306
0.0464013	0.0238369	0.00335385	0.02438082265051042
0.0467807	0.0150726	0.00420046	0.024175094483413
0.0472659	0.0235827	0.00320791	0.02398805552597796
0.0476576	0.026598	0.00420581	0.023917389098067645
0.0481331	0.0249485	0.00330976	0.02390274995310513
0.0485288	0.0140444	0.00413886	0.023965271077497612
0.0490028	0.0244017	0.00313529	0.02409449718907959
0.0493976	0.0289451	0.00435789	0.024269920476322482
0.0498559	0.019616	0.00306434	0.024521642774503343
0.0502685	0.0171965	0.00410737	0.024800605210928868
0.0507264	0.0217608	0.00304999	0.025170761329927707
0.0511372	0.0226056	0.00417431	0.025526139469105442
0.0515875	0.0210278	0.00312248	0.025968619035783114
0.0518614	0.0225928	0.0068725	0.026249222982561507

#[[Data]] la
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0291233	0.163623	0.00245527	0.1450161099152943
0.0324133	0.115107	0.00300709	0.10977563240419938
0.0326731	0.113835	0.00260191	0.10725841151094832
0.0358377	0.0836611	0.00237092	0.07932748365342288
0.0360974	0.0829965	0.00266783	0.07734335602991
0.0392643	0.0571546	0.00191876	0.056351356065374385
0.0395818	0.052138	0.0023875	0.054644498748908886
0.0426907	0.0392032	0.001626	0.04105581781218439
0.0430718	0.0392593	0.00230788	0.03982904068537206
0.0461178	0.0307722	0.00146511	0.03266251623351094
0.0465592	0.0250522	0.00218664	0.03203590691060292
0.0495438	0.0272072	0.00133119	0.029730226716627266
0.0499801	0.0267215	0.00274763	0.029676511581444128
0.0529698	0.0300455	0.00127971	0.03052199856930853
0.053468	0.0263266	0.00271056	0.030854330431483244
0.056394	0.0316058	0.0012245	0.03332332331199966
0.056955	0.0304831	0.00275532	0.033878067443032296
0.0598175	0.0389484	0.00119899	0.03668537639778069
0.0603672	0.0344199	0.00401868	0.0372033831761378
0.063239	0.0431342	0.00114378	0.03951918733918719
0.0638573	0.0373736	0.0039892	0.039920974639209336
0.0666591	0.042226	0.0011052	0.041157014396423296
0.0673338	0.0412377	0.00399184	0.0413129517760094
0.0700769	0.0430587	0.00106291	0.041317669748674936
0.0734931	0.0406072	0.00104533	0.04001206547139721
0.0769066	0.0380597	0.000994728	0.03746916531974371
0.080318	0.0346413	0.00093365	0.034109860159212045
0.083677	0.0274089	0.000911413	0.030382449872595908
0.0870821	0.0238969	0.000886833	0.026573186855098553
0.0904848	0.0187155	0.00084346	0.023020829539117636
0.0934087	0.0192055	0.00161901	0.020341218371297976
0.0939874	0.0179242	0.000982563	0.019861569421509996
0.0968201	0.0152258	0.00127694	0.017774692785737213
0.0975047	0.0155655	0.00104242	0.017335081510798805
0.100221	0.0166371	0.00113314	0.015824438293451083
0.10099	0.0153864	0.00108291	0.015469090318142994
0.103626	0.0136189	0.00102991	0.014443040865383302
0.104478	0.012789	0.00113413	0.014184147033369732
0.107033	0.0154286	0.000959473	0.013548279176955277
0.107905	0.014047	0.00126051	0.01338819768270592
0.110408	0.0132462	0.000926317	0.013027039004186863
0.11134	0.0143575	0.00127637	0.01293565987704728
0.113814	0.0145004	0.000863317	0.012751089105069294
0.11483	0.0145127	0.0013481	0.012704030081466946
0.117203	0.0150033	0.000832923	0.012616320933618938
0.118222	0.0155199	0.00152391	0.012591080722831036
0.120588	0.0151437	0.000798784	0.012530536995903547
0.121682	0.0188321	0.00160708	0.012502918461209277
0.123992	0.0136973	0.00075537	0.012424546419148561
0.125169	0.0154628	0.0017707	0.012376807959762589
0.127352	0.0144088	0.000734282	0.01226467303638655
0.12852	0.0151722	0.0020889	0.012190742946741334
0.130752	0.0129831	0.000708347	0.012024739465734702
0.133131	0.0113572	0.00127514	0.011811292185049943
0.134256	0.0125263	0.000782834	0.011695856712175812
0.136651	0.0115744	0.00105069	0.011426724197864571
0.137802	0.00996888	0.000814279	0.011290704681522396
0.140189	0.0124403	0.000929006	0.010986546811204197
0.141295	0.0101397	0.000866293	0.010843209218115107
0.143652	0.00807348	0.000884319	0.010523717935749717
0.144751	0.00832134	0.000921573	0.01037646539896188
0.147018	0.00698044	0.000830609	0.010065354100399828
0.148211	0.00792841	0.000963278	0.009905222712455192
0.150386	0.00775085	0.000761733	0.0096169740261628
0.15161	0.00956795	0.00106192	0.00946068326730307
0.153738	0.00869419	0.000722157	0.009196783664988434
0.155042	0.00650608	0.0011072	0.009041435143781886
0.157106	0.00749371	0.000691768	0.008807421988815237
0.158505	0.00826122	0.00122586	0.008656821174433768
0.160455	0.00873203	0.000665066	0.008458679256623315
0.162217	0.00834261	0.00113631	0.008293878409545435
0.163846	0.0069913	0.000656212	0.008148263054120803
0.166154	0.0070803	0.000862917	0.007959409181223844
0.167445	0.00898404	0.000748742	0.007859437517759993
0.169643	0.00732303	0.000797729	0.007705344709888639
0.170948	0.00688561	0.000788014	0.00761748076275454
0.173091	0.00697088	0.000740397	0.007486945929185569
0.174473	0.00553805	0.000846155	0.0074065956137626945
0.176527	0.00636902	0.000721237	0.00729701834317245
0.177965	0.00548922	0.000866405	0.007224939316208148
0.179909	0.00728658	0.000687732	0.007130040270225363
0.181401	0.00527348	0.000935404	0.007063188637624894
0.183244	0.00719442	0.000653432	0.006980810811564383
0.184776	0.00284322	0.0010498	0.006916902912255638
0.186563	0.00719997	0.000624781	0.0068431487704203355
0.188705	0.00642325	0.000831626	0.006758349197706417
0.190073	0.00673486	0.000686721	0.006704762548438222
0.192259	0.00571589	0.000729071	0.006621001195574563
0.193613	0.00625181	0.000758803	0.006569635377743913
0.195705	0.00528706	0.000671466	0.006491556054135327
0.197142	0.00640097	0.000801183	0.006437812676545264
0.199115	0.00560661	0.000657819	0.006365820575624022
0.200179	0.0065557	0.00123065	0.006326201282275158
