#File generated by ModelExp v0.4.1
#Read datafile: ../../experimental_data/AH11_nuclear_SA.dat
#Read datafile: ../../experimental_data/AH11_nuclear_LA_scaled.dat
#Started Fit at 2018-11-09 14:17:42.476268
#Finished Fit at 2018-11-09 14:17:42.599899
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 26
#    # data points      = 195
#    # variables        = 7
#    chi-square         = 555.883967
#    reduced chi-square = 2.95682961
#    Akaike info crit   = 218.274204
#    Bayesian info crit = 241.185201
#[[Variables]]
#    r:            55.64451 (fixed)
#    d:            14.6100000 +/- 0.43826974 (3.00%) (init = 14.58)
#    sldCore:      6.7138e-06 +/- 0.01365697 (203417.29%) (init = 6.710772e-06)
#    sldShell:     1.0402e-06 +/- 0.05995787 (5764304.17%) (init = 1.054002e-06)
#    sldSolvent:   5.664e-06 (fixed)
#    sigR:         0.1298975 (fixed)
#    sigD:         0 (fixed)
#    i0:           0.13540000 +/- 3517.29405 (2597706.09%) (init = 0.1366)
#    bg:           0.00454000 +/- 3.0794e-04 (6.78%) (init = 0.00452)
#    dTheta_sa:    0.00296962 +/- 8.7270e-05 (2.94%) (init = 0.00296)
#    wavelength:   5.9984 (fixed)
#    dWavelength:  0.04247 (fixed)
#    dTheta_la:    0.00351819 +/- 1.0682e-04 (3.04%) (init = 0.00351)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(sldCore, i0)          = -1.000
#    C(sldCore, sldShell)    = -1.000
#    C(sldShell, i0)         =  1.000
#    C(d, bg)                =  0.726
#    C(sldShell, dTheta_la)  =  0.459
#    C(i0, dTheta_la)        =  0.459
#    C(sldCore, dTheta_la)   = -0.459
#    C(d, i0)                = -0.309
#    C(d, sldCore)           =  0.309
#    C(d, sldShell)          = -0.309
#    C(d, dTheta_sa)         =  0.245
#    C(i0, bg)               = -0.182
#    C(sldCore, bg)          =  0.182
#    C(sldShell, bg)         = -0.182
#    C(dTheta_sa, dTheta_la) =  0.145

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00740308	0.908194	0.019155	0.8847160232833166
0.00823259	0.852831	0.0435052	0.8605794684568455
0.00828552	0.851737	0.0183605	0.8590630649648765
0.00910142	0.885244	0.0322642	0.8348165203313326
0.00915549	0.829087	0.019679	0.8332340385400617
0.00996969	0.825072	0.0276484	0.8085278022735978
0.0100348	0.797115	0.0183771	0.8065810341240511
0.0108374	0.779549	0.0246629	0.7817137015852305
0.010915	0.771824	0.0171984	0.7793447512204331
0.0117058	0.793026	0.0222302	0.7543521454030688
0.011795	0.743266	0.0158922	0.751575111827007
0.0125735	0.729599	0.0199002	0.7265048512752977
0.0126602	0.736059	0.0164508	0.7237568058618714
0.013442	0.667119	0.0180817	0.6981700830420362
0.0135403	0.682852	0.0152877	0.6950040913512885
0.01431	0.632569	0.0167061	0.6694460771427813
0.0144208	0.660689	0.014753	0.665829026464546
0.0151754	0.612222	0.0163932	0.6404680487589159
0.01528	0.641939	0.0143498	0.6370171698810609
0.0160463	0.623162	0.0150056	0.6110523374974375
0.0161662	0.62037	0.0137099	0.6070667264571651
0.0169116	0.598139	0.014762	0.5816603829497479
0.0170404	0.546276	0.0123529	0.5773616097559836
0.0177827	0.528184	0.0130365	0.5520159046821489
0.0179113	0.512694	0.0128663	0.5474439688816948
0.0186478	0.526085	0.0133876	0.522617220014947
0.0187855	0.510078	0.0119053	0.5177573264026897
0.0195189	0.50166	0.0117785	0.49317903145644326
0.019672	0.483107	0.0116542	0.48784656140107624
0.0203838	0.449167	0.0112494	0.4642242970343586
0.0205461	0.466031	0.0105918	0.45865021477343487
0.0212551	0.418692	0.0102049	0.43544926350440577
0.0214169	0.416679	0.010997	0.42997455898225445
0.0221199	0.408756	0.0102797	0.4073888383108582
0.0222907	0.40295	0.0101466	0.4017350528841001
0.0229911	0.377243	0.00936632	0.37944472034344695
0.0231776	0.363502	0.00972111	0.37363408247557384
0.0238557	0.327794	0.00905207	0.35272204775319244
0.0240355	0.32855	0.00940106	0.3472779943122173
0.0247238	0.321524	0.00853287	0.3267082358370801
