#File generated by ModelExp v0.6.7
#Read datafile: ../../rescale/Ac_CoFe_C_DisorderedWafer_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-04 11:36:37.102916
#Finished Fit at 2019-01-04 11:36:37.110828
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 0
#    # data points      = 555
#    # variables        = 0
#    chi-square         = 70942.3631
#    reduced chi-square = 127.824078
#    Akaike info crit   = 2692.11348
#    Bayesian info crit = 2692.11348
#[[Variables]]
#    Ms:            300 (fixed)
#    mu:            22100 (fixed)
#    chi:          -1.2 (fixed)
#    sigMu:         0 (fixed)
#    orderHermite:  50 (fixed)
#    T:             300 (fixed)

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-8.999959375	-211.8163504732	18.5328290505	-288.5264128203741
-8.9953121094	-206.3287199557	20.1694695669	-288.53164151725287
-8.9857550781	-177.7445641246	15.4793414108	-288.54239312181846
-8.9846582031	-232.8625903019	16.1252428602	-288.54362700224954
-8.9756332031	-192.7394258903	20.2325856758	-288.553778507727
-8.9743074219	-227.8535917922	18.2930212186	-288.5552696587085
-8.9656503906	-210.2212805275	14.0715688368	-288.5650057892708
-8.9651742188	-188.323633041	17.431044015	-288.5655412793508
-8.9542816406	-212.7489141913	14.6346682858	-288.5777897385475
-8.953903125	-214.7727471763	16.012327291	-288.57821533484196
-8.9448519531	-207.5710545081	12.9607927263	-288.5883915920766
-8.9426601562	-212.6674637272	14.5138731238	-288.590855626714
-8.9336667969	-189.7028122444	18.2046229538	-288.6009651757831
-8.9299175781	-209.4980411774	16.1623035966	-288.6051793141169
-8.9194476563	-213.974331866	15.3481672316	-288.6169462835929
-8.9171613281	-213.8740857497	15.701087925	-288.61951560055144
-8.9097003906	-198.1656960912	21.5892635291	-288.62789938847095
-8.9079128906	-203.5211505158	18.1288479853	-288.62990784442076
-8.8999566406	-211.8948201358	23.0410657668	-288.6388469147835
-8.8976953125	-232.380405932	16.3568267399	-288.64138738184346
-8.8900050781	-217.0882734602	21.0325073172	-288.6500262418173
-8.8861890625	-197.8372604465	22.9748767113	-288.6543126016719
-8.8780257813	-202.29049255	16.1621777156	-288.66348120544103
-8.8762171875	-200.0801526211	12.7122845172	-288.66551237463415
-8.8667722656	-217.8171541406	18.922564616	-288.6761187177739
-8.8649554688	-211.2830961822	22.0237093092	-288.67815874428436
-8.8554320313	-200.8126826702	14.1634745711	-288.6888513853075
-8.854996875	-205.0282136478	14.8385356082	-288.6893399284587
-8.8454496094	-207.2134411748	13.8388693991	-288.7000576607349
-8.8425324219	-215.0718949184	18.6099240534	-288.7033321685539
-8.8354804687	-236.3645033968	19.910968321	-288.7112472843049
-8.8308003906	-200.24096669	16.8792085976	-288.7164997237868
-8.8247421875	-217.2019025666	16.1029942916	-288.7232982565606
-8.8188210937	-205.501136766	14.6292008035	-288.72994229915827
-8.8147292969	-240.9942236481	17.8879132469	-288.73453333067766
-8.8100753906	-226.1532780126	20.355304823	-288.73975469362193
-8.80199375	-207.8946821009	14.198714605	-288.7488208259384
-8.7990582031	-197.0846538335	19.3978260659	-288.75211368880883
-8.7917707031	-212.5283723895	13.4634105044	-288.7602875629598
-8.7890941406	-206.8475568205	22.5281116843	-288.76328943630745
-8.7807898438	-222.808698025	17.9690309367	-288.7726022270125
-8.7781003906	-202.3711159725	15.3944168321	-288.7756180293148
-8.7705363281	-188.6900421659	15.6430995658	-288.7840992501185
-8.7681078125	-199.4617040631	15.0000197745	-288.7868220103365
-8.7610542969	-230.5358673965	21.622339111	-288.79472954450404
-8.7571097656	-227.2683206775	22.1087759644	-288.79915127687417
-8.7510648437	-217.0214982426	19.238301896	-288.8059269553845
-8.7461238281	-198.1691343791	15.7073898056	-288.8114647879183
-8.7428027344	-212.3140719558	11.8628892884	-288.8151867823147
-8.734371875	-211.8099229674	21.4002788347	-288.824634460492
-8.7315421875	-231.0053159952	14.6054325238	-288.82780513775253
-8.7264046875	-240.6461139266	18.7636359364	-288.8335613561699
-8.7171488281	-197.3298835868	17.4788386214	-288.84393069942985
-8.7168042969	-220.7786427378	12.6765901328	-288.84431664763866
-8.7083097656	-233.1212200099	14.8023761971	-288.8538316411326
-8.7063882812	-226.9728879397	14.5687170877	-288.855983773053
-8.6946609375	-206.4315885798	16.0361459187	-288.8691173494217
-8.6930796875	-212.0768741223	21.5733388867	-288.87088801415706
-8.6890980469	-177.2963660868	16.8664450612	-288.87534640295263
-8.6824222656	-221.4228629	14.1294783298	-288.8828208620504
-8.6790785156	-216.9501615449	14.623195261	-288.88656434173936
-8.6719136719	-209.1546247073	17.5834518342	-288.89458501049205
-8.6673679687	-221.2097880963	15.5280885181	-288.8996731933581
-8.6611910156	-195.4347951187	16.2857707993	-288.906586681027
-8.6561097656	-201.8006650265	15.4139394198	-288.91227328117645
-8.6516703125	-211.9084449489	13.1310046666	-288.9172412294685
-8.6446425781	-216.9284234528	13.443463982	-288.9251048266087
-8.6401992188	-220.463311899	18.8953236753	-288.93007619075246
-8.6346421875	-196.4495385603	16.3535241059	-288.93629304224606
-8.6291988281	-203.5565325049	11.8496046387	-288.94238216098194
-8.6229195312	-235.6295606437	15.4781525019	-288.94940569197524
-8.6182199219	-220.9332818647	15.52999619	-288.9546618200167
-8.6108792969	-189.2118927489	14.7935851886	-288.96287087042015
-8.6077257813	-215.713747862	18.5417675114	-288.9663971454841
-8.6008902344	-201.766381492	14.69499031	-288.9740400348423
-8.5979632812	-198.6352449349	17.0017381712	-288.97731241662353
-8.5919027344	-206.8885267596	12.1020780219	-288.984087687807
-8.5887363281	-228.653740797	14.2759264384	-288.9876272313686
-8.5821878906	-199.5299079226	16.3447352666	-288.99494674416366
-8.5797554687	-197.2214992203	15.2021219762	-288.99766537312496
-8.5699417969	-208.3883563534	17.2314300369	-289.00863260040444
-8.5697585938	-218.3639278191	14.1697181079	-289.00883732063005
-8.5612402344	-242.5931707089	20.4383402151	-289.01835544297234
-8.5592046875	-206.0573794823	15.7040998807	-289.0206296857882
-8.5510410156	-207.2524213062	17.2546321454	-289.02974985506376
