[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,27450155.59,11/15/2018,1:02 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 AH11,SAMPLE_MATERIAL
INFO,Quick Dry Monolayer Conc,SAMPLE_COMMENT
INFO,27.96,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 36.12 mm touchdown = 12.0400004088879 mm,27450195.475,10.000998,-0.274027913808823,-3.676264130417E-5,3.52643105623254E-7,1,0.999253354069792,40.0298881530762,1.99703233930493,17.0799996703863,-0.000411420599885473,-8.24567659344671E-5,0.25,-8.11035211757548E-7,-3.65475462043634E-5,-9.83569627279321E-7,10.0009098,10.0010862,-0.289251685142517,-0.258804142475128,55.4221517845828,20.4604361870936,11.139823,0,0,0,40,4417,9.99415,-0.274027913808823,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.000998,,,,
,27450214.36,10.0006084,42.4258403778076,-3.6389522806876E-5,3.57713165045543E-7,1,0.999253354069792,40.0298881530762,1.99706807683148,17.0799996703863,-0.000407185589129005,-8.19966894531909E-5,0.25,-8.36172878966602E-7,-3.61764812394148E-5,-1.00680302920507E-6,10.0006084,10.0006084,38.1827964782715,46.6688842773438,55.4760841524097,20.4641330113676,10.38052,0,0,0,40,4449,9.9948,42.4258403778076,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0006084,,,,
,27450215.19,10.0006833,78.5977401733398,-3.65138528849225E-5,3.29519949595183E-7,1,0.999253354069792,40.0298881530762,1.99687328406785,17.0799996703863,-0.000408944565915839,-7.99862099740243E-5,0.25,-6.35769095406875E-7,-3.6301098031454E-5,-8.08191969347507E-7,10.0006084,10.0007582,46.6688842773438,110.526596069336,55.5573735184097,20.4671077268998,10.38052,0,0,0,40,4449,9.99475,78.5977401733398,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0006833,,,,
,27450218.055,10.0007582,216.044509887695,-3.6774336348955E-5,2.98057058366404E-7,1,0.999253354069792,40.0298881530762,1.99688459713593,17.0799996703863,-0.000412392677461146,-7.75913242354823E-5,0.25,-3.76082597896596E-7,-3.65614973095638E-5,-5.51444140640175E-7,10.0007582,10.0007582,211.13232421875,220.956695556641,55.5433042050636,20.4649840761918,10.760172,0,0,0,40,4449,9.9952,216.044509887695,,,,,,,,,,,,,0,,,,0,,,,,,10.0007582,,,,
,27450219.945,10.0002069,309.623046875,-3.740952958655E-5,3.77961523676845E-7,1,0.999253354069792,40.0298881530762,1.99690254276336,17.0799996703863,-0.000419230485959026,-8.05674940756599E-5,0.25,-5.27962932686395E-7,-3.71924366302402E-5,-7.05669065040547E-7,10.0002069,10.0002069,299.794128417969,319.451965332031,55.6707096536982,20.4676158440805,10.38052,0,0,0,40,4449,9.9948,309.623046875,,,,,,,,,,,,,0,,,,-0.0049,,,,,,10.0002069,,,,
,27450222.045,9.9993877,413.903884887695,-3.75700481005623E-5,4.14760967423667E-7,1,0.999253354069792,40.0298881530762,1.99691142377237,17.0799996703863,-0.000421569707659531,-7.78906022806895E-5,0.25,-2.60952527423377E-7,-3.73534741527816E-5,-4.41143071266393E-7,9.9993877,9.9993877,408.949951171875,418.857818603516,55.5800407454674,20.4654324628831,11.139823,0,0,0,40,4449,9.99375,413.903884887695,,,,,,,,,,,,,0,,,,0.0049,,,,,,9.9993877,,,,
,27450223.895,9.9983845,506.206802368164,-3.73025642914523E-5,3.19873221543083E-7,1,0.999253354069792,40.0298881530762,1.99690516791546,17.0799996703863,-0.000418044245818895,-8.02887355805015E-5,0.25,-5.21743343111026E-7,-3.7086399049606E-5,-6.99310426135289E-7,9.9983845,9.9983845,498.619415283203,513.794189453125,55.9012900668713,20.4651471465018,10.760172,0,0,0,40,4449,9.9931,506.206802368164,,,,,,,,,,,,,0,,,,0,,,,,,9.9983845,,,,
,27450225.99,9.9976606,610.933807373047,-3.74196035765736E-5,3.54110171891441E-7,1,0.999253354069792,40.0298881530762,1.9969168946999,17.0799996703863,-0.000419258809655161,-8.11116456169503E-5,0.25,-5.73939943104555E-7,-3.72026772330537E-5,-7.51969435072993E-7,9.9976606,9.9976606,603.494873046875,618.372741699219,55.8356332712559,20.4661661050769,10.760172,0,0,0,40,4449,9.99285,610.933807373047,,,,,,,,,,,,,0,,,,0.0049,,,,,,9.9976606,,,,
,27450227.92,9.9967966,708.042572021484,-3.7872929292515E-5,3.8342508553236E-7,1,0.999253354069792,40.0298881530762,1.99684371066329,17.0799996703863,-0.000424484378313206,-8.11939633095127E-5,0.25,-5.00792206148155E-7,-3.76539206470308E-5,-6.81625380367843E-7,9.9967966,9.9967966,698.153991699219,717.93115234375,55.5284532631982,20.4677785786713,10.760172,0,0,0,40,4449,9.99235,708.042572021484,,,,,,,,,,,,,0,,,,-0.00245,,,,,,9.9967966,,,,
,27450229.675,9.9967966,792.958129882813,-3.79758917031925E-5,3.35048256431162E-7,1,0.999253354069792,40.0298881530762,1.99677101681227,17.0799996703863,-0.000425775690525442,-8.05649362700445E-5,0.25,-4.26569170010045E-7,-3.77567964317634E-5,-6.08495373445172E-7,9.9967966,9.9967966,787.834228515625,798.08203125,55.751217391179,20.4649973127069,10.760172,0,0,0,40,4449,9.99335,792.958129882813,,,,,,,,,,,,,0,,,,0,,,,,,9.9967966,,,,
