[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,27350848.08,11/13/2018,9:27 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 AH11,SAMPLE_MATERIAL
INFO,Quick Dry Monolayer Conc,SAMPLE_COMMENT
INFO,27.96,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27350864.89,300.196991,-0.243580371141434,,,2,,,,20.5900000923872,,,,,,,300.196991,300.196991,-0.243580371141434,-0.243580371141434,,,25.566563,,,,-99999999,4369,300.5102,-0.243580371141434,,,,,,,,,,,,,,,,,,,,,,,300.196991,,,,
sample offset = 34.78 mm touchdown = 14.2000000923872 mm,27350904.975,300.2019348,-0.0532832089811564,6.13418242838985E-7,4.13732732474332E-7,1,0.999253354069792,40.0298881530762,2.00919688740376,20.5799993127584,6.86071072317103E-6,1.87885549719276E-6,0.25,5.89131944074008E-8,6.13356466238293E-7,5.9317627310247E-8,300.2019348,300.2019348,-0.0761188715696335,-0.0304475463926792,55.4260599271789,20.5702028760632,25.946213,0,0,0,40,4417,300.44525,-0.0532832089811564,,,,,,,,,,,,,0,,,,0.0049,,,,,,300.2019348,,,,
,27350924.17,300.1949463,28.7108106613159,1.05470814790665E-6,3.81292472306861E-7,1,0.999253354069792,40.0298881530762,2.0091486303919,20.5799993127584,1.37419693325747E-5,-8.00108851930599E-6,0.25,-8.86230068913049E-7,1.05525685676274E-6,-8.85498236263368E-7,300.1949463,300.1949463,26.7644329071045,30.6571884155273,55.7121359652174,20.5770810829902,26.325863,0,0,0,40,4449,300.4143,28.7108106613159,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.1949463,,,,
,27350926.055,300.193634,113.249736785889,4.60803918270262E-6,4.35009706467235E-7,1,0.999253354069792,40.0298881530762,2.00919518702958,20.5799993127584,5.23887004964211E-5,9.20464837997472E-6,0.25,1.09094932400797E-8,4.60786257590074E-6,1.39640267154336E-8,300.193634,300.193634,108.300300598145,118.199172973633,55.8262537290251,20.5757620300634,25.946213,0,0,0,40,4449,300.40945,113.249736785889,,,,,,,,,,,,,0,,,,-0.0049,,,,,,300.193634,,,,
,27350928.09,300.1936646,217.1748046875,9.03027550091053E-6,5.24645343554126E-7,1,0.999253354069792,40.0298881530762,2.00921365609183,20.5799993127584,0.000103544727198848,1.29660630540175E-5,0.25,-4.24581998256917E-7,9.03022505013743E-6,-4.18579665518091E-7,300.1936646,300.1936646,212.193511962891,222.156097412109,55.8246904719867,20.5781805229179,25.946213,0,0,0,40,4449,300.4059,217.1748046875,,,,,,,,,,,,,0,,,,0,,,,,,300.1936646,,,,
,27350930.905,300.1908569,356.880187988281,1.29337099199757E-5,4.33989426512946E-7,1,0.999253354069792,40.0298881530762,2.00930672499338,20.5799993127584,0.000148155299284399,1.94623151278047E-5,0.25,-5.29803035942474E-7,1.29335870444336E-5,-5.21208952530705E-7,300.1908569,300.1908569,351.928405761719,361.831970214844,56.1013869677944,20.5781409056751,26.325863,0,0,0,40,4449,300.3997,356.880187988281,,,,,,,,,,,,,0,,,,0,,,,,,300.1908569,,,,
,27350933.3,300.1898193,476.682693481445,1.54011986034376E-5,4.52467031117119E-7,1,0.999253354069792,40.0298881530762,2.00912772563863,20.5799993127584,0.000174024420206458,3.6915255873413E-5,0.25,5.77382517848221E-7,1.54002518176389E-5,5.87571916115367E-7,300.1898193,300.1898193,466.682525634766,486.682861328125,55.6558587118328,20.5798358991826,26.325863,0,0,0,40,4449,300.3967,476.682693481445,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.1898193,,,,
,27350935.705,300.1893005,596.606079101562,1.5854556931957E-5,4.28444799328119E-7,1,0.999253354069792,40.0298881530762,2.00910857764493,20.5799993127584,0.000181211003487434,2.6079990340163E-5,0.25,-4.53840169798625E-7,1.58542775045151E-5,-4.4331236672923E-7,300.1887817,300.1898193,591.588806152344,601.623352050781,55.8590821268328,20.5804222245157,25.946213,0,0,0,40,4449,300.3917,596.606079101562,,,,,,,,,,,,,0,,,,-0.0049,,,,,,300.1893005,,,,
,27350937.935,300.18818665,706.319000244141,1.71397915236893E-5,3.74893790835932E-7,1,0.999253354069792,40.0298881530762,2.00914650161778,20.5799993127584,0.000196007787195271,2.75969805405263E-5,0.25,-5.43179929388475E-7,1.7139524974169E-5,-5.31796875969547E-7,300.1875916,300.1887817,701.331359863281,711.306640625,56.0169710877175,20.5800433738593,25.566563,0,0,0,40,4449,300.39065,706.319000244141,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.18818665,,,,
,27350940.085,300.1875916,816.036743164062,1.74542652328838E-5,4.6703810699815E-7,1,0.999253354069792,40.0298881530762,2.00916555990517,20.5799993127584,0.000198978909995165,3.17221652464635E-5,0.25,-2.34985703480609E-7,1.74537832312822E-5,-2.23405391376648E-7,300.1875916,300.1875916,811.055053710937,821.018432617187,55.8434495564482,20.5813844105345,25.946213,0,0,0,40,4449,300.3868,816.036743164062,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.1875916,,,,
