[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,20395868.34,08/25/2018,10:29 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Cobalt deficient,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,27,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,20395884.61,100.4473343,-48134.77734375,,,2,,,,24.0899999135733,,,,,,,100.4473343,100.4473343,-48134.77734375,-48134.77734375,,,8.861917,,,,-99999999,4961,100.9265,-48134.77734375,,,,,,,,,,,,,,,,,,,,,,,100.4473343,,,,
,20396144.685,100.39365,-0.235968485474586,-0.00269001220633715,8.35772373879949E-7,1,0.999253354069792,40.0298881530762,1.99544093547258,24.0700002759695,-0.0305312607071114,-0.00550387360413202,0.25,-1.18081450636701E-5,-0.00270511181635446,-2.01834737075777E-5,100.3925,100.3925,-0.258804142475128,-0.213132828474045,55.2955279644674,19.5416436893044,8.861917,0,0,0,40,4929,100.39365,-0.235968485474586,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396159.11,100.3885,15.3578805923462,-0.00264528314032463,3.64372137386828E-7,1,0.999253354069792,40.0298881530762,1.99543516681363,24.0700002759695,-0.0300187995595263,-0.00543913735830516,0.25,-1.39702114277551E-5,-0.0026601243479004,-2.2220257700914E-5,100.3885,100.3885,12.1790256500244,18.536735534668,55.7942069597367,19.5434077713744,9.241568,0,0,0,40,4961,100.3885,15.3578805923462,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396159.78,100.3886,42.2561988830566,-0.00264394554459139,4.20245119175294E-7,1,0.999253354069792,40.0298881530762,1.99544081995062,24.0700002759695,-0.0300036338830406,-0.00543678926213451,0.25,-1.39973431956234E-5,-0.00265877917600553,-2.22433249086265E-5,100.3885,100.3885,18.536735534668,65.9756622314453,54.9774051571404,19.5423404175958,8.861917,0,0,0,40,4961,100.3886,42.2561988830566,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396160.86,100.38835,88.7233390808105,-0.00264114043544312,4.13517636026065E-7,1,0.999253354069792,40.0298881530762,1.99541646064652,24.0700002759695,-0.0299729622294588,-0.005422369228104,0.25,-1.32264541884311E-5,-0.00265596072860848,-2.14593244601478E-5,100.3887,100.3887,65.9756622314453,111.471015930176,55.0180498401404,19.5448824227949,8.861917,0,0,0,40,4961,100.38835,88.7233390808105,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396162.015,100.389,140.358951568604,-0.00263852687702253,4.20203575732253E-7,1,0.999253354069792,40.0298881530762,1.99527178092062,24.0700002759695,-0.0299407826632441,-0.00541917968811415,0.25,-1.34382365992224E-5,-0.00265333190060445,-2.16639520701544E-5,100.388,100.388,111.471015930176,169.246887207031,55.585512145102,19.5424088036127,8.482265,0,0,0,40,4961,100.389,140.358951568604,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396163.29,100.3892,201.487312316895,-0.00263473200239412,3.7419895506742E-7,1,0.999253354069792,40.0298881530762,1.99542301411576,24.0700002759695,-0.0298994748620044,-0.00541410787832329,0.25,-1.36243551430139E-5,-0.00264951520694718,-2.18391367319835E-5,100.39,100.39,169.246887207031,233.727737426758,55.1204431761597,19.5431103047513,8.482265,0,0,0,40,4961,100.3892,201.487312316895,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396164.445,100.3882,261.264442443848,-0.00263179069274026,4.04764480007083E-7,1,0.999253354069792,40.0298881530762,1.99517328184585,24.0700002759695,-0.0298623943036189,-0.00540818761775086,0.25,-1.36770127104497E-5,-0.00264655728395346,-2.188290923178E-5,100.3884,100.3884,233.727737426758,288.801147460937,55.3744724449097,19.5394133435475,9.241568,0,0,0,40,4961,100.3882,261.264442443848,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396165.505,100.3882,313.689605712891,-0.00262754920343246,3.81355137597808E-7,1,0.999253354069792,40.0298881530762,1.99500561959438,24.0599997341633,-0.0298116272194556,-0.00540045780735344,0.25,-1.37801530144963E-5,-0.00264229171097777,-2.19733100798285E-5,100.388,100.388,288.801147460937,338.578063964844,54.7882510554866,19.5410259592578,8.861917,0,0,0,40,4961,100.3882,313.689605712891,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396167.515,100.3872,413.520370483398,-0.00262066049088955,5.06520655116009E-7,1,0.999253354069792,40.0298881530762,1.99524522504697,24.0700002759695,-0.0297378971312016,-0.00538113034510914,0.25,-1.3234805336926E-5,-0.00263536611098307,-2.14033236049902E-5,100.3872,100.3872,408.432952880859,418.607788085937,54.945358387852,19.5455509939224,8.861917,0,0,0,40,4961,100.3872,413.520370483398,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20396168.22,100.3873,448.642608642578,-0.00261609810907866,4.29328618602808E-7,1,0.999253354069792,40.0298881530762,1.99538608529983,24.0700002759695,-0.0296877448515035,-0.00537429813386732,0.25,-1.34033216391544E-5,-0.00263077761051422,-2.15585244028848E-5,100.3872,100.3872,418.607788085937,478.677429199219,54.6764781772366,19.5519500749173,8.861917,0,0,0,40,4961,100.3873,448.642608642578,,,,,,,,,,,,,0,,,,,,,,,,,,,,
