[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,20416443.34,08/25/2018,4:12 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Cobalt deficient,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,27,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,20416459.56,200.1888733,-595.001892089844,,,2,,,,23.8799997115135,,,,,,,200.1888733,200.1888733,-595.001892089844,-595.001892089844,,,9.241568,,,,-99999999,4961,200.1682,-595.001892089844,,,,,,,,,,,,,,,,,,,,,,,200.1888733,,,,
sample offset = 33.03 mm touchdown = 15.7399997115135 mm,20416486.065,200.157,-0.433877542614937,9.22406930214959E-5,2.93284436722526E-6,1,0.999253354069792,40.0298881530762,1.99725936886819,23.8600000739098,0.000953070872551127,0.000721004002552695,0.25,4.75158263160213E-5,9.25070367782943E-5,4.77796861488148E-5,200.157,200.157,-0.441489428281784,-0.42626565694809,54.3794593399288,19.4765002438675,10.00087,0,0,0,40,4929,200.157,-0.433877542614937,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416499.78,200.1503,14.0532336235046,9.041232460757E-5,2.82712676195031E-6,1,0.999253354069792,40.0298881530762,1.99724096078846,23.8600000739098,0.000927813372518855,0.000743311500445457,0.25,4.97997629923516E-5,9.06699056937943E-5,5.00695250648134E-5,200.1503,200.1503,12.0654344558716,16.0410327911377,54.6076948675442,19.4734477846951,10.38052,0,0,0,40,4961,200.1503,14.0532336235046,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416500.39,200.14995,38.0044775009155,0.000182867855021594,1.12784460300591E-5,1,0.999253354069792,40.0298881530762,1.996949801205,23.8600000739098,0.0018987816368425,0.00137396736216843,0.25,8.93338285940137E-5,0.000183401202155833,8.9840188255527E-5,200.1503,200.1503,16.0410327911377,59.9679222106934,54.5334401582173,19.482754291929,10.00087,0,0,0,40,4961,200.14995,38.0044775009155,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416501.41,200.1489,80.5931072235107,0.000398661143453151,1.78860773034533E-5,1,0.999253354069792,40.0298881530762,1.99720509269025,23.8600000739098,0.00412676280532984,0.00307157774484755,0.25,0.000201440447410792,0.00039981662228986,0.000202567397084571,200.1496,200.1496,59.9679222106934,101.218292236328,54.302078116525,19.4869160774965,10.00087,0,0,0,40,4961,200.1489,80.5931072235107,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416502.385,200.14935,124.352531433105,0.0005942820111326,2.13301759044514E-5,1,0.999253354069792,40.0298881530762,1.9969995800546,23.8600000739098,0.00619182284835283,0.00434410177558719,0.25,0.000279642290505537,0.000596026874765703,0.000281251064790562,200.1482,200.1482,101.218292236328,147.486770629883,53.9800471666019,19.4752018956773,9.621219,0,0,0,40,4961,200.14935,124.352531433105,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416504.21,200.1472,212.201446533203,0.000911094576640088,3.01130610193216E-5,1,0.999253354069792,40.0298881530762,1.99708886307566,23.8600000739098,0.00937332739168576,0.00734979547912735,0.25,0.000489491346293148,0.000913703743711487,0.000492167259562179,200.1472,200.1472,210.059539794922,214.343353271484,54.2755027468711,19.4755312752553,10.00087,0,0,0,40,4961,200.1472,212.201446533203,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416504.82,200.1467,241.623504638672,0.00105547107875088,3.94367692109652E-5,1,0.999253354069792,40.0298881530762,1.99702035475743,23.8600000739098,0.0108749444943437,0.00841846146340462,0.25,0.000558620671749083,0.00105850288243571,0.000561691547659624,200.1472,200.1472,214.343353271484,268.903656005859,54.3708614262173,19.4751126469352,10.00087,0,0,0,40,4961,200.1467,241.623504638672,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416505.89,200.14645,293.77734375,0.0011579764785301,4.32689626577451E-5,1,0.999253354069792,40.0298881530762,1.99693842857953,23.870000615716,0.0119083928225685,0.00936372437910085,0.25,0.000624157821020976,0.00116129049386142,0.000627565829857823,200.1462,200.1462,268.903656005859,318.651031494141,54.2340764353519,19.4812371079169,10.00087,0,0,0,40,4961,200.14645,293.77734375,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,20416506.985,200.1469,348.537399291992,0.00114074320135493,3.36335026691304E-5,1,0.999253354069792,40.0298881530762,1.99694579907334,23.8600000739098,0.0118963410663772,0.00827368753011228,0.25,0.000531076314021492,0.00114409882043159,0.000534144763638548,200.1467,200.1467,318.651031494141,378.423767089844,54.4834159329865,19.4751471584582,10.00087,0,0,0,40,4961,200.1469,348.537399291992,,,,,,,,,,,,,0,,,,,,,,,,,,,,
