[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,27327205.42,11/13/2018,2:53 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 AH11,SAMPLE_MATERIAL
INFO,Quick Dry Monolayer Conc,SAMPLE_COMMENT
INFO,27.96,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27327221.88,150.2576294,-0.411041855812073,,,2,,,,21.3800000542402,,,,,,,150.2576294,150.2576294,-0.411041855812073,-0.411041855812073,,,22.909004,,,,-99999999,4369,149.982,-0.411041855812073,,,,,,,,,,,,,,,,,,,,,,,150.2576294,,,,
sample offset = 34.78 mm touchdown = 14.9900000542402 mm,27327263.17,150.2242432,-0.334923014044762,2.50439953806933E-5,3.22714978552479E-7,1,0.999253354069792,40.0298881530762,1.98327521579342,21.3699992746115,0.000283792971222831,4.28255149177859E-5,0.25,-5.69033545355119E-7,2.51674045803289E-5,-5.3160080874505E-7,150.2242432,150.2242432,-0.350146800279617,-0.319699227809906,55.6933768807559,20.5422511088336,22.909004,0,0,0,40,4417,149.9105,-0.334923014044762,,,,,,,,,,,,,0,,,,0,,,,,,150.2242432,,,,
,27327282.325,150.2068787,58.1983604431152,2.53437590247774E-5,4.22173542482352E-7,1,0.999253354069792,40.0298881530762,1.98430770901369,21.3799998164177,0.000287141546983829,4.44572096901187E-5,0.25,-4.786670278537E-7,2.54684994157098E-5,-4.40299730025245E-7,150.2068787,150.2068787,55.8815383911133,60.5151824951172,55.5972365728905,20.5620515718287,22.909004,0,0,0,40,4449,149.88105,58.1983604431152,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2068787,,,,
,27327284.345,150.2050323,152.255874633789,2.43584979294456E-5,3.50114755859916E-7,1,0.999253354069792,40.0298881530762,1.98459626084467,21.3699992746115,0.000275584413029583,4.52178524464531E-5,0.25,-2.40211520261098E-7,2.4478036948979E-5,-2.02259856723704E-7,150.2050323,150.2050323,147.260223388672,157.251525878906,55.5159472068905,20.5655430523345,23.668306,0,0,0,40,4449,149.87775,152.255874633789,,,,,,,,,,,,,0,,,,0,,,,,,150.2050323,,,,
,27327286.285,150.2050323,251.944236755371,2.41375137358215E-5,3.43636631311573E-7,1,0.999253354069792,40.0298881530762,1.98436523025566,21.3699992746115,0.000272789584069309,4.63197509435411E-5,0.25,-1.03692828568862E-7,2.42557523759881E-5,-6.54277986032867E-8,150.2050323,150.2050323,247.067001342773,256.821472167969,55.7363664493136,20.5627060385097,23.288654,0,0,0,40,4449,149.87405,251.944236755371,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.2050323,,,,
,27327288.275,150.2023468,351.828079223633,2.3781786284062E-5,3.24513065041066E-7,1,0.999253354069792,40.0298881530762,1.98444898401674,21.3699992746115,0.000268944865215397,4.46937837637293E-5,0.25,-1.85856412485687E-7,2.38984186163426E-5,-1.48564736670181E-7,150.2023468,150.2023468,346.78125,356.874908447266,55.6019263440059,20.5620672577848,22.909004,0,0,0,40,4449,149.8716,351.828079223633,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2023468,,,,
,27327290.89,150.2000275,481.375732421875,2.27068818095137E-5,3.58100435308278E-7,1,0.999253354069792,40.0298881530762,1.98435897720138,21.3699992746115,0.000257313452437627,3.95974009448101E-5,0.25,-4.49698857090084E-7,2.28186813267857E-5,-4.15424571990297E-7,150.2000275,150.2000275,471.424377441406,491.327087402344,55.2040774277174,20.5597059823885,23.288654,0,0,0,40,4449,149.8684,481.375732421875,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.2000275,,,,
,27327293.51,150.1971893,611.604156494141,2.31815464044902E-5,4.17060351293199E-7,1,0.999253354069792,40.0298881530762,1.98461984846055,21.3699992746115,0.000261995834813848,4.46174098295737E-5,0.25,-8.83690521727046E-8,2.32950892422248E-5,-5.15643790686454E-8,150.1971893,150.1971893,606.556091308594,616.652221679688,56.1521928215444,20.5678771897301,22.909004,0,0,0,40,4449,149.86365,611.604156494141,,,,,,,,,,,,,0,,,,0,,,,,,150.1971893,,,,
,27327296.02,150.19487,735.954650878906,2.25622329130319E-5,3.61407908296076E-7,1,0.999253354069792,40.0298881530762,1.98469618309992,21.3699992746115,0.000254126216971781,4.84755848808629E-5,0.25,3.60973028123786E-7,2.26720260584915E-5,3.98980126149802E-7,150.19487,150.19487,726.162536621094,745.746765136719,55.6894687381597,20.5698218012869,23.288654,0,0,0,40,4449,149.86255,735.954650878906,,,,,,,,,,,,,0,,,,0,,,,,,150.19487,,,,
,27327298.195,150.1920929,846.046478271484,2.26257526799038E-5,3.94737272455272E-7,1,0.999253354069792,40.0298881530762,1.98469240180404,21.3699992746115,0.00025570462566998,4.36562232047024E-5,0.25,-7.67741554605154E-8,2.27365615127316E-5,-4.08066383980224E-8,150.1920929,150.1920929,841.074096679688,851.018859863281,55.8371965282944,20.568002830298,22.909004,0,0,0,40,4449,149.8597,846.046478271484,,,,,,,,,,,,,0,,,,0,,,,,,150.1920929,,,,
