#File generated by ModelExp v0.6.6
#Read datafile: ../../experimentalData/YF45_nuclear_SA.dat
#Read datafile: ../../experimentalData/YF45_nuclear_LA_scaled.dat
#Started Fit at 2018-12-29 11:08:56.075289
#Finished Fit at 2018-12-29 12:08:15.226684
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 21
#    # data points      = 196
#    # variables        = 4
#    chi-square         = 463.014533
#    reduced chi-square = 2.41153403
#    Akaike info crit   = 176.490181
#    Bayesian info crit = 189.602640
#[[Variables]]
#    r:              42.89598 (fixed)
#    d:              14.5 (fixed)
#    pVal:           2.164725 (fixed)
#    sldCore:        6.132e-06 (fixed)
#    sldShell:       7.8e-08 (fixed)
#    sldSolvent:     5.664e-06 (fixed)
#    sigR:           0.1503024 (fixed)
#    i0:             0.03115352 +/- 2.5750e-04 (0.83%) (init = 0.02121)
#    bg:             0.00401967 +/- 3.7799e-04 (9.40%) (init = 0.00448148)
#    orderHermite:   10 (fixed)
#    orderLegendre:  10 (fixed)
#    i0Oleic:        0.45508218 +/- 0.12767696 (28.06%) (init = 0.40822)
#    rOleic:         19.6172056 +/- 0.95232063 (4.85%) (init = 20.3698)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(i0Oleic, rOleic) = -0.989
#    C(bg, i0Oleic)     = -0.906
#    C(bg, rOleic)      =  0.866
#    C(i0, rOleic)      = -0.301
#    C(i0, i0Oleic)     =  0.227
#    C(i0, bg)          = -0.201

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00740339	0.572395	0.015709	0.4988076535769066
0.00823293	0.522995	0.035215	0.48926216560419816
0.00828587	0.550813	0.0150384	0.48865065637205385
0.0091018	0.50236	0.0251741	0.4787087739697471
0.00915587	0.506366	0.0157267	0.4780312242444395
0.00997011	0.490206	0.0219127	0.4672965852838961
0.0100352	0.490376	0.0146018	0.4664214946555091
0.0108379	0.457732	0.0194012	0.4551510180080046
0.0109154	0.484276	0.0138222	0.4540453516271695
0.0117062	0.430771	0.0172593	0.4423131674227249
0.0117955	0.453212	0.0129032	0.4409757305217817
0.0125741	0.430919	0.0158147	0.42887709860008166
0.0126608	0.445777	0.0128127	0.4275155354033144
0.0134426	0.438011	0.0148576	0.41480377367268684
0.0135409	0.416602	0.0122999	0.413200271598842
0.0143106	0.397567	0.0135112	0.4003009349605321
0.0144214	0.406038	0.0118159	0.39845118904012716
0.0151761	0.379438	0.0135504	0.385482682331494
0.0152806	0.388308	0.0116107	0.3836816734983702
0.0160469	0.373129	0.0120575	0.37011094864564054
0.0161669	0.366213	0.0109929	0.3680070416648644
0.0169123	0.355821	0.0120664	0.3546847114706657
0.0170411	0.340773	0.0100897	0.3524022189260133
0.0177834	0.316238	0.0106179	0.33893977841817746
0.017912	0.317495	0.0104672	0.33663258496839243
0.0186486	0.342685	0.010929	0.3231768866248746
0.0187863	0.310004	0.00990945	0.3206935864121224
0.0195197	0.321742	0.00990061	0.3072402810511319
0.0196728	0.307458	0.00973976	0.3044857170660083
0.0203847	0.284637	0.00955855	0.29151144827881376
0.020547	0.275086	0.00887249	0.2886078553897071
0.021256	0.262585	0.008594	0.2757326220323561
0.0214178	0.268208	0.00925073	0.2728570139071651
0.0221208	0.27318	0.00877262	0.26022554760645494
0.0222916	0.255156	0.00856212	0.2572260078244577
0.0229921	0.249488	0.00800604	0.24480623092471776
