#File generated by ModelExp v0.5.5
#Generated at 2018-12-08 11:29:54.950135

#[[Data]] p_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.132000000000001	0.0	1.7487585017185325
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
4.28959813	0.078	4.28959813	0.0
5.990701060000001	0.078	5.990701060000001	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
5.990701060000001	0.078	5.990701060000001	0.0
4.28959813	0.078	4.28959813	0.0
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
0.0	6.132000000000001	0.0	1.7487585017185325
0.0	0.078	0.0	0.0
2.0185723700000002	0.078	2.0185723700000002	0.0
2.0185723700000002	5.664000000000001	2.0185723700000002	0.0
12.01857237	5.664000000000001	12.01857237	0.0

#[[Data]] m_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.132000000000001	0.0	1.7487585017185325
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
4.28959813	0.078	4.28959813	0.0
5.990701060000001	0.078	5.990701060000001	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
5.990701060000001	0.078	5.990701060000001	0.0
4.28959813	0.078	4.28959813	0.0
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
0.0	6.132000000000001	0.0	1.7487585017185325
0.0	0.078	0.0	0.0
2.0185723700000002	0.078	2.0185723700000002	0.0
2.0185723700000002	5.664000000000001	2.0185723700000002	0.0
12.01857237	5.664000000000001	12.01857237	0.0

#[[Data]] p_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.132000000000001	0.0	1.7487585017185325
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
4.28959813	0.078	4.28959813	0.0
5.990701060000001	0.078	5.990701060000001	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
5.990701060000001	0.078	5.990701060000001	0.0
4.28959813	0.078	4.28959813	0.0
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
0.0	6.132000000000001	0.0	1.7487585017185325
0.0	0.078	0.0	0.0
2.0185723700000002	0.078	2.0185723700000002	0.0
2.0185723700000002	5.664000000000001	2.0185723700000002	0.0
12.01857237	5.664000000000001	12.01857237	0.0

#[[Data]] m_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.132000000000001	0.0	1.7487585017185325
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
4.28959813	0.078	4.28959813	0.0
5.990701060000001	0.078	5.990701060000001	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
14.289598130000002	5.664000000000001	14.289598130000002	0.0
5.990701060000001	5.664000000000001	5.990701060000001	0.0
5.990701060000001	0.078	5.990701060000001	0.0
4.28959813	0.078	4.28959813	0.0
4.28959813	6.132000000000001	4.28959813	1.7487585017185325
0.0	6.132000000000001	0.0	1.7487585017185325
0.0	0.078	0.0	0.0
2.0185723700000002	0.078	2.0185723700000002	0.0
2.0185723700000002	5.664000000000001	2.0185723700000002	0.0
12.01857237	5.664000000000001	12.01857237	0.0
