[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,27981692.27,11/21/2018,4:42 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,dispersion in ampulle,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27981707.13,150.3653717,-0.365370541810989,,,2,,,,21.0400004294515,,,,,,,150.3653717,150.3653717,-0.365370541810989,-0.365370541810989,,,24.427608,,,,-99999999,4369,150.2749,-0.365370541810989,,,,,,,,,,,,,,,,,,,,,,,150.3653717,,,,
sample offset = 31.5 mm touchdown = 11.3700004294515 mm,27981755.78,150.3283997,-0.449101313948631,0.000963641732123953,3.47313371486592E-7,1,0.999253354069792,40.0298881530762,1.99170729042404,21.0299994796514,0.0109155682014947,0.00193299531094986,0.25,2.68004459829167E-6,0.000968348746171358,4.23712550083773E-6,150.3283997,150.3283997,-0.456713199615479,-0.441489428281784,55.7848274175059,20.3389950040905,24.427608,0,0,0,40,4417,150.1391,-0.449101313948631,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.3283997,,,,
,27981773.9,150.3106308,24.6098871231079,0.000965927939117432,1.78818063363553E-6,1,0.999253354069792,40.0298881530762,1.99135548552327,21.0299994796514,0.0109398967140687,0.00193568688624119,0.25,2.54730139362339E-6,0.000970646670833965,4.1080963273329E-6,150.3089447,150.3123169,18.8788719177246,30.3409023284912,56.2717819849867,20.3452292291516,24.807261,0,0,0,40,4449,150.0925,24.6098871231079,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.3106308,,,,
,27981775.935,150.3089447,115.320148468018,0.00166611498777814,1.1014455691312E-5,1,0.999253354069792,40.0298881530762,1.99135187014735,21.0299994796514,0.0188647834872321,0.00336898119573755,0.25,7.05448547222642E-6,0.0016742500594653,9.75974917511308E-6,150.3089447,150.3089447,103.108985900879,127.531311035156,56.1279623374482,20.3445343462481,24.807261,0,0,0,40,4449,150.08845,115.320148468018,,,,,,,,,,,,,0,,,,0.0049,,,,,,150.3089447,,,,
,27981776.81,150.3078003,159.795997619629,0.0018777670942286,8.34349714946265E-6,1,0.999253354069792,40.0298881530762,1.99131053172376,21.0299994796514,0.0212614990656461,0.0037929729809964,0.25,7.60587242308992E-6,0.00188693619270609,1.06531605699911E-5,150.3066559,150.3089447,127.531311035156,192.060684204102,55.5894202876982,20.3434279654351,24.807261,0,0,0,40,4449,150.08575,159.795997619629,,,,,,,,,,,,,0,,,,0,,,,,,150.3078003,,,,
,27981779.555,150.3037567,296.810684204102,0.00215350316800696,4.72610167006847E-6,1,0.999253354069792,40.0298881530762,1.99132323631802,21.0299994796514,0.0243851720117354,0.00434176379256982,0.25,7.99840045045117E-6,0.00216402005748288,1.14897494598295E-5,150.3037567,150.3037567,291.846893310547,301.774475097656,55.9091063520636,20.34581474352,24.427608,0,0,0,40,4449,150.07865,296.810684204102,,,,,,,,,,,,,0,,,,0,,,,,,150.3037567,,,,
,27981781.665,150.3013153,401.632263183594,0.00231376486203611,2.96424820686729E-6,1,0.999253354069792,40.0298881530762,1.99125248110436,21.0299994796514,0.0261977156651624,0.00467212611956631,0.25,9.24764234976029E-6,0.00232506351820258,1.3002018186457E-5,150.3013153,150.3013153,391.491241455078,411.773284912109,55.8465760705251,20.3441423971266,24.807261,0,0,0,40,4449,150.0758,401.632263183594,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.3013153,,,,
,27981784.135,150.2983551,524.024658203125,0.00241757724369408,2.09159318463661E-6,1,0.999253354069792,40.0298881530762,1.99113466281907,21.0299994796514,0.0273730908648985,0.00487287434085612,0.25,8.90327685690117E-6,0.00242938424996193,1.28224297184452E-5,150.2983551,150.2983551,521.772399902344,526.276916503906,55.9458428924675,20.3446586194667,24.427608,0,0,0,40,4449,150.0714,524.024658203125,,,,,,,,,,,,,0,,,,0,,,,,,150.2983551,,,,
,27981786.25,150.2954559,628.988464355469,0.00252293162608208,1.31884241311564E-6,1,0.999253354069792,40.0298881530762,1.99110942751582,21.0299994796514,0.0285639947280293,0.00509452535394143,0.25,1.0117267460418E-5,0.00253525201881574,1.42113714396399E-5,150.2954559,150.2954559,626.744812011719,631.232116699219,55.9012900668713,20.3452754456718,24.807261,0,0,0,40,4449,150.06535,628.988464355469,,,,,,,,,,,,,0,,,,0,,,,,,150.2954559,,,,
,27981788.36,150.29413605,733.721008300781,0.00257376765829501,1.1673162926607E-6,1,0.999253354069792,40.0298881530762,1.99104805852435,21.0299994796514,0.0291397693779678,0.00519083495967793,0.25,9.77470551919788E-6,0.00258633726628308,1.39486650948298E-5,150.2928162,150.2954559,726.171264648438,741.270751953125,55.7942069597367,20.3460876207767,24.427608,0,0,0,40,4449,150.06145,733.721008300781,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.29413605,,,,
,27981790.49,150.2928162,840.819641113281,0.00261634732144855,9.78185845512572E-7,1,0.999253354069792,40.0298881530762,1.99103901097027,21.0299994796514,0.0296212622271803,0.00527932567670819,0.25,1.01692261134739E-5,0.00262912459782301,1.44133935297362E-5,150.2928162,150.2928162,835.869812011719,845.769470214844,55.8801860968521,20.3471811780853,24.427608,0,0,0,40,4449,150.0578,840.819641113281,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2928162,,,,
