#File generated by ModelExp v0.4.0
#Read datafile: ./AH11_LangevinSAXSscaled.xye
#Started Fit at 2018-10-26 14:52:34.205234
#Finished Fit at 2018-10-26 14:52:34.245508
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 21
#    # data points      = 1746
#    # variables        = 3
#    chi-square         = 4.5740e+09
#    reduced chi-square = 2624216.60
#    Akaike info crit   = 25809.3890
#    Bayesian info crit = 25825.7842
#[[Variables]]
#    Ms:     281.700000 +/- 0.53420173 (0.19%) (init = 229.2)
#    mu:     22100.0000 +/- 156.875946 (0.71%) (init = 17950)
#    chi:   -2.20000000 +/- 0.42792786 (19.45%) (init = -11)
#    sigMu:  0 (fixed)
#    T:      300 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.900
#    C(Ms, mu)  = -0.636
#    C(mu, chi) =  0.523

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-1.997371875	-270.13594914346953	0.006448000780352167	-274.45560078683195
-1.9953265625	-271.62012788472407	0.004997108667092463	-274.45717889191206
-1.99162607421875	-274.36024701056	0.006624844900646753	-274.4600188339884
-1.9895771484375	-274.83520712750453	0.005839544416003217	-274.4615828013706
-1.98562109375	-270.4989112125556	0.005525234171217747	-274.4645853124425
-1.984102734375	-272.00187032151877	0.003957714059312193	-274.46573165859536
-1.98013388671875	-272.70759707603094	0.005628712071371383	-274.4687122064147
-1.97835263671875	-271.32802754745575	0.004012343058750604	-274.4700423978237
-1.97464814453125	-272.5128507734381	0.0053748821103817845	-274.47279386100803
-1.97232724609375	-273.5994115018562	0.006529092950414679	-274.47450734562807
-1.96841494140625	-274.4484556519507	0.005854890656874761	-274.47737763287853
-1.96683857421875	-272.3096399981592	0.005815290092570806	-274.4785276942302
-1.9624296875	-268.2925753415971	0.005260016502331406	-274.4817244883568
-1.9615822265625	-272.01680268398803	0.004839603008088568	-274.4823356156629
-1.95835341796875	-272.3549376328127	0.006446682175423173	-274.4846540589728
-1.95666171875	-272.77558077909543	0.00547825424994055	-274.48586247767486
-1.9508931640625	-269.1001737071179	0.0050233414057253185	-274.48995031303417
-1.9506203125	-268.68420862281647	0.005587354131833746	-274.49014240658556
-1.94490087890625	-268.8304805801754	0.007352487895878136	-274.49414265299737
-1.941405859375	-272.46719648791066	0.005767432024502772	-274.49656222297574
-1.9389296875	-271.1850691066186	0.0066385226370016094	-274.4982649567248
-1.9358736328125	-272.92411166616205	0.005524601483538783	-274.50035323752206
-1.9334376953125	-270.4066360377793	0.005523640455344636	-274.50200728187616
-1.9298654296875	-271.8168026219751	0.005749581923298919	-274.50441599746216
-1.92767373046875	-272.60948871651374	0.006374517909181128	-274.5058838228303
-1.9243740234375	-272.0692568653397	0.00533020762723518	-274.50807929426327
-1.92117021484375	-275.1935175692469	0.005982783547788297	-274.51019431535724
-1.91890771484375	-273.92747254729494	0.00553702188435659	-274.511677999284
-1.91564619140625	-275.7069008747626	0.005998217571328923	-274.5138022911806
-1.915426171875	-275.0955390953613	0.005586779718445402	-274.5139449747217
-1.90967060546875	-270.4095697955836	0.006162225542136886	-274.5176495402158
-1.90515146484375	-272.52908776824796	0.0053153724647065715	-274.52052034950543
-1.9036771484375	-270.18347592238314	0.006396034988096467	-274.52144965418995
-1.89963076171875	-271.58306207892264	0.004986817101342283	-274.52398175120095
-1.89870537109375	-273.35299415107653	0.00538188205581467	-274.52455701592066
-1.89439267578125	-270.5347878906126	0.005896568107844716	-274.5272191610548
-1.89345908203125	-272.32975579697074	0.005697470797280886	-274.5277913566984
-1.88865869140625	-270.56725753672123	0.00557189917655004	-274.53071036521925
-1.8877095703125	-271.2111760945566	0.005614644903627809	-274.5312829022781
-1.88290068359375	-272.7341787173512	0.00560004082215525	-274.53416027879774
-1.88222041015625	-274.5797397824991	0.005945244186798578	-274.53456413994394
-1.87715927734375	-277.4860555113269	0.0050587390380984	-274.53754394100855
-1.8767361328125	-269.9061375132712	0.005742034132912498	-274.53779107994853
-1.87162802734375	-270.60815235152455	0.0053968816115186925	-274.5407500911356
-1.86646748046875	-272.2761563827722	0.006706925061872452	-274.5436934656726
-1.86564892578125	-272.8075333796907	0.005380998554358906	-274.54415606223205
-1.86344619140625	-272.53962775806434	0.006489741284377661	-274.54539507293805
-1.86218037109375	-273.79827314910096	0.004506246721404195	-274.54610322027486
-1.8582224609375	-269.3733915794595	0.005519873665056492	-274.5482991702776
-1.8524763671875	-273.6698162882294	0.006321196595078336	-274.5514377301108
-1.851943359375	-271.69019134163125	0.00569410361690928	-274.5517258742922
-1.84673408203125	-273.19342431458887	0.005498098510646716	-274.55451513242866
-1.84591513671875	-274.1859194398896	0.004343749976403116	-274.5549491771671
-1.8415142578125	-271.59158577912984	0.006958588796007942	-274.5572608307756
-1.839640625	-274.5003922183164	0.0061581309683655956	-274.55823429329047
-1.83601787109375	-270.59823306778907	0.004895319231457428	-274.56009830236513
-1.834671875	-274.1003794971785	0.007922643794359486	-274.560784711283
-1.83050322265625	-271.02129279298896	0.005709837427852886	-274.56288934736386
-1.82969375	-276.5054197133704	0.005730590082363784	-274.56329429419554
-1.825002734375	-272.7050032320872	0.004755036863087102	-274.56561699006414
-1.8237173828125	-270.79403646600906	0.004906569824375956	-274.56624623420566
-1.8184908203125	-272.756413653918	0.005311242128482032	-274.5687728862062
-1.81799091796875	-271.08810994952125	0.006428180995238729	-274.56901184861493
-1.81273232421875	-274.62087992430503	0.006249178398858107	-274.57149678642077
-1.8122392578125	-272.923420901623	0.005357510619686473	-274.57172708068254
-1.80947509765625	-272.359177939354	0.004521485799192023	-274.57300950162204
-1.8070017578125	-269.63061505914874	0.005717685832649704	-274.5741445521481
-1.80127431640625	-271.97784346035513	0.004610924245757107	-274.576727555722
-1.79969853515625	-277.68856502583077	0.004820898728653541	-274.57742702895143
-1.7950279296875	-271.38788766040295	0.005132109317362931	-274.5794717212133
-1.794475390625	-274.87236178339305	0.005651234362592669	-274.57971077700716
-1.79000595703125	-272.7602838001785	0.005457339282128638	-274.5816223142896
-1.78874736328125	-273.9966685229765	0.004703607786305036	-274.58215346071637
-1.7847537109375	-270.5606380512678	0.006283232505772822	-274.5838179489518
-1.78248125	-273.3822764803144	0.005674860267832782	-274.58475082770866
-1.7785072265625	-273.25804681259626	0.006765126711800471	-274.5863572460855
-1.776490234375	-272.5583182831413	0.006300211295126171	-274.58716035929416
-1.77248271484375	-269.94704991137377	0.006525377181404168	-274.58873150506366
-1.77074443359375	-273.12210047753115	0.005402560597266836	-274.58940279956875
-1.7669974609375	-270.6862819899022	0.004988609297667042	-274.5908287186728
-1.76520712890625	-275.30907867751944	0.005889102479285415	-274.5914998154296
-1.761546875	-272.9406635054098	0.0057779996923645795	-274.59285117185834
-1.75996572265625	-277.5176772181064	0.0058731950850393405	-274.5934263082568
-1.75529990234375	-270.70889785015333	0.0053972401460019295	-274.5950929859443
-1.75473818359375	-274.29422202955885	0.006283997495914303	-274.5952905537466
-1.74953642578125	-279.38327313099563	0.005692023149186806	-274.5970884444931
-1.748220703125	-275.3741023809843	0.0060198584932683015	-274.5975341036716
-1.7440287109375	-270.6057272617711	0.004528587327746736	-274.59892936706865
-1.74124833984375	-271.8279785023528	0.006701399481198821	-274.59983399869765
-1.73853662109375	-271.0146289220633	0.005801089756604724	-274.6007002344628
-1.73526318359375	-275.06816330534156	0.00627846467045748	-274.6017246740674
-1.73303583984375	-271.73884308033405	0.0055061143773771385	-274.6024083921569
-1.72998720703125	-276.92776289889275	0.004893410151806765	-274.6033266173604
-1.72702080078125	-270.01801251342636	0.005193476407974098	-274.60420045864606
-1.7242373046875	-273.49681998366225	0.0049245414972549206	-274.6050027317973
-1.72127646484375	-272.1310308233801	0.005572339965646324	-274.60583722946143
-1.7182404296875	-276.03388096867496	0.004571261901796534	-274.60667259549444
-1.7160251953125	-270.041911414856	0.006002520696795759	-274.60726906953636
-1.71273486328125	-275.29103202881475	0.004973829105440656	-274.608134603466
-1.71051376953125	-270.47453054587027	0.005347481237468859	-274.6087050084659
-1.70698427734375	-276.49713531052475	0.005965183458622485	-274.60958832156615
-1.7009833984375	-276.28933820919974	0.004938406270145001	-274.6110245854766
-1.699558203125	-269.22693148529817	0.005406789447274998	-274.61135348539835
