#File generated by ModelExp v0.3.9
#Read datafile: ../dd67_rfm_la.dat
#Read datafile: ../dd67_rfp_la.dat
#Read datafile: ../dd67_rfm_sa.dat
#Read datafile: ../dd67_rfp_sa.dat
#Started Fit at 2018-08-31 12:50:03.005054
#Finished Fit at 2018-08-31 13:40:36.830409
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 573
#    # variables        = 1
#    chi-square         = 2009.75556
#    reduced chi-square = 3.51355867
#    Akaike info crit   = 721.047766
#    Bayesian info crit = 725.398652
#[[Variables]]
#    r:               56.22659 (fixed)
#    d:               16.33209 (fixed)
#    pVal:            1.537738 (fixed)
#    sldCore:         6.4525e-06 (fixed)
#    sldShell:        7.8e-08 (fixed)
#    sldSolvent:      5.664e-06 (fixed)
#    sigR:            0.09266898 (fixed)
#    i0:              0.1707672 (fixed)
#    bg:              0.01579581 (fixed)
#    orderHermite:    10 (fixed)
#    orderLegendre:   10 (fixed)
#    magSldCore:      3.1243e-07 +/- 1.5785e-08 (5.05%) (init = 3.150548e-07)
#    magSldShell:     0 (fixed)
#    magSldSolvent:   0 (fixed)
#    xi:              1 (fixed)
#    sin2alpha:       0.9974654 (fixed)
#    polarization_p:  1 (fixed)
#    dTheta_la:       0.00141583 (fixed)
#    wavelength:      5.9984 (fixed)
#    dWavelength:     0.04247 (fixed)
#    polarization_m: -1 (fixed)
#    dTheta_sa:       0.00090456 (fixed)

#[[Data]] p_la
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0167323	4.20204	0.0920458	3.729625288390271
0.0183245	3.98869	0.0834092	3.302842185265232
0.0188237	3.65408	0.135911	3.1740628071570134
0.0203989	3.30461	0.0676343	2.767496303821456
0.0209157	2.96631	0.122603	2.6401016171214513
0.0224677	2.61547	0.0542954	2.2624803586251327
0.0230022	2.41324	0.108734	2.1365872979529335
0.024532	2.16949	0.0478933	1.799817532078235
0.0250566	1.85326	0.116633	1.6867177238237236
0.0265953	1.60395	0.038487	1.3839216802810383
0.0271495	1.40691	0.103527	1.2829322244342762
0.028656	1.21316	0.0320192	1.028639305714157
0.029242	1.16568	0.0970988	0.9394851107855138
0.0307151	0.903589	0.0279161	0.7348891393322123
0.0313369	0.743743	0.0796355	0.6591564385782047
0.0327739	0.585102	0.0226046	0.5025262719689774
0.0341878	0.411415	0.0426845	0.37833425827207934
0.0349263	0.37822	0.0208752	0.3226462080304388
0.0362745	0.307234	0.0358434	0.24125372500322287
0.0370067	0.223089	0.0189787	0.20489792235759274
0.0383836	0.171684	0.0280674	0.15443491378346674
0.0391096	0.157181	0.0180005	0.13452042657535784
0.0404498	0.168185	0.0263876	0.11156535924110568
0.0411821	0.0922554	0.016257	0.10442473879416041
0.0425997	0.0970238	0.0242167	0.10222201140535574
0.0432543	0.128507	0.0163873	0.10474656494660746
0.0446508	0.120246	0.0239376	0.1175123443740727
0.045328	0.174434	0.0169867	0.12626141654357023
0.0467237	0.184066	0.0228553	0.1482506161761258
0.047389	0.202093	0.0177283	0.1602021903268128
0.0487543	0.19083	0.0230449	0.1859346437035477
0.0494357	0.223954	0.0172501	0.19925538979616278
0.0508291	0.210157	0.0216649	0.22558445530177879
0.0515174	0.265474	0.0179591	0.23821824241406286
0.052882	0.302782	0.0224018	0.2608484669000544
0.0535548	0.30739	0.0190937	0.27072700247102066
0.0549339	0.327761	0.0219411	0.2882669703782516
0.0556159	0.368535	0.0195265	0.2951646235412647
0.0570296	0.374726	0.0209395	0.30596492173355977
0.0577005	0.376391	0.0198333	0.3092040742546238
0.0591419	0.338889	0.0180915	0.3122815122547193
0.0598004	0.36914	0.0227249	0.3117540774087214
0.0612131	0.360128	0.0171814	0.30741382653958116
0.0618988	0.396074	0.0242432	0.30357228755569293
0.063281	0.362403	0.016336	0.2930490284723418
0.0639993	0.343217	0.0230349	0.28607658969033306
0.0653341	0.3362	0.0154411	0.2711364511243706
0.066094	0.32431	0.0244028	0.26147167286949785
0.0673857	0.283123	0.0145104	0.24383967397939144
0.0681403	0.298548	0.0247846	0.23284696123219006
0.0694502	0.251395	0.0134771	0.21322247492852298
0.0703076	0.210896	0.0234686	0.20029211854537785
0.0715135	0.213287	0.0130227	0.18197780747536974
0.0726119	0.196626	0.0198764	0.16572467778031044
0.0736501	0.175637	0.012961	0.15100262519617122
0.0747595	0.131357	0.0178366	0.1360477946688366
0.075728	0.139135	0.0123341	0.12391057451671546
0.0768578	0.154441	0.0178052	0.11085720830679524
0.0778055	0.130207	0.0122782	0.10101625082646544
0.0789485	0.083549	0.0157293	0.09041925018690845
0.0798677	0.102865	0.0120806	0.08310860117911562
0.0810331	0.079454	0.0149184	0.07518619628819828
0.0819554	0.0661155	0.0114673	0.07010160531259749
0.083146	0.0740127	0.0146212	0.0650515643363376
0.084026	0.0633555	0.011387	0.06216152468159978
0.0852029	0.0856828	0.0144612	0.05957937682329958
0.0860807	0.0616414	0.0112381	0.058434301423699944
0.0872574	0.0555149	0.0138068	0.0579199451098767
0.0881232	0.0469566	0.0112262	0.058165451351599076
0.089334	0.05717	0.0134829	0.05927538690142097
0.0901864	0.0745096	0.0112744	0.06053338369077681
0.0914374	0.0849234	0.0129516	0.06282752500775325
0.0922852	0.0549667	0.0113031	0.06458368328975543
0.0935789	0.0721051	0.0117601	0.06753995414460144
0.0943991	0.0638284	0.0124281	0.06945841450742905
0.0956463	0.0636332	0.0111518	0.07234038496947634
0.096479	0.087499	0.0131686	0.07417971313900755
0.0977136	0.0838397	0.0108813	0.07667818956864933
0.0985745	0.088378	0.0135452	0.07822181448591707
0.0997775	0.064369	0.0102676	0.08002143463392349
0.100664	0.104286	0.0146604	0.08104357285377915
0.101829	0.102676	0.0102636	0.08200826795632925
0.102845	0.116993	0.0139718	0.08243350592933246
0.103929	0.0998119	0.0104846	0.08251106916814115
0.105009	0.0871719	0.0125767	0.08217072101915872
0.106025	0.0896956	0.0106837	0.08149906428728149
0.107108	0.0746296	0.0119392	0.08041573084330081
0.10812	0.0967439	0.0106435	0.07910128134682003
0.109232	0.10136	0.0121512	0.07734495516615796
0.110201	0.10494	0.0107624	0.0755793811840487
0.111318	0.0921091	0.0119424	0.07330947697706557
0.112269	0.0977468	0.0107859	0.07124265237370232
0.113384	0.0739685	0.0113038	0.06869879227636438
0.114347	0.07274	0.0102759	0.06642665273031602
0.115485	0.107509	0.0117595	0.06369786767918578
0.116398	0.0859525	0.0104469	0.061481863301005864
0.117534	0.0628827	0.0112562	0.05877963487958736
0.11846	0.0836624	0.0102117	0.056626875824632404
0.119606	0.0527382	0.0107318	0.054044024637328054
0.120521	0.0613315	0.00997265	0.0521041535709806
0.121756	0.0373755	0.00970865	0.04961482376472511
0.122662	0.0440844	0.0104811	0.047912974982368524
0.12385	0.0580705	0.00954072	0.0458548996353974
0.12476	0.0607599	0.0112711	0.04441447045864561
0.125903	0.0560735	0.00919116	0.042779267971714
0.12687	0.0565966	0.0112688	0.041529591470379754
0.12798	0.0419937	0.00875383	0.04025852656487405
0.128947	0.0413822	0.0116903	0.03927736741495033
0.130167	0.0628976	0.0130207	0.03819279391740756
0.131047	0.0384869	0.0153588	0.037526559331893396
0.131885	0.033798	0.0272224	0.036937921262182684

#[[Data]] m_la
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0167293	3.25851	0.0821538	2.8365464092237973
0.0183211	3.02524	0.0716213	2.4889464116932305
0.0188202	2.99742	0.122167	2.3843584163825002
0.0203951	2.5096	0.0585825	2.0555759578763757
0.0209119	2.33755	0.108494	1.9530153391434653
0.0224636	2.02818	0.0478822	1.6509386875743972
0.0229979	1.85546	0.0959523	1.5508401578246795
0.0245274	1.52294	0.0406067	1.2853744391016302
0.025052	1.38167	0.102273	1.1969621885068704
0.0265904	1.13564	0.0332128	0.9626709773940128
0.0271445	1.062	0.0923497	0.8855372460855423
0.0286507	0.809894	0.027401	0.6936428082227813
0.0292366	0.751954	0.082457	0.6275599441950922
0.0307094	0.589809	0.0241248	0.478411209945753
0.0313311	0.539314	0.0717724	0.42460810614581607
0.0327678	0.382146	0.02	0.316186749172186
0.0341815	0.270336	0.0387463	0.23444926768338145
