# GRASP V.7.09CD    Instrument:  ILL_d33

# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  DD67 50 A Rf-
# Start: 09-Jun-16   06:48:10   End: 09-Jun-16   07:03:10

# Sample - (Flip off):  3553 , Loaded: 3532, 3535, 3538, 3541, 3544, 3547, 3550, 3553
# ***** Sanpol Worksheets I+, I- *****
# Subtitle:  DD67 50 A Rf+
# Start: 09-Jun-16   07:03:10   End: 09-Jun-16   07:18:10

# Sample + (Flip on):  3554 , Loaded: 3533,3536, 3539,3542, 3545, 3548, 3551, 3554
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Background:  2359 , Loaded: 2356+2357+2358+2359
# Cadmium:  2343 , Loaded: 2342+2343
# Applying cadmium SANS data correction:  I = I - I_cd

# Transmissions:  Ts = 0.9987 +/- 0.0025947  Te = 0.81 +/- 0
# Foreground Image Only :  I_corr = I_s

# Beam Centre1 :  Cx = 129.427  Cy = 63.9134       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 9
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.00312962	8.91202	0.986166	0.00090724
0.00346862	7.77555	2.02533	0.000907775
0.00352627	8.08628	1.0098	0.000907851
0.00385747	3.02342	1.65088	0.00091228
0.00391894	6.38639	0.810858	0.000913037
0.00424634	5.44931	1.87355	0.000916315
0.00430999	8.33471	0.808402	0.000916836
0.00463524	9.56477	2.24448	0.000919081
0.0046968	6.80929	0.749921	0.000919441
0.0050279	9.18252	1.58626	0.000921111
0.0051026	7.22604	0.724379	0.000921436
0.00541655	8.13908	1.43384	0.000923564
0.00548887	6.23941	0.667561	0.000924902
0.00580523	8.3998	1.46541	0.000929909
0.00587556	5.68577	0.622922	0.000930866
0.00619396	5.72653	1.22922	0.000934651
0.00627305	6.81768	0.603973	0.000935473
0.00658537	8.6125	1.31767	0.000938352
0.0066629	6.75658	0.622245	0.000938988
0.006976	6.86281	1.07455	0.000941297
0.00705313	5.52138	0.574114	0.000941809
0.00736456	5.33248	0.96361	0.000946942
0.00745058	6.09982	0.538054	0.000948563
0.00775315	3.20213	0.803308	0.000953662
0.00783704	5.70625	0.527453	0.00095493
0.00814178	6.93712	1.08286	0.000959095
0.0082283	5.38928	0.494749	0.000960166
0.00853323	6.30875	0.962701	0.000963609
0.00862433	6.25675	0.511824	0.000964548
0.00892406	6.77493	0.914732	0.000967387
0.00901378	5.89703	0.501908	0.000969418
0.00931256	5.86694	0.861801	0.000975907
0.00940643	4.83225	0.435058	0.000977761
0.00970109	5.27852	0.840686	0.000983094
0.00979824	5.70643	0.461202	0.000984706
0.0100896	7.43988	0.992653	0.000989169
0.0101847	5.58253	0.455863	0.000990516
0.0104782	4.63362	0.782042	0.000994373
0.0105774	6.11111	0.457592	0.000995584
0.0108721	5.60149	0.740456	0.00100117
0.0109745	5.17143	0.425343	0.00100365
0.0112605	5.03239	0.710372	0.00101006
0.011361	5.31504	0.428611	0.00101215
0.011649	5.95581	0.769993	0.00101771
0.0117497	5.31283	0.419999	0.00101952
0.0120112	4.71225	0.646155	0.00102395
0.012142	4.26727	0.364987	0.00102601
0.0124114	4.15297	0.623243	0.00103001
0.0125322	5.33269	0.400253	0.0010321
0.01282	5.4107	0.67917	0.00103974
0.0129276	5.10026	0.39852	0.00104241
0.0131876	4.99368	0.616533	0.00104846
0.0133142	4.17297	0.361775	0.00105122
0.0135753	4.85405	0.604885	0.00105658
0.0137008	5.30187	0.398103	0.00105901
0.013963	4.51696	0.591833	0.00106379
0.0140991	4.59076	0.356308	0.00106613
0.0143554	5.0861	0.617709	0.00107121
0.0144857	5.31343	0.377858	0.00107495
0.014747	4.44819	0.549125	0.00108201
0.0148743	3.83277	0.330051	0.00108525
0.0151326	3.95198	0.48983	0.00109146
0.0152683	4.33776	0.341613	0.00109455
0.0155152	3.66438	0.463021	0.00109987
0.0156581	3.40835	0.308007	0.00110279
0.0159099	3.57274	0.46885	0.00110767
0.0160506	4.28769	0.328988	0.00111027
0.0163009	2.90514	0.432274	0.00111757
0.0164399	3.86302	0.316901	0.00112159
0.016688	4.17323	0.477177	0.00112839
0.0168283	3.72545	0.309229	0.00113204
0.0170788	3.63442	0.442873	0.00113824
0.0172199	3.19699	0.295627	0.00114156
0.0174699	3.44136	0.4052	0.00114716
0.0176161	3.47346	0.303229	0.00115029
0.0178657	3.7287	0.398502	0.00115542
0.0180093	3.55491	0.308142	0.00116003
0.0182588	3.36881	0.38678	0.00116765
0.0183958	3.11161	0.295084	0.00117163
0.0186429	3.55673	0.359665	0.00117848
0.0187863	3.05967	0.299957	0.00118228
0.0190308	3.76413	0.35502	0.00118846
0.0191832	3.26845	0.30298	0.00119215
0.0194264	2.43817	0.310488	0.00119778
0.0195754	3.47354	0.305006	0.00120108
0.0198172	2.23991	0.267646	0.00120826
0.0199661	2.52561	0.270605	0.00121303
0.0202045	2.88108	0.307352	0.00122032
0.0203526	2.6486	0.277011	0.00122465
0.0205939	2.84157	0.298413	0.00123142
0.0207442	2.64371	0.273768	0.00123546
0.0209823	2.55502	0.266277	0.0012416
0.021141	2.58553	0.273806	0.00124553
0.0213776	2.69418	0.273839	0.00125115
0.0215325	2.57821	0.269664	0.00125585
0.0217684	2.53174	0.274213	0.00126369
0.0219189	2.19496	0.254455	0.0012685
0.0221512	2.36023	0.247908	0.00127562
0.0223054	2.11518	0.254898	0.00128016
0.0225435	2.06229	0.226724	0.0012869
0.0227044	2.20696	0.258866	0.00129128
0.0229379	1.52529	0.203565	0.0012974
0.0230961	2.14634	0.257708	0.00130139
0.023325	2.49451	0.245207	0.00130814
0.0234853	1.94748	0.24337	0.00131366
0.0237147	1.84752	0.21406	0.00132125
0.0238717	1.47558	0.226233	0.00132625
0.0241045	2.01615	0.221156	0.00133339
0.0242656	2.09808	0.254928	0.00133816
0.0244961	1.42602	0.189469	0.00134473
0.0246596	1.67	0.235792	0.00134923
0.0248791	1.11592	0.234337	0.00135507
0.0250497	1.49803	0.290596	0.00135992
0.0252421	1.50575	0.459255	0.00136676
0.0279819	0.949257	0.145501	0.00146012
0.0281742	0.908284	0.198643	0.00147016
0.0283828	1.08327	0.147029	0.00148104
0.0285642	0.680999	0.179112	0.00149051
0.0287807	0.895833	0.138519	0.0015018
0.0289585	0.840217	0.167238	0.00151108
0.0291933	0.970338	0.144561	0.00152334
0.0293531	0.72287	0.164412	0.00153167
0.0295909	0.999512	0.152481	0.00154408
0.029733	0.732787	0.154605	0.0015515
0.0299761	0.637426	0.148285	0.00156418
0.0301155	0.785285	0.136187	0.00157145
0.030339	0.816416	0.194356	0.00158312
0.030508	0.780477	0.124062	0.00159194
0.0307258	0.441015	0.161995	0.00154506
0.0309153	0.696197	0.114919	0.00155458
0.0311149	0.534798	0.166177	0.00156462
0.0313163	0.411373	0.105708	0.00157475
0.0314949	0.689752	0.171707	0.00158373
0.0317223	0.748416	0.122279	0.00159516
0.0318891	0.432572	0.154594	0.00160355
0.0321225	0.46081	0.111213	0.00161529
0.0322678	0.542728	0.151394	0.00158658
0.0325172	0.383409	0.109848	0.00159884
0.0326553	0.537421	0.130017	0.00160564
0.0328938	0.386657	0.128974	0.00161736
0.0330394	0.455891	0.107898	0.00162452
0.0332494	0.388765	0.16124	0.00163485
0.0334377	0.641846	0.10401	0.00164411
0.0336531	0.432798	0.145641	0.0016547
0.03385	0.473663	0.101315	0.00166438
0.0340442	0.509899	0.155428	0.00167393
0.0342529	0.379831	0.0985229	0.00168419
0.0344268	0.339617	0.146121	0.00169274
0.03466	0.12495	0.0875442	0.00170421
0.0348147	0.388924	0.139408	0.00171181
0.035054	0.184362	0.0952146	0.00172358
0.0351937	0.414509	0.117184	0.00173045
0.0354539	0.295607	0.101829	0.00174324
0.0355909	0.131477	0.10015	0.00174998
0.0358001	0.147014	0.129254	0.00169857
0.0359702	0.249626	0.0834501	0.00170664
0.0361893	0.33453	0.163078	0.00171703
0.0363787	0.100843	0.0763751	0.00172602
0.0365803	0.403075	0.162773	0.00173559
0.0367817	0.323392	0.0856972	0.00174514
0.0369655	0.262859	0.126854	0.00175387
0.0371951	0.188084	0.0806103	0.00176476
0.037362	0.303424	0.121508	0.00177267
0.0375948	0.285975	0.0944444	0.00178372
0.0377457	0.0276355	0.0906121	0.00179088
0.0379901	0.0579701	0.0882504	0.00180248
0.038131	0.116224	0.0852412	0.00180916
0.0383865	0.0327629	0.0903738	0.00182128
0.0385194	0.181655	0.0904711	0.00182759
0.0387265	0.0505086	0.108416	0.00183742
0.0389056	-0.057303	0.0655466	0.00184592
0.0391174	0.105205	0.122018	0.00185596
0.039315	0.0971851	0.0727591	0.00186534
0.0395016	0.00484906	0.101681	0.00187419
0.0397152	0.0585309	0.0713795	0.00188432
0.0398825	0.0365003	0.102477	0.00189226
0.0401233	0.00365111	0.0632184	0.00190369
0.0402821	0.192437	0.107887	0.00191122
0.0405229	0.0403875	0.075204	0.00192265
0.0406738	0.120434	0.0951327	0.00192981
0.0409177	0.135692	0.0848951	0.00194138
0.0410624	0.092354	0.0786977	0.00194825
0.0412757	0.0338928	0.114285	0.00195836
0.0414693	-0.0822539	0.139274	0.00196755
