#File generated by ModelExp v0.3.5
#Read datafile: ../DD67_nuclear20_sa.dat
#Read datafile: ../DD67_nuclear20_la_scaled.dat
#Started Fit at 2018-08-30 17:47:50.230267
#Finished Fit at 2018-08-30 19:12:31.802010
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 29
#    # data points      = 525
#    # variables        = 6
#    chi-square         = 998.411121
#    reduced chi-square = 1.92372085
#    Akaike info crit   = 349.452609
#    Bayesian info crit = 375.032998
#[[Variables]]
#    r:              56.22659 (fixed)
#    d:              16.3320917 +/- 0.07637105 (0.47%) (init = 16.03553)
#    pVal:           1.537738 (fixed)
#    sldCore:        6.4525e-06 +/- 5.7634e-09 (0.09%) (init = 6.4968e-06)
#    sldShell:       7.8e-08 (fixed)
#    sldSolvent:     5.664e-06 (fixed)
#    sigR:           0.09266898 (fixed)
#    i0:             0.17076722 +/- 0.00197054 (1.15%) (init = 0.1834227)
#    bg:             0.01579581 +/- 1.8708e-04 (1.18%) (init = 0.00999)
#    orderHermite:   10 (fixed)
#    orderLegendre:  10 (fixed)
#    dTheta_sa:      9.0456e-04 +/- 8.3174e-05 (9.19%) (init = 0.0010312)
#    wavelength:     5.9984 (fixed)
#    dWavelength:    0.04247 (fixed)
#    dTheta_la:      0.00141583 +/- 2.7412e-05 (1.94%) (init = 0.00150274)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(d, i0)                = -0.984
#    C(sldCore, dTheta_la)   =  0.638
#    C(i0, bg)               = -0.516
#    C(d, sldCore)           =  0.497
#    C(d, bg)                =  0.454
#    C(d, dTheta_la)         =  0.399
#    C(sldCore, i0)          = -0.370
#    C(i0, dTheta_la)        = -0.349
#    C(sldCore, dTheta_sa)   =  0.324
#    C(d, dTheta_sa)         =  0.271
#    C(i0, dTheta_sa)        = -0.248
#    C(dTheta_sa, dTheta_la) =  0.245

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00411025	6.57292	0.14961	5.7425269756300645
0.00430646	6.42106	0.129205	5.7199785028386225
0.00449054	6.19025	0.13541	5.698419828766899
0.00469448	6.38075	0.116961	5.674143518351761
0.00488613	6.03911	0.127611	5.650831818230732
0.00508608	6.00605	0.109462	5.62603873511931
0.00527913	6.09332	0.118049	5.601566342118292
0.00547765	5.84585	0.104621	5.57586097918885
0.00566902	5.73258	0.108807	5.550510770130639
0.00586638	5.67251	0.101101	5.52381388911459
0.00605982	5.81411	0.102324	5.497041599174288
0.00626055	5.6812	0.0954118	5.468661072198068
0.00645406	5.54928	0.0964394	5.4406645090543515
0.00665683	5.46887	0.0880574	5.4106991489211484
0.00685157	5.44353	0.098821	5.381236655037978
0.00704432	5.52852	0.0865937	5.35144121617637
0.00724007	5.31304	0.0910446	5.320557942704974
0.00743381	5.28958	0.0843937	5.2893566277854225
0.00762117	5.25307	0.089479	5.258561421874867
0.00781722	5.25855	0.0812871	5.225754640427397
0.00801227	5.22489	0.0831038	5.192479021420771
0.00821392	5.30335	0.0778224	5.157456364896885
0.00841139	5.18552	0.0826931	5.122508712191681
0.00860583	5.06774	0.0766201	5.087480919240582
0.00879981	5.09856	0.0801069	5.051941524768664
0.00899474	5.12718	0.074295	5.015663404158975
0.00918643	5.01781	0.0784577	4.979416933944812
0.00938304	5.08134	0.0690265	4.9417039897768165
0.00957847	4.89464	0.0767377	4.903665721552645
0.00977786	4.8607	0.0674303	4.864336128277099
0.0099766	4.84411	0.0734776	4.824586523769938
0.0101678	4.73475	0.0683169	4.785803699964345
0.0103612	4.62862	0.0699675	4.746125410434129
0.0105568	4.68129	0.0656311	4.705492534274931
0.010753	4.71525	0.0687252	4.664297418770198
0.0109451	4.65686	0.0655889	4.623485758871274
0.0111414	4.62211	0.0662589	4.581387713920491
0.0113417	4.5146	0.0615259	4.537802642342262
0.0115384	4.49131	0.066707	4.494761265819595
0.0117319	4.36955	0.0587513	4.452030246628142
0.0119304	4.41512	0.0653613	4.407827948735215
0.0121213	4.33163	0.0590578	4.364936076539546
0.0123128	4.37559	0.0651377	4.321570840687913
0.0125059	4.26978	0.0572395	4.277542706086655
0.0127062	4.20142	0.0612199	4.231567469075777
0.012902	4.22025	0.0572911	4.186311139045955
0.0131003	4.14067	0.0601995	4.1401982068628005
0.0132934	3.99991	0.0556749	4.094984599268121
0.0134896	3.96149	0.0570535	4.048824538286828
0.0136816	3.95737	0.0542863	4.003413443708947
0.01388	3.96946	0.0564472	3.9562800379304837
0.0140735	3.95574	0.0529537	3.910078584048221
0.0142716	3.82291	0.0561495	3.862596964940212
0.0144665	3.87523	0.0515176	3.8156871127279417
0.0146676	3.74244	0.0539613	3.7671616438003257
0.0148583	3.65695	0.0511283	3.720938610336178
0.0150574	3.72097	0.0528008	3.672604434764944
0.0152506	3.59009	0.0510651	3.625560900153845
0.0154466	3.4796	0.0518769	3.577743034598605
0.0156353	3.48783	0.0493775	3.5315772687232956
0.0158331	3.44637	0.0499465	3.483164856156187
0.0160273	3.39068	0.0477037	3.435551445665024
0.0162276	3.3948	0.0486907	3.386471198436404
0.0164205	3.26539	0.0464175	3.339115435045165
0.0166192	3.22999	0.0479951	3.2902800641342425
0.0168108	3.19798	0.0453552	3.2432429681486505
0.0170079	3.18049	0.0475759	3.194898999251114
0.0171994	3.0893	0.0447726	3.147948151074475
0.0173999	3.06321	0.0467458	3.0988737141432026
0.0175928	2.99998	0.0439621	3.051663500322328
0.0177926	2.99462	0.045451	3.0028852615956225
0.017985	2.88799	0.0423651	2.955980889117562
0.0181841	2.84122	0.0431971	2.907574331913588
0.0183744	2.80316	0.0421695	2.861395845599077
0.0185724	2.82816	0.0435234	2.813526451323431
0.0187624	2.72776	0.0411754	2.7676769443701232
0.0189608	2.70037	0.0430211	2.71998662667817
0.0191558	2.6578	0.0390437	2.673271735392846
0.0193582	2.58202	0.0420728	2.625015748282994
0.0195484	2.56004	0.0399857	2.5798083036058537
0.0197472	2.51434	0.0401897	2.53281264620301
0.0199376	2.41364	0.0379225	2.4879824400432424
0.0201349	2.38342	0.0400395	2.4417879169420367
0.0203247	2.40042	0.0383795	2.3975521246497506
0.0205254	2.32488	0.0378709	2.351132099046685
0.0207181	2.30381	0.0368276	2.3067444322879007
0.0209191	2.22215	0.0366218	2.2607904912579704
0.0211098	2.21642	0.0367367	2.2174137455040905
0.0213087	2.15238	0.0365241	2.1725551376190766
0.0214992	2.07353	0.0355721	2.1298180624300516
0.0216984	2.07882	0.0360592	2.0855325300622987
0.02189	2.05623	0.0342767	2.043209908136531
0.02209	1.97699	0.036121	1.999463920222212
0.0222807	1.89956	0.0342042	1.9580112907098208
0.0224831	1.89768	0.0342923	1.9144778555577995
0.0226758	1.86315	0.0340488	1.8733233708234898
0.0228745	1.84198	0.0338521	1.8313414363100036
0.0230644	1.757	0.0326713	1.791538344458688
0.0232633	1.74245	0.0333025	1.750327726681522
0.0234512	1.68564	0.0330891	1.7117010681094482
0.0236504	1.65021	0.0326111	1.6712458074511798
0.0238445	1.60802	0.0303602	1.6327397874371659
0.0240465	1.60172	0.0320501	1.5921706937864626
0.024236	1.53624	0.0314021	1.55489750761174
0.024435	1.49773	0.0317773	1.5162403578339614
0.0246249	1.42434	0.0301536	1.4797620523589148
0.0248209	1.46086	0.0320269	1.4425840876554648
0.0250143	1.38343	0.0313673	1.4063605400376775
