#File generated by ModelExp v0.5.9
#Generated at 2018-12-29 19:34:59.576815

#[[Data]] p_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
5.1305373	0.078	5.1305373	0.0
6.709869240000001	0.078	6.709869240000001	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
16.70986924	5.664000000000001	16.70986924	0.0
16.70986924	5.664000000000001	16.70986924	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
6.709869240000001	0.078	6.709869240000001	0.0
5.1305373	0.078	5.1305373	0.0
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.664000000000001	2.1	0.0
12.1	5.664000000000001	12.1	0.0

#[[Data]] m_la
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
5.1305373	0.078	5.1305373	0.0
6.709869240000001	0.078	6.709869240000001	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
16.70986924	5.664000000000001	16.70986924	0.0
16.70986924	5.664000000000001	16.70986924	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
6.709869240000001	0.078	6.709869240000001	0.0
5.1305373	0.078	5.1305373	0.0
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.664000000000001	2.1	0.0
12.1	5.664000000000001	12.1	0.0

#[[Data]] p_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
5.1305373	0.078	5.1305373	0.0
6.709869240000001	0.078	6.709869240000001	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
16.70986924	5.664000000000001	16.70986924	0.0
16.70986924	5.664000000000001	16.70986924	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
6.709869240000001	0.078	6.709869240000001	0.0
5.1305373	0.078	5.1305373	0.0
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.664000000000001	2.1	0.0
12.1	5.664000000000001	12.1	0.0

#[[Data]] m_sa
#r / nm	SLD / 1e-6 A-2	rMag / nm	SLDmag / 1-6 A-2
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
5.1305373	0.078	5.1305373	0.0
6.709869240000001	0.078	6.709869240000001	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
16.70986924	5.664000000000001	16.70986924	0.0
16.70986924	5.664000000000001	16.70986924	0.0
6.709869240000001	5.664000000000001	6.709869240000001	0.0
6.709869240000001	0.078	6.709869240000001	0.0
5.1305373	0.078	5.1305373	0.0
5.1305373	6.101139052284551	5.1305373	0.32842000000000005
1.6965913700000002	6.101139052284551	1.6965913700000002	0.32842000000000005
1.6965913700000002	6.2229855193735775	1.6965913700000002	2.6426361099396448e-11
0.0	6.2229855193735775	0.0	2.6426361099396448e-11
0.0	0.078	0.0	0.0
2.1	0.078	2.1	0.0
2.1	5.664000000000001	2.1	0.0
12.1	5.664000000000001	12.1	0.0
