[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,26951795.97,11/09/2018,6:36 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 DD67,SAMPLE_MATERIAL
INFO,Colloidal Crystal,SAMPLE_COMMENT
INFO,31.86,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26951929.87,349.6222534,99.7613830566406,5.0756328766985E-5,4.58717516987923E-7,1,0.999253354069792,40.0298881530762,1.9991634566921,18.8699997961521,0.000573647343695247,9.8776882123283E-5,0.25,-4.73562964886234E-8,5.06670137283716E-5,-1.89830993030176E-8,349.6222534,349.6222534,99.7613830566406,99.7613830566406,56.922878541506,20.5756158456325,26.705515,0,0,0,40,4369,350.25545,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,349.6222534,,,,
,26951939.175,349.6152039,99.7613830566406,5.14708791259892E-5,4.34893754609703E-7,1,0.999253354069792,40.0298881530762,1.99914835522648,18.8699997961521,0.000581980428687812,9.86576480695501E-5,0.25,-1.8157997027566E-7,5.13803928676998E-5,-1.52564882265958E-7,349.6152039,349.6152039,99.7613830566406,99.7613830566406,56.8931766577752,20.5739573041451,26.325863,0,0,0,40,4370,350.16415,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,349.6152039,,,,
,26951964.355,349.4881592,99.7613830566406,5.12005992653934E-5,4.86214208951467E-7,1,0.999253354069792,40.0298881530762,1.99909956056515,18.8699997961521,0.000579816699791401,9.29205131033943E-5,0.25,-6.42404012928054E-7,5.11110607486708E-5,-6.12658228596726E-7,349.4881592,349.4881592,99.7613830566406,99.7613830566406,56.8916134007368,20.5743052428434,26.705515,0,0,0,40,4370,349.2659,99.7613830566406,,,,,,,,,,,,,0,,,,-0.0049,,,,,,349.4881592,,,,
,26952003.515,348.985199,99.7613830566406,5.11133363794488E-5,4.44499829263692E-7,1,0.999253354069792,40.0298881530762,1.99903483928621,18.8699997961521,0.000578555349946456,9.4291527901748E-5,0.25,-5.05957406123689E-7,5.10247365870535E-5,-4.76397874705828E-7,348.985199,348.985199,99.7613830566406,99.7613830566406,56.7657712091406,20.5719980135035,26.705515,0,0,0,40,4374,347.9274,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,348.985199,,,,
,26952029.37,348.47399905,99.7613830566406,5.10465511949047E-5,4.87855388409535E-7,1,0.999253354069792,40.0298881530762,1.99899268788114,18.8699997961521,0.00057812391318202,9.22841816586233E-5,0.25,-6.72126375386747E-7,5.0959036786303E-5,-6.42215430702213E-7,348.4475098,348.5004883,99.7613830566406,99.7613830566406,56.6391473890252,20.571871179139,26.705515,0,0,0,40,4374,346.60105,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,348.47399905,,,,
,26952049.135,347.92655945,99.7613830566406,5.12144765034234E-5,3.67288900320883E-7,1,0.999253354069792,40.0298881530762,1.99910336761022,18.8699997961521,0.000579798411170304,9.41460242160985E-5,0.25,-5.37118230798037E-7,5.11275406725695E-5,-5.0726465243382E-7,347.8900452,347.9630737,99.7613830566406,99.7613830566406,56.7712426087752,20.5698120903325,26.325863,0,0,0,40,4374,345.5469,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,347.92655945,,,,
,26952065.74,347.4457703,99.7613830566406,5.12249331948308E-5,4.28774673710737E-7,1,0.999253354069792,40.0298881530762,1.9991555845484,18.8699997961521,0.000580415231653074,9.14287249119058E-5,0.25,-7.79739279435631E-7,5.11389506404348E-5,-7.49461072376075E-7,347.4457703,347.4457703,99.7613830566406,99.7613830566406,57.0080760501022,20.5713980365852,26.325863,0,0,0,40,4374,345.3415,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,347.4457703,,,,
,26952083.345,346.9894714,99.7613830566406,5.15208238661598E-5,4.84143735985241E-7,1,0.999253354069792,40.0298881530762,1.99912707604877,18.8699997961521,0.000582381063891534,9.99722826773673E-5,0.25,-7.49982099261457E-8,5.1434740673068E-5,-4.5731795467826E-8,346.9894714,346.9894714,99.7613830566406,99.7613830566406,56.8939582862945,20.5702030108136,26.705515,0,0,0,40,4374,345.219,99.7613830566406,,,,,,,,,,,,,0,,,,0,,,,,,346.9894714,,,,
,26952106.6,346.4693298,99.7613830566406,4.96404100822544E-5,4.24875562519324E-7,1,0.999253354069792,40.0298881530762,1.99905557802582,18.8699997961521,0.000559458017860998,0.000105896505321462,0.25,7.74933228223526E-7,4.95578611130683E-5,8.01789112972232E-7,346.4693298,346.4693298,99.7613830566406,99.7613830566406,56.8017261210252,20.5686127331436,27.085165,0,0,0,40,4374,344.507,99.7613830566406,,,,,,,,,,,,,0,,,,0.00245,,,,,,346.4693298,,,,
,26952126.9,345.9881592,99.7613830566406,5.21949279737922E-5,5.18268925342296E-7,1,0.999253354069792,40.0298881530762,1.99902606064278,18.8699997961521,0.000590399608347076,9.8928234109729E-5,0.25,-2.84102162747785E-7,5.21096040791294E-5,-2.53998591901724E-7,345.9881592,345.9881592,99.7613830566406,99.7613830566406,56.6532167023714,20.5684685543313,26.325863,0,0,0,40,4374,343.92125,99.7613830566406,,,,,,,,,,,,,0,,,,-0.00245,,,,,,345.9881592,,,,
