[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,26782233.17,11/07/2018,7:30 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 DD67,SAMPLE_MATERIAL
INFO,Colloidal Crystal,SAMPLE_COMMENT
INFO,31.86,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26782248.59,20.0002117,-0.258804142475128,,,2,,,,20.3899998316169,,,,,,,20.0002117,20.0002117,-0.258804142475128,-0.258804142475128,,,12.658426,,,,-99999999,4369,20.0093,-0.258804142475128,,,,,,,,,,,,,,,,,,,,,,,20.0002117,,,,
sample offset = 36.23 mm touchdown = 15.4499998316169 mm,26782289.145,20.0005875,-0.121790185570717,0.00116053445750347,3.44842146354884E-7,1,0.999253354069792,40.0298881530762,1.99722454249797,20.3799996525049,0.0130267546700457,0.00239047719855598,0.25,6.63661487969669E-6,0.00115382903173024,1.22224909643829E-5,20.0005875,20.0005875,-0.137013956904411,-0.106566414237022,56.2905410694483,20.5803907588291,13.797379,0,0,0,40,4417,20.0068,-0.121790185570717,,,,,,,,,,,,,0,,,,0,,,,,,20.0005875,,,,
,26782308.655,19.9990234,31.5596208572388,0.00116027918336081,3.94473333045607E-7,1,0.999253354069792,40.0298881530762,1.99710147250804,20.3799996525049,0.0130231869033379,0.00238950081226959,0.25,6.60658271919185E-6,0.00115357609743547,1.2192242487911E-5,19.9990234,19.9990234,28.1335315704346,34.985710144043,56.340565294679,20.5845496373092,13.038077,0,0,0,40,4449,20.00695,31.5596208572388,,,,,,,,,,,,,0,,,,0.0049,,,,,,19.9990234,,,,
,26782310.695,19.9997463,80.1502494812012,0.00116339818180263,3.4378873172181E-7,1,0.999253354069792,40.0298881530762,1.99713197219031,20.3799996525049,0.0130582346304471,0.00239690675439015,0.25,6.70665475154001E-6,0.00115667817036499,1.23086195876125E-5,19.9997463,19.9997463,74.1302719116211,86.1702270507812,56.3093001539098,20.5845351921744,13.797379,0,0,0,40,4449,20.00765,80.1502494812012,,,,,,,,,,,,,0,,,,0.00245,,,,,,19.9997463,,,,
,26782313.235,20.0009022,143.696098327637,0.00116798985630626,4.42288215105488E-7,1,0.999253354069792,40.0298881530762,1.99704584098024,20.3799996525049,0.0131094007260602,0.00240547191276923,0.25,6.65922051358514E-6,0.00116124593329917,1.22863796218565E-5,20.0009022,20.0009022,140.990783691406,146.401412963867,56.994006736756,20.5866908242958,13.038077,0,0,0,40,4449,20.0084,143.696098327637,,,,,,,,,,,,,0,,,,0,,,,,,20.0009022,,,,
,26782315.755,20.0020485,206.406341552734,0.0011712370073287,3.6745360911918E-7,1,0.999253354069792,40.0298881530762,1.99712567457434,20.3799996525049,0.0131452935957378,0.00241834957837627,0.25,7.2171481116281E-6,0.00116447416497896,1.28597396723008E-5,20.0020485,20.0020485,204.104309082031,208.708374023438,56.424981174756,20.5865831242712,13.038077,0,0,0,40,4449,20.00945,206.406341552734,,,,,,,,,,,,,0,,,,0,,,,,,20.0020485,,,,
,26782318.605,20.0024643,278.352249145508,0.00117679259626811,3.83795058988276E-7,1,0.999253354069792,40.0298881530762,1.99694094773629,20.3900001943111,0.0132072331872036,0.00242556494287668,0.25,6.88761199717965E-6,0.00117000243113515,1.25625774361728E-5,20.0024643,20.0024643,275.759552001953,280.944946289062,55.8371965282944,20.5855943591601,13.417728,0,0,0,40,4449,20.0095,278.352249145508,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.0024643,,,,
,26782320.72,20.0030975,330.93669128418,0.00117996313466142,3.62245011438564E-7,1,0.999253354069792,40.0298881530762,1.99703972058339,20.3799996525049,0.0132437138044577,0.00243083185897254,0.25,6.77999628953702E-6,0.00117315756128637,1.24736499624725E-5,20.0030975,20.0030975,328.273651123047,333.599731445313,56.3530713509867,20.5904541305365,13.797379,0,0,0,40,4449,20.00855,330.93669128418,,,,,,,,,,,,,0,,,,0,,,,,,20.0030975,,,,
,26782322.555,20.0030975,377.230056762695,0.00118377536802985,3.2507319378736E-7,1,0.999253354069792,40.0298881530762,1.99711066955722,20.3799996525049,0.0132864383777879,0.00244179838018213,0.25,7.06878112966348E-6,0.0011769485915945,1.27817421256175E-5,20.0030975,20.0030975,373.498413085937,380.961700439453,56.6110087623329,20.590504144604,13.797379,0,0,0,40,4449,20.0081,377.230056762695,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.0030975,,,,
,26782324.66,20.0032654,428.324890136719,0.00118712971614411,4.42608406328627E-7,1,0.999253354069792,40.0298881530762,1.99704114103928,20.3799996525049,0.0133239372630132,0.0024471425485489,0.25,6.95265800033321E-6,0.00118028663299865,1.26853769613713E-5,20.0032654,20.0032654,425.722717285156,430.927062988281,56.2952308405636,20.5878977974859,13.038077,0,0,0,40,4449,20.00815,428.324890136719,,,,,,,,,,,,,0,,,,0,,,,,,20.0032654,,,,
