#File generated by ModelExp v0.6.7
#Read datafile: ../../rescale/Ol_CoFe_C_DisorderedWafer_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-04 17:19:59.879138
#Finished Fit at 2019-01-04 17:19:59.911718
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 1110
#    # variables        = 2
#    chi-square         = 663.388803
#    reduced chi-square = 0.59872636
#    Akaike info crit   = -567.376992
#    Bayesian info crit = -557.352761
#[[Variables]]
#    Ms:            55.2251295 +/- 0.30916850 (0.56%) (init = 55.2)
#    mu:            6250 (fixed)
#    chi:           37.7715448 +/- 0.30440847 (0.81%) (init = 37.2)
#    sigMu:         0 (fixed)
#    orderHermite:  50 (fixed)
#    T:             300 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.870

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-2.2918658203	-126.401070737	13.0354209032	-140.0705561430617
-2.2901232422	-125.2853071875	8.9426631942	-140.00342607588516
-2.2804020508	-125.5115221578	7.0366827175	-139.6288957978974
-2.2788836914	-138.2458031058	12.448731297	-139.570392003961
-2.2678891602	-130.9459007776	11.2722467973	-139.1467164689024
-2.2644004883	-130.5067016527	12.3534216739	-139.01226305448546
-2.2548982422	-127.1334993259	8.0979711259	-138.64600442289105
-2.2548582031	-130.940678147	11.5031957949	-138.6444610077644
-2.2441279297	-128.1654954838	11.4602698425	-138.2307937010874
-2.2436197266	-130.0140325612	10.9719852572	-138.2111997632256
-2.2346401367	-127.642456087	10.0029664423	-137.864958835751
-2.2336486328	-130.6225069785	13.5925804197	-137.82672429305242
-2.2241330078	-137.3406254611	15.3824024649	-137.45974559576854
-2.2228976562	-120.3249546546	7.4908291935	-137.4120983962445
-2.2133908203	-130.3327321574	9.8174478967	-137.0453853057318
-2.2121360352	-125.0481552001	11.0695186526	-136.9969788039991
-2.202627832	-121.6941716301	9.1289481192	-136.63013842450766
-2.2016302734	-125.4703457954	7.8726740908	-136.5916473000541
-2.1933711914	-132.2547487632	13.1670105681	-136.27293955820107
-2.1899066406	-130.2594252445	10.6475440836	-136.13923167795315
-2.1829000977	-131.1976539129	8.460229119	-135.8687996015676
-2.1791766602	-132.1492053686	15.4541984155	-135.72507066229525
-2.1711603516	-128.3949905581	11.6568592719	-135.415596037486
-2.1689249023	-120.7275363335	10.1439297688	-135.32928630113318
-2.1601488281	-133.6402103046	11.9492380402	-134.9904083590077
-2.1578924805	-125.0401992525	11.4654629086	-134.9032723928334
-2.1484725586	-126.2815975996	8.2171224511	-134.5394491108975
-2.1481946289	-131.830575885	9.6739886703	-134.52871363377346
-2.1361642578	-123.6567084612	9.98092994	-134.0639621281171
-2.1359112305	-127.7042303872	11.9059024504	-134.05418604787877
-2.1241942383	-122.9779502873	6.0161229727	-133.6014257898633
-2.1229479492	-130.4799188507	10.7178355168	-133.55326089200784
-2.1142084961	-121.4284777871	10.3607486823	-133.21547418999475
-2.1127103516	-120.9199481156	5.7910943132	-133.15756334968523
-2.1019320313	-132.4810677779	9.3304698826	-132.74087129577623
-2.1016954102	-133.5615838067	11.0838146198	-132.73172237389915
-2.0934901367	-123.0312085519	9.5495794656	-132.41443705931232
-2.0919847656	-126.1013682016	14.8446908165	-132.35622040527971
-2.0826992188	-119.0238265959	9.091938028	-131.99708057221977
-2.0809750977	-128.5369983905	13.8284855521	-131.93038796980562
-2.0722359375	-134.7583228723	14.3578477733	-131.59229883557123
-2.0702242187	-123.8222564229	11.3459025232	-131.5144625443573
-2.0612958008	-118.2525902016	8.4999995088	-131.1689656349559
-2.0577295898	-121.2681876567	13.0419267656	-131.03094637035966
-2.0474797852	-132.2048893974	13.0479700238	-130.63419475463684
-2.0447256836	-126.2757061523	8.5972533911	-130.52757199827784
-2.0367358398	-124.3990124648	10.7118328612	-130.21821210168406
