#File generated by ModelExp v0.6.7
#Read datafile: ../../rescale/Ol_CoFe_C_Dispersion_300K_LangevinSAXSscaled.xye
#Started Fit at 2019-01-04 17:20:10.102076
#Finished Fit at 2019-01-04 17:20:10.132832
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 1119
#    # variables        = 2
#    chi-square         = 3057.38113
#    reduced chi-square = 2.73713619
#    Akaike info crit   = 1128.73295
#    Bayesian info crit = 1138.77333
#[[Variables]]
#    Ms:            57.4343499 +/- 0.40527070 (0.71%) (init = 57.2)
#    mu:            6280 (fixed)
#    chi:           37.7379304 +/- 0.40654120 (1.08%) (init = 37.2)
#    sigMu:         0 (fixed)
#    orderHermite:  50 (fixed)
#    T:             300 (fixed)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(Ms, chi) = -0.843

#[[Data]] 0
#B / T	M / kAm-1	sM / kAm-1	Mmodel / kAm-1
-2.2974988281	-134.2794641973	6.9467583593	-142.35935711003955
-2.2945610352	-132.5323605122	6.5798338116	-142.24621466118597
-2.2852587891	-129.5425639227	6.6293208708	-141.88792108870882
-2.283825293	-131.6247175027	6.6046126782	-141.8327020307407
-2.2745227539	-129.1726147179	7.2743480446	-141.47432874552177
-2.2720889648	-134.4347782687	7.6978552965	-141.380558975419
-2.2632866211	-122.7313476407	6.8997389401	-141.04138504880893
-2.259590332	-135.2949172539	6.8915483373	-140.8989425494429
-2.2525430664	-123.5790647521	8.0453555723	-140.62733788645164
-2.2488383789	-128.8776829029	7.2746056001	-140.48454341419995
-2.2405287109	-126.353648867	5.9235499913	-140.16421740445853
-2.2376087891	-132.1684017759	7.2068557964	-140.05164664807683
-2.2298038086	-130.8771949837	7.544709429	-139.75071329256434
-2.2280878906	-135.9692955499	7.7002140371	-139.68454736021036
-2.2197638672	-121.6553510609	8.4105324362	-139.36354141318924
-2.2173703125	-133.00825109	6.2531948157	-139.2712273015108
-2.2090495117	-128.6156437624	6.3713795711	-138.95027892413756
-2.2083482422	-136.5774299391	5.9073128537	-138.92322729863798
-2.1995391602	-131.5765974575	6.25893269	-138.5833831280127
-2.1975952148	-138.1817096848	6.5177763251	-138.5083799695708
-2.1890361328	-128.4789351194	5.9493857594	-138.1781105891985
-2.187846875	-129.4534971486	6.1723819502	-138.1322161876763
-2.1783142578	-131.0324038585	5.9733558526	-137.76430491434354
-2.1780925781	-134.4246052269	6.9424693374	-137.75574833749909
-2.1675734375	-126.6041284694	6.9216469703	-137.34967695359717
-2.1658612305	-130.1125046853	6.3756454917	-137.28357209848588
-2.1553235352	-124.7703847108	5.691666355	-136.87668085117144
-2.1543634766	-130.6043668627	5.6744684729	-136.83960569633456
-2.1451357422	-129.2748082758	6.2945040824	-136.48321422910553
-2.144043457	-127.7214370639	5.8701449741	-136.44102359075077
-2.1346421875	-127.3564667768	5.8851733352	-136.07784885142868
-2.1340935547	-132.2594955142	5.2604758174	-136.05665266767824
-2.1241235352	-130.6512324616	6.7159528458	-135.67142113938863
-2.1240875	-121.5951547708	6.8829794718	-135.67002862253693
-2.113865918	-125.1489350973	5.4469429605	-135.27498868086053
-2.111418457	-125.9295415075	5.6878396733	-135.18038674898074
-2.1038601563	-127.19507139	6.350340006	-134.88820217004167
-2.0991585937	-127.9443001436	5.9645900182	-134.7064265327662
-2.0938820313	-126.116292995	6.6151274696	-134.50239652956907
-2.0896850586	-123.6916824314	6.7143557193	-134.34009357814946
-2.0828762695	-118.0740792459	7.5333085893	-134.07675435726847
-2.0774358398	-128.1739131561	6.4031478382	-133.86630820208205
-2.0713323242	-121.1928073107	7.0165165336	-133.6301805145671
-2.0666651367	-133.2834299169	5.388140302	-133.4495971939972
-2.0588867188	-122.560872118	6.1156617316	-133.14858894766547
-2.0562039062	-126.3606539194	5.8540326613	-133.0447566976053
-2.0486480469	-124.4910913197	4.9353343952	-132.75228766020598
-2.0457052734	-124.0832589267	7.8222845889	-132.63836537192591
-2.0389186523	-128.3020293688	5.8299829636	-132.37560634949403
-2.0332133789	-119.9367838866	6.4113544348	-132.1546797647944
-2.0279026367	-120.5432742834	6.2075504693	-131.94900227558
-2.0212209961	-124.5093833353	4.6749119802	-131.6901925689075
-2.0183694336	-131.8604931915	4.8759360119	-131.5797254280268
-2.0112268555	-124.9984991696	7.0412664834	-131.30299240338562
-2.0086496094	-128.6980760067	6.2752555416	-131.2031266786741
-2.0000103516	-127.3195126561	4.4973227459	-130.86831503844033
-1.9964230469	-129.8113342424	5.2054929819	-130.72926786830794
-1.988478418	-124.853116261	6.4547850432	-130.42127974442985
-1.9861732422	-129.2556839785	5.9034857095	-130.33190313285155
-1.9787355469	-126.4893724458	6.7831091518	-130.04348985367466
-1.9749660156	-121.4573485787	5.1171045865	-129.89729561058198
-1.9674775391	-128.8765573151	7.5966583549	-129.60682422550704
-1.9654272461	-122.9974846345	7.9623841174	-129.52728471212004
-1.9562397461	-124.8978014147	6.147115809	-129.1708070860536
-1.9544597656	-124.8608432071	5.1783952083	-129.10173272266385
-1.9442255859	-132.5637866353	5.3397163246	-128.70451505319627
-1.9437795898	-130.5449661476	6.1800116194	-128.68720203985936
-1.9342588867	-122.2692637901	6.1812395571	-128.31756717619638
-1.9329486328	-121.4182322037	5.7387313856	-128.26668947793752
-1.9229601563	-127.5796217768	5.9565527045	-127.87876870711419
-1.9222583984	-123.92835881	6.8797523805	-127.85151036570215
-1.9117569336	-125.8329864468	6.0512130674	-127.4435345746646
-1.9104397461	-126.2018580639	5.8955151345	-127.39235355042089
-1.9015288086	-122.5931866787	5.7022750262	-127.04605394228317
-1.8999816406	-124.0210454137	6.4696377272	-126.98591784579696
-1.8902992188	-127.3661090701	5.9803100454	-126.609511622327
-1.8895498047	-127.4617420899	5.4962105887	-126.58037328314512
-1.8799869141	-121.2980387287	5.3831867908	-126.20849383193908
-1.8793151367	-130.6863532716	4.9263955961	-126.1823657030161
-1.8697625977	-120.1790953667	5.3526932505	-125.81076859540109
-1.8683046875	-125.7532047645	5.8483800722	-125.75404539142647
-1.8583195313	-125.813807241	5.0431263018	-125.36547902664427
-1.8577458008	-124.8081557005	7.1384888769	-125.3431488119692
-1.8463140625	-122.7598490264	6.0254546069	-124.89812518321645
-1.8452825195	-121.072238739	5.8287393963	-124.857960175535
-1.8378325195	-123.2726645747	5.7138175061	-124.5678396209876
-1.8345430664	-117.8464491833	5.6269883845	-124.43971737322677
-1.8280811523	-125.7709251308	6.9372278871	-124.18798789199846
-1.8247834961	-124.0648949525	5.8114502934	-124.05950334722456
-1.8175849609	-122.6397751013	5.0726170149	-123.77898035910621
-1.814006543	-119.5029643109	5.9358286242	-123.63950518518894
-1.8065667969	-118.3722869532	6.1626822706	-123.34947169551862
-1.8042932617	-118.5852175295	5.1286470955	-123.26082420223946
-1.794534082	-121.4457257918	5.6148408972	-122.8802216734696
-1.7941109375	-128.2798870691	5.7079665344	-122.86371624601671
-1.7838414063	-121.0211751919	5.406674609	-122.46305867377188
-1.7818325195	-119.078752882	5.6875886456	-122.38466588941304
-1.7735227539	-119.3460532503	6.189193618	-122.06033179815626
-1.77284375	-122.9830260503	5.907288616	-122.0338255041352
-1.7626030273	-117.3630920862	4.7766550313	-121.63397570949304
-1.7618439453	-121.9755629699	5.8805634583	-121.60433110038154
-1.7513630859	-120.4275837534	6.6010034352	-121.19493114297204
-1.7500375	-128.2150531715	4.5436960338	-121.14313969490631
-1.7411054688	-116.9804431578	5.1045736706	-120.79408966964269
-1.7392888672	-128.7149905766	5.3012669187	-120.72308462707106
-1.7300429688	-123.7927284759	5.4243382732	-120.36161281484712
-1.7288782227	-115.7224705077	4.883432306	-120.31606711534701
-1.720309668	-123.33302984	5.6025315306	-119.98094006134285
-1.7186365234	-116.235251364	6.4638579392	-119.91548755858553
-1.7095798828	-123.4935526963	5.6384397	-119.56111819727646
-1.7068668945	-119.8352970731	5.8519548443	-119.45493804642544
-1.6990771484	-127.5121660284	5.3748413577	-119.1499978162487
-1.6953676758	-122.2705731281	6.0760844416	-119.00475001786072
-1.6880710938	-116.716723831	5.8931714584	-118.71897820647771
-1.6843984375	-117.943266644	5.2864549035	-118.57510389438765
-1.6751458008	-111.8055582017	7.4702130384	-118.21253432914664
-1.6729076172	-116.3664856742	5.7977308623	-118.12480764129816
-1.6650797852	-115.7259134615	4.2483791497	-117.81792300863673
-1.662669043	-117.2868449063	4.9798677525	-117.72338979257015
-1.6546376953	-122.2407018391	5.3977398521	-117.40837917017213
-1.6516610352	-112.6774634274	6.3247758487	-117.29159726156152
-1.6431417969	-119.4300528737	6.437382253	-116.95727690107117
-1.6401736328	-118.5124410561	5.3047246463	-116.84076598732193
-1.6329187012	-120.7100271596	5.0013027233	-116.55591548473217
-1.6296877441	-119.9705614418	5.488225683	-116.42902665634765
-1.6203851563	-117.5740786699	5.0324054491	-116.06357726538054
-1.617448877	-118.2146843367	5.0820128593	-115.94819204122874
-1.6108451172	-120.2501666955	5.508673154	-115.68862706157765
-1.6074665527	-109.2971098574	5.4237445099	-115.55579754305779
-1.5993939941	-112.8989959047	6.2426700001	-115.23833073153244
-1.5969473633	-115.7320131179	5.5887803467	-115.14208729631756
-1.5901501953	-117.2916485899	6.3144132067	-114.8746430220111
-1.5877031738	-111.7507057967	5.3090123663	-114.7783385522875
-1.5789344238	-113.7101061136	5.3548619096	-114.43313667622162
-1.5769635254	-119.9777445599	6.7868825025	-114.35552588819756
-1.5694083008	-111.5979249876	5.8465698312	-114.05793814573136
-1.564723877	-114.614337391	5.1639235834	-113.87336600097095
-1.5581962891	-109.7632869512	5.7406827782	-113.61609276518223
-1.5549989258	-112.2101609958	6.1448930311	-113.49004089338538
-1.5459279785	-114.1312799484	5.901962187	-113.13230929290484
-1.5437243164	-110.5687100462	4.8153602644	-113.04537596553297
-1.5345065918	-112.1383205655	5.7020255175	-112.68162408308626
