[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28581037.28,11/28/2018,3:11 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 FeO,SAMPLE_MATERIAL
INFO,disordered monolayer,SAMPLE_COMMENT
INFO,25.46,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28581165.895,10.0035124,99.7461624145508,8.08385873489146E-7,3.33828898447935E-7,1,0.999253354069792,40.0298881530762,2.00892458289822,15.599999576807,9.27782044671518E-6,8.12383883179407E-7,0.25,-7.16520620523447E-8,8.04089592807041E-7,-6.73419157534416E-8,10.0035124,10.0035124,99.7461624145508,99.7461624145508,57.0713879601599,20.6293075024837,11.899124,0,0,0,40,4369,9.9926,99.7461624145508,,,,,,,,,,,,,0,,,,0,,,,,,10.0035124,,,,
,28581175.765,10.0079308,99.7461624145508,1.0270308807362E-6,2.95773591626775E-7,1,0.999253354069792,40.0298881530762,2.00895609800568,15.599999576807,1.18464467839839E-5,6.99491445859897E-7,0.25,-1.20470367037606E-7,1.02171455028855E-6,-1.14825410691079E-7,10.0079308,10.0079308,99.7461624145508,99.7461624145508,57.3168193151984,20.6295431185633,11.899124,0,0,0,40,4370,10.03025,99.7461624145508,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.0079308,,,,
,28581197.29,10.60200405,99.7461624145508,8.35697520040416E-7,2.4600521023515E-7,1,0.999253354069792,40.0298881530762,2.00897444884617,15.599999576807,1.02783471006126E-5,-3.02809265299983E-6,0.25,-4.16387345864247E-7,8.3290619769865E-7,-4.09965567621173E-7,10.5659103,10.6380978,99.7461624145508,99.7461624145508,57.3684067974676,20.6310008289894,11.899124,0,0,0,40,4370,10.7028,99.7461624145508,,,,,,,,,,,,,0,,,,-0.00245,,,,,,10.60200405,,,,
,28581217.68,11.0990944,99.7461624145508,1.19312021403926E-6,3.15972742275994E-7,1,0.999253354069792,40.0298881530762,2.00892956630157,15.599999576807,1.43079038794424E-5,-2.26142209946892E-6,0.25,-4.12010850776281E-7,1.18825402357757E-6,-4.03890061390195E-7,11.0990944,11.0990944,99.7461624145508,99.7461624145508,57.3621537693137,20.6318079144619,11.899124,0,0,0,40,4370,11.1723,99.7461624145508,,,,,,,,,,,,,0,,,,-0.0049,,,,,,11.0990944,,,,
,28581236.025,11.5518999,99.7461624145508,1.0193066772941E-6,3.09702540770661E-7,1,0.999253354069792,40.0298881530762,2.00882655655061,15.599999576807,1.19391145912E-5,-3.33647924249034E-7,0.25,-2.10534596990115E-7,1.01446631015285E-6,-2.04409178076151E-7,11.5518999,11.5518999,99.7461624145508,99.7461624145508,57.2449094914291,20.6304599610602,12.658426,0,0,0,40,4370,11.63215,99.7461624145508,,,,,,,,,,,,,0,,,,0.00245,,,,,,11.5518999,,,,
,28581254.47,12.0128307,99.7461624145508,6.62250573796349E-7,3.16431468563708E-7,1,0.999253354069792,40.0298881530762,2.0088492792489,15.599999576807,7.59627902749183E-6,6.88315330678145E-7,0.25,-5.6679894174024E-8,6.58718806296499E-7,-5.31603122132388E-8,12.0128307,12.0128307,99.7461624145508,99.7461624145508,57.2089545795445,20.6289389650392,11.899124,0,0,0,40,4370,12.1169,99.7461624145508,,,,,,,,,,,,,0,,,,0.00245,,,,,,12.0128307,,,,
,28581275.37,12.5118608,99.7461624145508,1.07236794791403E-6,2.68556071132872E-7,1,0.999253354069792,40.0298881530762,2.00882347282308,15.599999576807,1.2794154682286E-5,-1.66638439997292E-6,0.25,-3.37913733720135E-7,1.06783495187831E-6,-3.30799979701735E-7,12.5118608,12.5118608,99.7461624145508,99.7461624145508,57.1972301517561,20.6315194215846,12.658426,0,0,0,40,4370,12.6126,99.7461624145508,,,,,,,,,,,,,0,,,,-0.0049,,,,,,12.5118608,,,,
,28581297.47,13.0377388,99.7461624145508,6.16612236278492E-7,2.84953028413418E-7,1,0.999253354069792,40.0298881530762,2.0087305934031,15.599999576807,7.79232179854547E-6,-3.41345944049672E-6,0.25,-4.11624618573915E-7,6.15053141543379E-7,-4.06284803045211E-7,13.0377388,13.0377388,99.7461624145508,99.7461624145508,57.2292769210445,20.6297228945312,12.658426,0,0,0,40,4370,13.1733,99.7461624145508,,,,,,,,,,,,,0,,,,0,,,,,,13.0377388,,,,
,28581315.39,13.5052605,99.7461624145508,8.64574614339045E-7,2.95293499995596E-7,1,0.999253354069792,40.0298881530762,2.00887474490035,15.599999576807,1.04360218929387E-5,-2.02362289097421E-6,0.25,-3.32628797842748E-7,8.61208291182026E-7,-3.26546810217223E-7,13.5052605,13.5052605,99.7461624145508,99.7461624145508,57.1534589546791,20.6306945530395,12.278775,0,0,0,40,4370,13.6392,99.7461624145508,,,,,,,,,,,,,0,,,,-0.0049,,,,,,13.5052605,,,,
,28581337.11,14.0474987,99.7461624145508,9.608111497781E-7,2.88477922192207E-7,1,0.999253354069792,40.0298881530762,2.00883182540858,15.599999576807,1.19235720986113E-5,-4.08555810564927E-6,0.25,-5.32217822336219E-7,9.57852824890212E-7,-5.24523532389102E-7,14.0474987,14.0474987,99.7461624145508,99.7461624145508,57.403580080833,20.6311100155563,12.658426,0,0,0,40,4370,14.17395,99.7461624145508,,,,,,,,,,,,,0,,,,-0.00245,,,,,,14.0474987,,,,
