[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28501271.64,11/27/2018,5:01 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 FeO,SAMPLE_MATERIAL
INFO,disordered monolayer,SAMPLE_COMMENT
INFO,25.46,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28501285.63,100.1980743,-0.19790905714035,,,2,,,,15.5400002625585,,,,,,,100.1980743,100.1980743,-0.19790905714035,-0.19790905714035,,,19.112494,,,,-99999999,4369,100.0461,-0.19790905714035,,,,,,,,,,,,,,,,,,,,,,,100.1980743,,,,
sample offset = 36.55 mm touchdown = 10.9200002625585 mm,28501322.58,100.1753616,0.038059432990849,3.36738115071683E-6,3.16158040924335E-7,1,0.999253354069792,40.0298881530762,1.99753592240228,15.5300004407763,3.87653280937E-5,4.00678234237617E-6,0.25,-2.39461098304273E-7,3.3870551370984E-6,-2.3033255573567E-7,100.1753616,100.1753616,0.0152237731963396,0.0608950927853584,56.1256174518906,20.5953784450252,19.112494,0,0,0,40,4417,99.99455,0.038059432990849,,,,,,,,,,,,,0,,,,0,,,,,,100.1753616,,,,
,28501341.805,100.1605568,58.7092895507812,3.86416362759401E-6,3.81626919732183E-7,1,0.999253354069792,40.0298881530762,1.9976951902712,15.5300004407763,4.43753623724163E-5,5.23722339202722E-6,0.25,-2.18597648655574E-7,3.88656471514358E-6,-2.07802113567165E-7,100.1597443,100.1613693,51.8767318725586,65.5418472290039,56.1209276807752,20.59824211159,19.112494,0,0,0,40,4449,99.97295,58.7092895507812,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.1605568,,,,
,28501343.92,100.1597443,162.832588195801,3.43423070597029E-6,3.49065826755966E-7,1,0.999253354069792,40.0298881530762,1.99776829250029,15.5300004407763,3.9480176929873E-5,4.42306127521131E-6,0.25,-2.14645896729209E-7,3.45420268164613E-6,-2.05165541147502E-7,100.1597443,100.1597443,157.638320922852,168.02685546875,56.3343122665252,20.6003121607136,19.492144,0,0,0,40,4449,99.9681,162.832588195801,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.1597443,,,,
,28501346.245,100.1573715,277.116729736328,3.26092505313144E-6,3.25120238558495E-7,1,0.999253354069792,40.0298881530762,1.9977114899595,15.5300004407763,3.68662530127583E-5,7.7304485782463E-6,0.25,1.066914447139E-7,3.27892319794319E-6,1.17438495803574E-7,100.1573715,100.1573715,272.156036376953,282.077423095703,56.5187765970637,20.5991749511198,19.112494,0,0,0,40,4449,99.9664,277.116729736328,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.1573715,,,,
,28501348.43,100.1550598,386.969619750977,2.907204322161E-6,3.29868086936868E-7,1,0.999253354069792,40.0298881530762,1.99776021601338,15.5300004407763,3.36233106508816E-5,2.59505732710901E-6,0.25,-2.82769487304345E-7,2.92442637574001E-6,-2.7531284500862E-7,100.1550598,100.1550598,381.916595458984,392.022644042969,56.3851181202752,20.601153465148,19.112494,0,0,0,40,4449,99.9659,386.969619750977,,,,,,,,,,,,,0,,,,0,,,,,,100.1550598,,,,
,28501350.805,100.1526413,504.705413818359,2.89788089610441E-6,2.95151994300609E-7,1,0.999253354069792,40.0298881530762,1.99768386261349,15.5300004407763,3.42498021903395E-5,-1.5981614902474E-6,0.25,-6.4989588073949E-7,2.91619317403159E-6,-6.44532575018638E-7,100.1526413,100.1526413,497.271423339844,512.139404296875,56.2131598460444,20.6021976324418,19.492144,0,0,0,40,4449,99.9654,504.705413818359,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.1526413,,,,
,28501352.65,100.1506882,596.763580322266,2.32157440438472E-6,2.92613401332194E-7,1,0.999253354069792,40.0298881530762,1.99766843792817,15.5300004407763,2.66210453304632E-5,3.36929993494719E-6,0.25,-1.11734447405457E-7,2.33497265384922E-6,-1.05139062194488E-7,100.1506882,100.1506882,591.961669921875,601.565490722656,56.1889293619483,20.6006709277632,18.732843,0,0,0,40,4449,99.9622,596.763580322266,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.1506882,,,,
,28501355.29,100.1490097,728.618865966797,2.55551133082399E-6,3.4300620025904E-7,1,0.999253354069792,40.0298881530762,1.99760793821411,15.5300004407763,2.92501575973485E-5,4.00770677199379E-6,0.25,-9.669633067177E-8,2.57017816047964E-6,-8.9289053445464E-8,100.1490097,100.1490097,721.064208984375,736.173522949219,56.1310888515252,20.600592642418,18.732843,0,0,0,40,4449,99.9613,728.618865966797,,,,,,,,,,,,,0,,,,0,,,,,,100.1490097,,,,
,28501358.515,100.1471405,888.751434326172,1.72583375987687E-6,2.67082597935307E-7,1,0.999253354069792,40.0298881530762,1.99778420432423,15.5300004407763,2.06185965597494E-5,-2.20427853389933E-6,0.25,-4.97186459605642E-7,1.73708266206332E-6,-4.94612357034598E-7,100.1471405,100.1471405,886.317993164062,891.184875488281,56.3319673809675,20.601050084953,19.492144,0,0,0,40,4449,99.9595,888.751434326172,,,,,,,,,,,,,0,,,,0,,,,,,100.1471405,,,,
