[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28478126.45,11/26/2018,10:36 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 FeO,SAMPLE_MATERIAL
INFO,disordered monolayer,SAMPLE_COMMENT
INFO,25.46,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28478141.92,19.998848,-0.274027913808823,,,2,,,,15.7600000751019,,,,,,,19.998848,19.998848,-0.274027913808823,-0.274027913808823,,,12.278775,,,,-99999999,4369,20.0154,-0.274027913808823,,,,,,,,,,,,,,,,,,,,,,,19.998848,,,,
sample offset = 36.55 mm touchdown = 11.1400000751019 mm,28478182.525,20.0009689,-0.266416028141975,6.72436074751461E-6,3.68839920643862E-7,1,0.999253354069792,40.0298881530762,1.99747068697958,15.7500002533197,7.55400638621719E-5,1.35617123528112E-5,0.25,1.25751172896397E-8,6.68563422896292E-6,4.50902865350038E-8,20.0009689,20.0009689,-0.274027913808823,-0.258804142475128,56.668849272756,20.6092234923398,12.658426,0,0,0,40,4417,20.0117,-0.266416028141975,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.0009689,,,,
,28478203.05,20.0017319,67.7668304443359,7.20328314636887E-6,3.2034808342439E-7,1,0.999253354069792,40.0298881530762,1.9973841763857,15.7500002533197,8.17843752308228E-5,9.64299279317143E-6,0.25,-4.21178113934191E-7,7.16391677100244E-6,-3.8383549247513E-7,20.0017319,20.0017319,65.6139907836914,69.9196701049805,56.6743206723906,20.6115815507509,12.658426,0,0,0,40,4449,20.0117,67.7668304443359,,,,,,,,,,,,,0,,,,0,,,,,,20.0017319,,,,
,28478205.095,20.0019226,167.538833618164,6.34776839306797E-6,3.1879234387723E-7,1,0.999253354069792,40.0298881530762,1.99735986616501,15.7500002533197,7.19911707507808E-5,8.94409969303865E-6,0.25,-3.3144808743159E-7,6.31290548840581E-6,-2.98747278266925E-7,20.0019226,20.0019226,162.47412109375,172.603546142578,56.6813553290637,20.6136614481422,12.278775,0,0,0,40,4449,20.0114,167.538833618164,,,,,,,,,,,,,0,,,,0.0049,,,,,,20.0019226,,,,
,28478207.27,20.0020771,277.069107055664,6.31813138268977E-6,3.31554962036636E-7,1,0.999253354069792,40.0298881530762,1.99729431269352,15.7500002533197,7.13822456695766E-5,1.0427097959988E-5,0.25,-1.94212279283083E-7,6.28279798381701E-6,-1.62416378898533E-7,20.0020771,20.0020771,267.108245849609,287.029968261719,56.6641595016406,20.6141112169816,12.658426,0,0,0,40,4449,20.01145,277.069107055664,,,,,,,,,,,,,0,,,,-0.00245,,,,,,20.0020771,,,,
,28478209.62,20.0024719,391.770431518555,5.964934941031E-6,3.06532475687572E-7,1,0.999253354069792,40.0298881530762,1.99732685411445,15.7500002533197,6.78408881802644E-5,7.32378644907414E-6,0.25,-4.07702041863431E-7,5.932694211019E-6,-3.76367096232553E-7,20.0024719,20.0024719,381.568939208984,401.971923828125,56.8025077495445,20.6107842621322,12.658426,0,0,0,40,4449,20.0116,391.770431518555,,,,,,,,,,,,,0,,,,0,,,,,,20.0024719,,,,
,28478212.46,20.0026073,536.662414550781,5.48871552817153E-6,3.25769044600017E-7,1,0.999253354069792,40.0298881530762,1.99727555527361,15.7500002533197,6.1630389715887E-5,1.12045526076595E-5,0.25,2.22232665135386E-8,5.45714925124995E-6,4.88142002065546E-8,20.0026073,20.0026073,526.685668945313,546.63916015625,56.5625477941406,20.6111166764796,13.038077,0,0,0,40,4449,20.01185,536.662414550781,,,,,,,,,,,,,0,,,,0,,,,,,20.0026073,,,,
,28478214.61,20.0021858,641.443023681641,5.01702204648857E-6,3.1690102817855E-7,1,0.999253354069792,40.0298881530762,1.99731203730475,15.7500002533197,5.68042458713087E-5,7.60117843118852E-6,0.25,-2.1471479898154E-7,4.9893361057124E-6,-1.89037118916973E-7,20.0021858,20.0021858,636.588623046875,646.297424316406,56.7985996069483,20.6146470296105,13.417728,0,0,0,40,4449,20.0116,641.443023681641,,,,,,,,,,,,,0,,,,0,,,,,,20.0021858,,,,
,28478216.84,20.0019951,753.592102050781,5.00038102983976E-6,2.7188196667532E-7,1,0.999253354069792,40.0298881530762,1.99730569427692,15.7500002533197,5.69120955774896E-5,5.90885166218137E-6,0.25,-3.62393508232491E-7,4.97353681136153E-6,-3.35924460135729E-7,20.0019951,20.0019951,751.166748046875,756.017456054687,56.6110087623329,20.614600386937,13.038077,0,0,0,40,4449,20.0114,753.592102050781,,,,,,,,,,,,,0,,,,-0.0049,,,,,,20.0019951,,,,
,28478218.765,20.0027294,848.391662597656,4.63174808065136E-6,3.45851438780776E-7,1,0.999253354069792,40.0298881530762,1.99732173396239,15.7500002533197,5.29315444596434E-5,4.26630730508177E-6,0.25,-4.43113994204505E-7,4.6074291262675E-6,-4.17960460307154E-7,20.0027294,20.0027294,845.955017089844,850.828308105469,56.6649411301598,20.6134536214077,13.038077,0,0,0,40,4449,20.0117,848.391662597656,,,,,,,,,,,,,0,,,,0,,,,,,20.0027294,,,,
