[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28451414.27,11/26/2018,3:10 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 FeO,SAMPLE_MATERIAL
INFO,disordered monolayer,SAMPLE_COMMENT
INFO,25.46,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28451429.52,299.9926758,0.563279569149017,,,2,,,,14.2799999815226,,,,,,,299.9926758,299.9926758,0.563279569149017,0.563279569149017,,,22.149702,,,,-99999999,4369,300.1961,0.563279569149017,,,,,,,,,,,,,,,,,,,,,,,299.9926758,,,,
sample offset = 36.55 mm touchdown = 9.65999998152256 mm,28451476.93,299.9987793,0.548055797815323,4.92105730836563E-7,4.11280305238076E-7,1,0.999253354069792,40.0298881530762,1.97492612250477,14.2700001597404,6.03607052277295E-6,-2.10604300922095E-6,0.25,-2.73496141143431E-7,4.92272531721099E-7,-2.73161469084163E-7,299.9987793,299.9987793,0.532832026481628,0.563279569149017,55.8668984120251,20.5466182676948,22.909004,0,0,0,40,4417,300.19965,0.548055797815323,,,,,,,,,,,,,0,,,,-0.00245,,,,,,299.9987793,,,,
,28451494.525,299.9983521,35.2669153213501,4.35946651829736E-7,4.49774462935418E-7,1,0.999253354069792,40.0298881530762,1.97476742930933,14.2700001597404,5.31705714240373E-6,-1.69375478856509E-6,0.25,-2.26928155680119E-7,4.3608423445922E-7,-2.26632138264129E-7,299.9983521,299.9983521,31.1486148834229,39.3852157592773,56.0607422847944,20.5567216635015,22.909004,0,0,0,40,4449,300.1998,35.2669153213501,,,,,,,,,,,,,0,,,,0,,,,,,299.9983521,,,,
,28451496.44,299.9993896,125.915908813477,8.28764970354553E-7,3.87418469341033E-7,1,0.999253354069792,40.0298881530762,1.97477539623862,14.2700001597404,1.00034852686151E-5,-2.61595566714933E-6,0.25,-3.77417780566083E-7,8.28990670905427E-7,-3.76856626877343E-7,299.9993896,299.9993896,118.208755493164,133.623062133789,56.2209761312367,20.5551315584442,23.288654,0,0,0,40,4449,300.19905,125.915908813477,,,,,,,,,,,,,0,,,,0,,,,,,299.9993896,,,,
,28451498.375,299.9986572,220.284385681152,4.73763560819408E-7,4.21835151095215E-7,1,0.999253354069792,40.0298881530762,1.97473459973465,14.2700001597404,5.39474495081424E-6,3.7253456303626E-7,0.25,-4.87848608955714E-8,4.73781810938837E-7,-4.84690618373336E-8,299.9979248,299.9993896,212.716186523438,227.852584838867,56.3397836661598,20.5547036442315,22.909004,0,0,0,40,4449,300.1995,220.284385681152,,,,,,,,,,,,,0,,,,0,,,,,,299.9986572,,,,
,28451500.56,299.9980774,330.142120361328,6.89716516617535E-7,4.05884854723431E-7,1,0.999253354069792,40.0298881530762,1.97477835389471,14.2700001597404,7.60667397470328E-6,1.96965247099025E-6,0.25,5.65557633359129E-8,6.89658452444876E-7,5.70117029957386E-8,299.9979248,299.99823,322.375305175781,337.908935546875,56.2975757261213,20.5560302415544,22.909004,0,0,0,40,4449,300.2013,330.142120361328,,,,,,,,,,,,,0,,,,0,,,,,,299.9980774,,,,
,28451503.27,299.99823,465.087005615234,1.04183836799342E-6,3.16800852444679E-7,1,0.999253354069792,40.0298881530762,1.97471287532483,14.2700001597404,1.11491269660666E-5,4.94111791930334E-6,0.25,2.61163632879768E-7,1.04163405884995E-6,2.61847099724785E-7,299.99823,299.99823,457.421142578125,472.752868652344,56.3069552683521,20.5561848842148,22.909004,0,0,0,40,4449,300.20175,465.087005615234,,,,,,,,,,,,,0,,,,0,,,,,,299.99823,,,,
,28451505.5,299.9992065,574.906555175781,7.66167295122105E-7,3.46836657213583E-7,1,0.999253354069792,40.0298881530762,1.97472908827603,14.2700001597404,9.03832632047938E-6,-1.2098682092381E-6,0.25,-2.40892088498802E-7,7.66304276031168E-7,-2.40376567775361E-7,299.9992065,299.9992065,572.610717773438,577.202392578125,56.4968909985252,20.557005861465,22.909004,0,0,0,40,4449,300.20105,574.906555175781,,,,,,,,,,,,,0,,,,-0.00245,,,,,,299.9992065,,,,
,28451507.3,299.9990234,667.067230224609,9.02416581444141E-7,3.75946996228108E-7,1,0.999253354069792,40.0298881530762,1.9747093880666,14.2700001597404,1.00781104471751E-5,1.84995656387281E-6,0.25,9.0099185450085E-9,9.02383699497613E-7,9.60839322056478E-9,299.9990234,299.9990234,661.839538574219,672.294921875,56.0240057443905,20.554368431396,22.529354,0,0,0,40,4449,300.1958,667.067230224609,,,,,,,,,,,,,0,,,,-0.0049,,,,,,299.9990234,,,,
,28451509.385,299.997406,769.251434326172,9.35399005401759E-7,4.20822154119799E-7,1,0.999253354069792,40.0298881530762,1.97470216686159,14.2700001597404,1.10455134966984E-5,-1.5402091593609E-6,0.25,-2.99742992807472E-7,9.35570046764697E-7,-2.99113455307648E-7,299.997406,299.997406,766.92333984375,771.579528808594,56.6219515616021,20.5559375355446,22.529354,0,0,0,40,4449,300.1964,769.251434326172,,,,,,,,,,,,,0,,,,0.0049,,,,,,299.997406,,,,
,28451511.265,299.9989014,863.8828125,1.3030922414692E-6,3.71143968420159E-7,1,0.999253354069792,40.0298881530762,1.97466221509034,14.2700001597404,1.59040712527886E-5,-5.12960266206127E-6,0.25,-6.84305892097033E-7,1.30350741872676E-6,-6.83420926690287E-7,299.9989014,299.9989014,856.429504394531,871.336120605469,56.3171164391021,20.5577815586324,22.529354,0,0,0,40,4449,300.19625,863.8828125,,,,,,,,,,,,,0,,,,0,,,,,,299.9989014,,,,
,28451514.055,299.9971924,1004.14370727539,5.69761439633702E-7,3.68400589120813E-7,1,0.999253354069792,40.0298881530762,1.97469697271758,14.2700001597404,7.13341527684804E-6,-3.27852695899103E-6,0.25,-3.91777460329701E-7,5.70004420301167E-7,-3.91387793969123E-7,299.9971924,299.9971924,996.764038085938,1011.52337646484,56.4734421429483,20.5592688671669,23.288654,0,0,0,40,4449,300.1984,1004.14370727539,,,,,,,,,,,,,0,,,,-0.0049,,,,,,299.9971924,,,,
,28451515.885,299.9971924,1093.62457275391,1.13894042603804E-6,3.42865465522196E-7,1,0.999253354069792,40.0298881530762,1.97469570854448,14.2700001597404,1.3766650074622E-5,-3.70896094463257E-6,0.25,-5.28869219194481E-7,1.13925742734971E-6,-5.28097859506951E-7,299.9971924,299.9971924,1086.26684570312,1100.98229980469,56.3663590358137,20.5583831043891,22.909004,0,0,0,40,4449,300.19945,1093.62457275391,,,,,,,,,,,,,0,,,,0,,,,,,299.9971924,,,,
,28451518.18,299.998291,1210.58978271484,5.0085673186123E-7,3.40364000964424E-7,1,0.999253354069792,40.0298881530762,1.97464808069797,14.2700001597404,6.87680682197936E-6,-6.38091181226021E-6,0.25,-6.57168127139103E-7,5.01277809506958E-7,-6.56816264047811E-7,299.998291,299.998291,1200.29406738281,1220.88549804688,56.4609360866406,20.5570229040828,22.909004,0,0,0,40,4449,300.19785,1210.58978271484,,,,,,,,,,,,,0,,,,0.0049,,,,,,299.998291,,,,
,28451520.225,299.9984741,1310.29699707031,4.48483597695566E-7,3.63741800701307E-7,1,0.999253354069792,40.0298881530762,1.97467621104514,14.2700001597404,6.20659657010244E-6,-5.99537761607785E-6,0.25,-6.13623752640701E-7,4.48877334763556E-7,-6.13307936250237E-7,299.9984741,299.9984741,1305.81896972656,1314.77502441406,56.5390989385637,20.5589924004385,23.288654,0,0,0,40,4449,300.2004,1310.29699707031,,,,,,,,,,,,,0,,,,0,,,,,,299.9984741,,,,
,28451522.295,299.9978638,1412.59588623047,-1.80122150773707E-7,3.32044413967693E-7,1,0.999253354069792,40.0298881530762,1.97468784629286,14.2700001597404,-1.54518846118233E-6,-3.06103525270221E-6,0.25,-2.42412678775962E-7,-1.79955968367134E-7,-2.42524959650774E-7,299.9978638,299.9978638,1400.10559082031,1425.08618164062,56.1357786226406,20.5583264374765,23.288654,0,0,0,40,4449,300.20195,1412.59588623047,,,,,,,,,,,,,0,,,,-0.00245,,,,,,299.9978638,,,,
,28451524.4,299.99823,1519.78668212891,-8.85205863082712E-8,3.93265178752755E-7,1,0.999253354069792,40.0298881530762,1.97469956876779,14.2700001597404,4.18042602653566E-8,-6.12853902268592E-6,0.25,-5.32479322664412E-7,-8.81646985605609E-8,-5.32522192107484E-7,299.9978638,299.9985962,1514.54833984375,1525.02502441406,56.2436433582944,20.5597060768957,22.909004,0,0,0,40,4449,300.20215,1519.78668212891,,,,,,,,,,,,,0,,,,0,,,,,,299.99823,,,,
