[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28178276.33,11/23/2018,11:18 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,dispersion in ampulle,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28178292.27,150.3271637,0.0456713177263737,,,2,,,,27.6000001829863,,,,,,,150.3271637,150.3271637,0.0456713177263737,0.0456713177263737,,,24.427608,,,,-99999999,4369,150.1817,0.0456713177263737,,,,,,,,,,,,,,,,,,,,,,,150.3271637,,,,
sample offset = 29.8 mm touchdown = 16.2300001829863 mm,28178334.1,150.2907257,0.121790185570717,0.00384044296056679,6.1720938342774E-7,1,0.999253354069792,40.0298881530762,1.99566159896593,27.5800004601479,0.0435910731514552,0.00771555232570363,2.5,1.0350896559486E-5,0.00385920581509676,1.65584566607003E-5,150.2907257,150.2907257,0.106566414237022,0.137013956904411,55.9458428924675,20.4742741093127,24.427608,0,0,0,40,4417,150.07815,0.121790185570717,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.2907257,,,,
,28178352.545,150.2723236,45.3857250213623,0.0038775750834852,3.02171237450715E-6,1,0.999253354069792,40.0298881530762,1.99339584086797,27.5899991393089,0.0439662495343278,0.00777373567099137,2.5,9.74587684445574E-6,0.00389652205585707,1.60119645463216E-5,150.2723236,150.2723236,43.4454002380371,47.3260498046875,56.5453519667175,20.5142140916778,24.807261,0,0,0,40,4449,150.04535,45.3857250213623,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2723236,,,,
,28178354.68,150.2691345,145.068054199219,0.00403604433400751,4.01913779216505E-6,1,0.999253354069792,40.0298881530762,1.99402077128199,27.5899991393089,0.0457755037449475,0.00810110795429681,2.5,1.07830698649445E-5,0.00405576492197498,1.73085895151194E-5,150.2691345,150.2691345,137.322799682617,152.81330871582,56.5594212800637,20.5047489991915,24.047956,0,0,0,40,4449,150.03985,145.068054199219,,,,,,,,,,,,,0,,,,0.00245,,,,,,150.2691345,,,,
,28178356.86,150.2673798,254.819534301758,0.0042179635495119,4.3256436113874E-6,1,0.999253354069792,40.0298881530762,1.99398949022686,27.5899991393089,0.0478398572165186,0.00845580168440322,2.5,1.03589644026831E-5,0.00423857466786708,1.71742366687427E-5,150.2673798,150.2673798,242.503784179687,267.135284423828,56.4781319140637,20.5049662903774,24.427608,0,0,0,40,4449,150.0362,254.819534301758,,,,,,,,,,,,,0,,,,0,,,,,,150.2673798,,,,
,28178358.775,150.2673798,349.384384155273,0.00440611326560754,4.50503308074237E-6,1,0.999253354069792,40.0298881530762,1.99433621329414,27.5899991393089,0.0499805581387514,0.00884349728807842,2.5,1.16179427304741E-5,0.0044276425070114,1.8741093831272E-5,150.2673798,150.2673798,346.846405029297,351.92236328125,56.9369478548522,20.4968717504981,24.807261,0,0,0,40,4449,150.0342,349.384384155273,,,,,,,,,,,,,0,,,,0,,,,,,150.2673798,,,,
,28178360.745,150.2642059,446.80810546875,0.00459670013627699,4.47774278567005E-6,1,0.999253354069792,40.0298881530762,1.99397409916335,27.5800004601479,0.0521316331885455,0.00923478907553376,2.5,1.30337257130503E-5,0.00461915954518467,2.04695844170524E-5,150.2642059,150.2642059,436.677398681641,456.938812255859,56.5023623981598,20.5059252849389,23.668306,0,0,0,40,4449,150.02985,446.80810546875,,,,,,,,,,,,,0,,,,0,,,,,,150.2642059,,,,
,28178362.65,150.2609406,541.667144775391,0.00478847239730935,4.45168443176582E-6,1,0.999253354069792,40.0298881530762,1.99405924136574,27.5899991393089,0.0543082904461368,0.00962314837698006,2.5,1.38149723217298E-5,0.00481186885692098,2.15622393204593E-5,150.2609406,150.2609406,536.702941894531,546.63134765625,56.221757759756,20.5108231857673,24.047956,0,0,0,40,4449,150.0269,541.667144775391,,,,,,,,,,,,,0,,,,0,,,,,,150.2609406,,,,
,28178364.61,150.2570648,641.3515625,0.004981255242982,4.60172652528786E-6,1,0.999253354069792,40.0298881530762,1.99512225389225,27.5800004601479,0.0565255375103065,0.0100038829458108,2.5,1.33328193281978E-5,0.00500559581001066,2.13870842226663E-5,150.2570648,150.2570648,636.42626953125,646.27685546875,56.7087123272368,20.4991236682054,24.427608,0,0,0,40,4449,150.02185,641.3515625,,,,,,,,,,,,,0,,,,-0.00245,,,,,,150.2570648,,,,
,28178366.695,150.2553406,743.605285644531,0.00517193224499051,4.1955437450572E-6,1,0.999253354069792,40.0298881530762,1.99322246416186,27.5899991393089,0.0586321916705239,0.0103988220485775,2.5,1.57335748962901E-5,0.00519720175044944,2.41054449724025E-5,150.2553406,150.2553406,736.24658203125,750.963989257812,56.3796467206406,20.5262853406833,24.807261,0,0,0,40,4449,150.0182,743.605285644531,,,,,,,,,,,,,0,,,,-0.0049,,,,,,150.2553406,,,,
