[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,26826978.16,11/07/2018,7:56 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4 DD67,SAMPLE_MATERIAL
INFO,Colloidal Crystal,SAMPLE_COMMENT
INFO,31.86,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,26826993.06,100.1873932,-0.106566414237022,,,2,,,,20.1499998667836,,,,,,,100.1873932,100.1873932,-0.106566414237022,-0.106566414237022,,,19.871798,,,,-99999999,4369,100.0267,-0.106566414237022,,,,,,,,,,,,,,,,,,,,,,,100.1873932,,,,
sample offset = 36.23 mm touchdown = 15.2099998667836 mm,26827049.84,100.1461487,-0.0837307535111904,0.000600046195502713,3.49368226051808E-7,1,0.999253354069792,40.0298881530762,1.99730590302325,20.1399996876717,0.00681793332548003,0.00122052213202498,0.25,1.89124950947914E-6,0.000603413287208264,3.76934282213265E-6,100.1461487,100.1461487,-0.106566414237022,-0.0608950927853584,56.0068099169675,20.5735987972084,20.251448,0,0,0,40,4417,99.9658,-0.0837307535111904,,,,,,,,,,,,,0,,,,0,,,,,,100.1461487,,,,
,26827076.465,100.1230469,40.9928970336914,0.000602270517490759,3.36277690709132E-7,1,0.999253354069792,40.0298881530762,1.9975032539371,20.1399996876717,0.00684376943192914,0.00122563374388994,0.25,1.93915352225479E-6,0.000605649976778084,3.82503463760202E-6,100.1230469,100.1230469,35.1517639160156,46.8340301513672,56.2123782175252,20.5854171539064,20.631098,0,0,0,40,4449,99.94715,40.9928970336914,,,,,,,,,,,,,0,,,,0,,,,,,100.1230469,,,,
,26827080.455,100.1197662,139.978630065918,0.000614008352789411,4.03411643761958E-7,1,0.999253354069792,40.0298881530762,1.99744090310116,20.1399996876717,0.00697701451684509,0.00124907319874865,0.25,1.94087803358893E-6,0.000617453833421572,3.86330295188001E-6,100.1197662,100.1197662,133.776092529297,146.181167602539,56.3882446343521,20.5888631537294,20.251448,0,0,0,40,4449,99.9451,139.978630065918,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.1197662,,,,
,26827084.31,100.1178284,236.234039306641,0.000626354986651019,3.18757631260408E-7,1,0.999253354069792,40.0298881530762,1.99742126446337,20.1399996876717,0.00711682177410877,0.00127657922415413,0.25,2.19115533913318E-6,0.000629869139875383,4.15337636160679E-6,100.1178284,100.1178284,228.658737182617,243.809341430664,56.3765202065637,20.5862840412047,20.631098,0,0,0,40,4449,99.9439,236.234039306641,,,,,,,,,,,,,0,,,,0,,,,,,100.1178284,,,,
,26827087.87,100.1146011,324.620910644531,0.000635893391747319,3.7816325592951E-7,1,0.999253354069792,40.0298881530762,1.99738309856095,20.1399996876717,0.00722544225199689,0.00129387043993555,0.25,2.03758400861026E-6,0.000639461694241731,4.02861542147377E-6,100.1146011,100.1146011,318.371124267578,330.870697021484,56.1295255944867,20.5885235074703,20.631098,0,0,0,40,4449,99.9419,324.620910644531,,,,,,,,,,,,,0,,,,0,,,,,,100.1146011,,,,
,26827091.54,100.1125412,416.781555175781,0.000648022109297414,3.74569181759494E-7,1,0.999253354069792,40.0298881530762,1.99740143275838,20.1399996876717,0.00736324897185739,0.00131897461677682,0.25,2.11287662655488E-6,0.000651658397049706,4.14206562483722E-6,100.1125412,100.1125412,415.439910888672,418.123199462891,56.0802829977752,20.5889122296657,20.631098,0,0,0,40,4449,99.9397,416.781555175781,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.1125412,,,,
,26827095.45,100.1099396,513.193618774414,0.000661317107900401,4.00165572130277E-7,1,0.999253354069792,40.0298881530762,1.99733550157957,20.1399996876717,0.00751375823726941,0.00134782032831575,0.25,2.31704622122424E-6,0.000665027567259691,4.38869915960309E-6,100.1099396,100.1099396,508.075164794922,518.312072753906,56.3577611221021,20.5899843564976,20.631098,0,0,0,40,4449,99.93855,513.193618774414,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.1099396,,,,
,26827099.44,100.10630795,613.183349609375,0.000673918810733623,3.81039340855077E-7,1,0.999253354069792,40.0298881530762,1.99743111881527,20.1399996876717,0.00765755256523245,0.00137205524304738,0.25,2.22829855634153E-6,0.000677700452467596,4.33865254761444E-6,100.1046371,100.1079788,608.140197753906,618.226501464844,56.198308904179,20.5910525218122,20.251448,0,0,0,40,4449,99.93595,613.183349609375,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.10630795,,,,
,26827103.08,100.1015244,705.482971191406,0.000686757042206004,3.7534206982222E-7,1,0.999253354069792,40.0298881530762,1.99741613408018,20.1399996876717,0.00780373034508478,0.00139616100763471,0.25,2.0929158182108E-6,0.000690611362510381,4.24243867912739E-6,100.1015244,100.1015244,698.054321289063,712.91162109375,56.3311857524483,20.5897236414582,20.631098,0,0,0,40,4449,99.93365,705.482971191406,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.1015244,,,,
,26827106.895,100.0996933,799.252655029297,0.000699906087693826,3.95157849233163E-7,1,0.999253354069792,40.0298881530762,1.99739490142777,20.1399996876717,0.00795251257179329,0.00142602272945421,0.25,2.40965986260908E-6,0.000703833420471786,4.60178678382997E-6,100.0996933,100.0996933,792.963806152344,805.54150390625,56.1818947052752,20.5911944370524,20.631098,0,0,0,40,4449,99.9331,799.252655029297,,,,,,,,,,,,,0,,,,0,,,,,,100.0996933,,,,
,26827111.165,100.0963669,906.612731933594,0.000713008713537164,4.10343933003556E-7,1,0.999253354069792,40.0298881530762,1.99736375736797,20.1399996876717,0.00810169026918688,0.00145029472670258,0.25,2.24346338266515E-6,0.000717010278507055,4.47543337103131E-6,100.0963669,100.0963669,900.330200195313,912.895263671875,56.2483331294098,20.592054287995,19.871798,0,0,0,40,4449,99.92935,906.612731933594,,,,,,,,,,,,,0,,,,0,,,,,,100.0963669,,,,
,26827114.49,100.0951309,990.236358642578,0.000722778874268454,3.92227755030192E-7,1,0.999253354069792,40.0298881530762,1.99735017666727,20.1399996876717,0.0082126997567344,0.00146989373890168,0.25,2.25109025478324E-6,0.000726835437291942,4.51335267687059E-6,100.0951309,100.0951309,985.334899902344,995.137817382813,56.5258112537367,20.5918243965902,20.631098,0,0,0,40,4449,99.9303,990.236358642578,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.0951309,,,,
,26827118.27,100.0923157,1083.73449707031,0.000736138240954652,3.84985376067684E-7,1,0.999253354069792,40.0298881530762,1.99734335686277,20.1399996876717,0.00836396455178499,0.00149994148244617,0.25,2.5464339165329E-6,0.000740269067376245,4.8518702405988E-6,100.0923157,100.0923157,1077.85388183594,1089.61511230469,56.0623055418329,20.592275987572,20.251448,0,0,0,40,4449,99.9284,1083.73449707031,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.0923157,,,,
,26827122.625,100.0904465,1192.14019775391,0.000749182322629111,3.80210020482456E-7,1,0.999253354069792,40.0298881530762,1.99731427257295,20.1399996876717,0.00851211630862664,0.00152614366777294,0.25,2.56052047681103E-6,0.000753386569954718,4.90642199077169E-6,100.0904465,100.0904465,1187.22570800781,1197.0546875,56.5172133400252,20.5947027951712,20.251448,0,0,0,40,4449,99.92935,1192.14019775391,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.0904465,,,,
,26827126.645,100.0881729,1293.27844238281,0.000762629831268381,3.58292998899518E-7,1,0.999253354069792,40.0298881530762,1.9973463595335,20.1399996876717,0.00866477073590753,0.00155508960736612,0.25,2.74106960315027E-6,0.000766909237034896,5.12967103705054E-6,100.0881729,100.0881729,1286.94934082031,1299.60754394531,56.1795498197175,20.5948482609139,20.251448,0,0,0,40,4449,99.9293,1293.27844238281,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.0881729,,,,
,26827130.45,100.08552935,1388.20532226562,0.00077659676474508,3.2230499357462E-7,1,0.999253354069792,40.0298881530762,1.9973034997191,20.1399996876717,0.00882422986748108,0.00157812726364317,0.25,2.31544114332196E-6,0.000780956096502649,4.74505067787825E-6,100.0846634,100.0863953,1382.06494140625,1394.345703125,56.5117419403906,20.5958052820266,19.871798,0,0,0,40,4449,99.92695,1388.20532226562,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.08552935,,,,
,26827134.085,100.08330535,1477.98547363281,0.000789480245683539,4.30164285299222E-7,1,0.999253354069792,40.0298881530762,1.99738658635722,20.1399996876717,0.0089705276784797,0.00160693173707066,0.25,2.5790677678676E-6,0.000793911250072443,5.05021352141436E-6,100.0819473,100.0846634,1469.32739257813,1486.6435546875,56.2647473283136,20.5943415891391,19.871798,0,0,0,40,4449,99.92415,1477.98547363281,,,,,,,,,,,,,0,,,,0,,,,,,100.08330535,,,,
,26827138.14,100.0804596,1578.9873046875,0.00080340546132381,3.69896372319565E-7,1,0.999253354069792,40.0298881530762,1.99732066971017,20.1399996876717,0.00912872528329765,0.00163375903682717,0.25,2.49582172715336E-6,0.00080791513765886,5.00968537497147E-6,100.0804596,100.0804596,1571.52600097656,1586.44860839844,56.6289862182752,20.5938009241741,20.631098,0,0,0,40,4449,99.9233,1578.9873046875,,,,,,,,,,,,,0,,,,-0.0049,,,,,,100.0804596,,,,
,26827141.965,100.0784531,1676.44360351562,0.00081675413021532,3.93990237613592E-7,1,0.999253354069792,40.0298881530762,1.99736646397549,20.1399996876717,0.00928081425878177,0.00165974346024918,0.25,2.43205725432725E-6,0.000821339127254509,4.98703200293589E-6,100.0784531,100.0784531,1671.451171875,1681.43603515625,56.218631245679,20.5973841513043,19.871798,0,0,0,40,4449,99.9207,1676.44360351562,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.0784531,,,,
,26827145.745,100.0762711,1769.82049560547,0.000827595968527778,3.90119612465996E-7,1,0.999253354069792,40.0298881530762,1.99735650393256,20.1399996876717,0.0094034227016105,0.00168486348582131,0.25,2.73677350430234E-6,0.000832241073699881,5.32707618576909E-6,100.0762711,100.0762711,1766.08325195313,1773.55773925781,56.7001144135252,20.5954768341086,20.251448,0,0,0,40,4449,99.9194,1769.82049560547,,,,,,,,,,,,,0,,,,0.0049,,,,,,100.0762711,,,,
,26827149.345,100.0735092,1859.95202636719,0.000840784973691648,3.56729180407167E-7,1,0.999253354069792,40.0298881530762,1.99735996630246,20.1399996876717,0.00955380025415516,0.00170885805032409,0.25,2.52902147915939E-6,0.00084550500116737,5.15905126801029E-6,100.0735092,100.0735092,1853.60583496094,1866.29821777344,56.4718788859098,20.5949828757669,20.631098,0,0,0,40,4449,99.9186,1859.95202636719,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.0735092,,,,
,26827152.845,100.0717773,1947.38226318359,0.00085077511691821,3.64016193789922E-7,1,0.999253354069792,40.0298881530762,1.99736188193527,20.1399996876717,0.00966723738035999,0.00172967770495211,0.25,2.60434833496236E-6,0.000855551173736735,5.26576094168823E-6,100.0717773,100.0717773,1943.63146972656,1951.13305664062,56.6516534453329,20.5954499122176,20.251448,0,0,0,40,4449,99.91745,1947.38226318359,,,,,,,,,,,,,0,,,,0,,,,,,100.0717773,,,,
,26827156.865,100.0690918,2048.46850585938,0.000868023312626807,3.9057032337277E-7,1,0.999253354069792,40.0298881530762,1.99736877889483,20.1399996876717,0.00986265407207739,0.00176819878028241,0.25,2.96063737801722E-6,0.000872895383906172,5.67753510644436E-6,100.0690918,100.0690918,2040.97436523438,2055.96264648438,56.6375841319868,20.5973372761037,20.251448,0,0,0,40,4449,99.9168,2048.46850585938,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.0690918,,,,
,26827160.96,100.0679855,2149.50610351562,0.000878674695819171,3.63668027115615E-7,1,0.999253354069792,40.0298881530762,1.99733691763915,20.1399996876717,0.00998371174167737,0.00178881675920088,0.25,2.90465613802086E-6,0.000883606977107299,5.65411915914182E-6,100.0679855,100.0679855,2145.72119140625,2153.291015625,56.4539014299675,20.595012142348,19.871798,0,0,0,40,4449,99.91765,2149.50610351562,,,,,,,,,,,,,0,,,,0,,,,,,100.0679855,,,,
,26827164.87,100.0658188,2247.86010742187,0.000895593986509715,3.75789891360442E-7,1,0.999253354069792,40.0298881530762,1.99728686248648,20.1399996876717,0.0101757411017366,0.00182304350820035,0.25,2.94537181476203E-6,0.000900621384815078,5.74757125495113E-6,100.0658188,100.0658188,2242.95776367187,2252.76245117187,56.2053435608521,20.5949726937063,19.871798,0,0,0,40,4449,99.91575,2247.86010742187,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.0658188,,,,
,26827169.235,100.0636749,2356.35925292969,0.000909732290181454,3.54346246315599E-7,1,0.999253354069792,40.0298881530762,1.99731996880945,20.1399996876717,0.0103363049151862,0.00185322444303775,0.25,3.11282058554798E-6,0.000914838852203047,5.95964843410643E-6,100.0636749,100.0636749,2355.24731445313,2357.47119140625,56.4648442292367,20.5960222861393,19.871798,0,0,0,40,4449,99.9167,2356.35925292969,,,,,,,,,,,,,0,,,,0,,,,,,100.0636749,,,,
,26827173.14,100.06124115,2452.38513183594,0.000923192019386859,4.06463093182351E-7,1,0.999253354069792,40.0298881530762,1.99736033003974,20.1399996876717,0.0104902472117441,0.00187607370987462,0.25,2.75399712664808E-6,0.000928375573548001,5.64038061559551E-6,100.0606232,100.0618591,2444.81982421875,2459.95043945313,56.5281561392944,20.5967507063557,20.631098,0,0,0,40,4449,99.91805,2452.38513183594,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.06124115,,,,
,26827177.04,100.0597992,2551.00573730469,0.000937282433797709,4.06459290165853E-7,1,0.999253354069792,40.0298881530762,1.99739837459963,20.1399996876717,0.0106508954676919,0.00190278468581598,0.25,2.62394373829827E-6,0.000942545719436955,5.55329905126189E-6,100.0589752,100.0606232,2547.27026367187,2554.7412109375,56.5289377678137,20.5963204871338,20.631098,0,0,0,40,4449,99.9158,2551.00573730469,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.0597992,,,,
,26827180.805,100.0579147,2644.4296875,0.000947748135656959,4.62166314739259E-7,1,0.999253354069792,40.0298881530762,1.99735694459822,20.1399996876717,0.0107685708933343,0.00192991244758125,0.25,3.17400009704579E-6,0.000953068662643522,6.13887809511295E-6,100.0579147,100.0579147,2636.99609375,2651.86328125,56.6336759893906,20.597231058085,20.251448,0,0,0,40,4449,99.91375,2644.4296875,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.0579147,,,,
,26827184.775,100.0561371,2743.38427734375,0.000961444009197231,4.07931352638863E-7,1,0.999253354069792,40.0298881530762,1.9973354355506,20.1399996876717,0.0109235895434005,0.00196054876886598,0.25,3.46339247830274E-6,0.00096684076026427,6.47235866348907E-6,100.0561371,100.0561371,2739.541015625,2747.2275390625,56.6047557341791,20.5977277991171,20.251448,0,0,0,40,4449,99.9116,2743.38427734375,,,,,,,,,,,,,0,,,,0.00245,,,,,,100.0561371,,,,
,26827188.5,100.0539398,2836.55798339844,0.000975031076867566,4.45949931863346E-7,1,0.999253354069792,40.0298881530762,1.99735161887055,20.1399996876717,0.0110786922763492,0.00198460370164601,0.25,3.1898978719579E-6,0.000980505190634941,6.23946778995319E-6,100.0539398,100.0539398,2829.13012695313,2843.98583984375,56.137341879679,20.5976702275429,20.631098,0,0,0,40,4449,99.90925,2836.55798339844,,,,,,,,,,,,,0,,,,0,,,,,,100.0539398,,,,
,26827192.805,100.0518799,2944.04077148438,0.000989773341151648,4.08813392165244E-7,1,0.999253354069792,40.0298881530762,1.99730725590759,20.1399996876717,0.0112458843911105,0.00201501823921656,0.25,3.27803216014218E-6,0.000995330287304921,6.37361987673105E-6,100.0518799,100.0518799,2939.0693359375,2949.01220703125,56.7180918694675,20.5967822066796,19.871798,0,0,0,40,4449,99.91005,2944.04077148438,,,,,,,,,,,,,0,,,,0,,,,,,100.0518799,,,,
,26827196.385,100.050087,3032.64172363281,0.00100354830438377,4.43190364086379E-7,1,0.999253354069792,40.0298881530762,1.99737492587272,20.1399996876717,0.0114023349434342,0.00204558734392571,0.25,3.54022223912579E-6,0.00100918207786476,6.67984018438502E-6,100.050087,100.050087,3026.40991210937,3038.87353515625,56.6766655579483,20.5987395620058,19.871798,0,0,0,40,4449,99.9108,3032.64172363281,,,,,,,,,,,,,0,,,,-0.00245,,,,,,100.050087,,,,
,26827200.125,100.0485306,3126.51782226562,0.00101759272595946,4.06655546244185E-7,1,0.999253354069792,40.0298881530762,1.99729309944658,20.1399996876717,0.0115614518743779,0.00207416611548936,0.25,3.59282874646367E-6,0.00102330547861827,6.77616028294884E-6,100.0485306,100.0485306,3119.05102539063,3133.98461914063,56.6837002146214,20.5975485708677,19.871798,0,0,0,40,4449,99.9107,3126.51782226562,,,,,,,,,,,,,0,,,,0.0049,,,,,,100.0485306,,,,
