# GRASP V.7.05    Instrument:  ILL_d33

# ***** Sample, Backgrounds and Transmissions Data: *****
# Subtitle:  PKM18 Vpol Col7.8 Det 8 RF+
# Start: 10-Sep-15   14:52:01   End: 10-Sep-15   15:12:01

# Foreground:  23571 , Loaded: 23570,23571
# Background:  23559 , Loaded: 23558+23559
# Cadmium: No Cadmium Subtraction
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1

# Beam Centre1 :  Cx = 127.9334  Cy = 65.436       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Transmissions:  Ts = 0.99252 +/- 0.0017167  Te = 0.8812 +/- 0.0014755
# Transmissions Thickness Correction is:  on
# Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 1 3
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.00489397	0.971184	0.191201	0.00148935
0.00548877	0.610789	0.141256	0.00149043
0.00554358	0.777485	0.292043	0.00149051
0.00614328	0.985136	0.126643	0.0014955
0.00678878	1.05187	0.119616	0.0015031
0.00743974	0.831022	0.0958395	0.00150821
0.00808862	0.881789	0.0853672	0.00151184
0.00873368	0.848938	0.0818368	0.00151455
0.00937887	0.761372	0.0790249	0.00152483
0.0100242	0.663317	0.0751727	0.00153323
0.0106695	0.806823	0.0758544	0.00153968
0.0113254	0.791265	0.0669275	0.00154486
0.0119692	0.763961	0.0641342	0.00155256
0.0126142	0.682867	0.0606862	0.00156421
0.0132594	0.616915	0.0577863	0.00157356
0.0139046	0.615954	0.0573867	0.00158124
0.0145553	0.590716	0.0529562	0.0015877
0.0152043	0.610684	0.0488688	0.00160078
0.0158493	0.532318	0.0468702	0.00161299
0.0164943	0.630533	0.047233	0.00162328
0.0171394	0.496396	0.0459202	0.00163206
0.0177846	0.467104	0.0450515	0.00164234
0.0184347	0.514383	0.0422776	0.00165745
0.019084	0.460779	0.0379319	0.00167039
0.0197289	0.428209	0.0369401	0.00168153
0.0203739	0.360136	0.035192	0.0016913
0.0210189	0.380659	0.0354446	0.00170655
0.0216639	0.316894	0.0343734	0.00172189
0.0222459	0.294248	0.0986072	0.00173412
0.0223236	0.297088	0.0345513	0.00173565
0.0228946	0.263968	0.0727636	0.00174627
0.0229795	0.231769	0.0331331	0.00174775
0.0235446	0.319882	0.060071	0.0017582
0.0236313	0.274684	0.0345784	0.00176073
0.0241901	0.210089	0.0516977	0.00177609
0.024276	0.250415	0.0336023	0.00177832
0.0248411	0.246342	0.0493672	0.0017921
0.0249277	0.295133	0.0358137	0.0017941
0.02549	0.231337	0.046568	0.00180635
0.0255755	0.215496	0.0338343	0.00180812
0.0261383	0.243824	0.0441387	0.00181915
0.0262307	0.218602	0.0310557	0.00182086
0.0267875	0.176812	0.0397808	0.00183574
0.0268776	0.260453	0.0332129	0.00183836
0.0274362	0.200761	0.0376428	0.00185379
0.0275246	0.200014	0.0318952	0.0018561
0.028092	0.110354	0.0313692	0.00187021
0.0281757	0.169057	0.034747	0.00187218
0.0287476	0.181213	0.0289123	0.00188504
0.0288321	0.1332	0.039797	0.00188685
0.0293973	0.166726	0.0270368	0.00189926
0.0294874	0.158295	0.0407068	0.00190215
0.0300515	0.118893	0.0244663	0.00191939
0.0301495	0.160183	0.0445728	0.00192224
0.030701	0.113088	0.0228329	0.0019375
0.0308038	0.166541	0.0495952	0.00194022
0.0313458	0.0769248	0.0213955	0.00195388
0.0314475	0.074175	0.0468538	0.00195633
0.0319958	0.109728	0.0212376	0.00196898
0.0321024	0.00990309	0.0538562	0.00197133
0.0326405	0.101477	0.0219819	0.00198725
0.0327459	0.169918	0.0620667	0.00199061
0.0332927	0.0914438	0.0201684	0.00200724
