#File generated by ModelExp v0.2.5
#Read datafile: ../023564_N.dat
#Read datafile: ../023567_N.dat
#Started Fit at 2018-07-12 17:59:07.590736
#Finished Fit at 2018-07-12 17:59:07.729329
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 22
#    # data points      = 204
#    # variables        = 5
#    chi-square         = 126.350365
#    reduced chi-square = 0.63492646
#    Akaike info crit   = -87.7284994
#    Bayesian info crit = -71.1378994
#[[Variables]]
#    r1:           34.96 (fixed)
#    r2:           11.6 (fixed)
#    d:            18.9600000 +/- 0.44977779 (2.37%) (init = 18.93)
#    sldCore:      6.941e-06 (fixed)
#    sldShell:     3.3752e-06 +/- 8.9807e-08 (2.66%) (init = 3.371464e-06)
#    sldSolvent:   5.664e-06 (fixed)
#    sigR1:        0.0942 (fixed)
#    sigR2:        0.2896 (fixed)
#    sigD:         0 (fixed)
#    i0:           1.10000000 +/- 0.04393176 (3.99%) (init = 1.09)
#    fraction:     0.3079 (fixed)
#    bg:           0 (fixed)
#    dTheta_sa:    0.00409600 +/- 3.0115e-04 (7.35%) (init = 0.004087)
#    wavelength:   5.9984 (fixed)
#    dWavelength:  0.04247 (fixed)
#    dTheta_la:    0.00686980 +/- 1.4160e-04 (2.06%) (init = 0.00686812)
#[[Correlations]] (unreported correlations are < 0.100)
#    C(d, sldShell)          =  0.917
#    C(sldShell, i0)         =  0.596
#    C(sldShell, dTheta_sa)  =  0.514
#    C(d, dTheta_sa)         =  0.469
#    C(sldShell, dTheta_la)  =  0.469
#    C(d, dTheta_la)         =  0.436
#    C(dTheta_sa, dTheta_la) =  0.341
#    C(i0, dTheta_sa)        =  0.273
#    C(d, i0)                =  0.233
#    C(i0, dTheta_la)        =  0.206

#[[Data]] sa
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0100166	0.563066	0.0881007	0.5471916259486306
0.0103393	0.628823	0.0885811	0.5434278666884924
0.0106738	0.569545	0.0715106	0.5395037090049346
0.0109963	0.489567	0.0700315	0.5356904303346907
0.0113187	0.556308	0.0691792	0.5318523346711327
0.0116483	0.606767	0.059995	0.5279037438410995
0.0119706	0.602242	0.062201	0.5240133848679805
0.0122929	0.512287	0.0583885	0.5200962070768315
0.0126153	0.506397	0.0570615	0.5161507917468185
0.0129377	0.528743	0.0582499	0.5121781486257382
0.0132601	0.556351	0.0584341	0.5081781400432243
0.0135825	0.526379	0.058503	0.5041506694062934
0.013905	0.581671	0.0579203	0.5000944540851354
0.0142274	0.462135	0.0568977	0.49601193093316914
0.0145499	0.429619	0.0552756	0.49189963279942966
0.0148724	0.479621	0.0541726	0.48776001494684806
0.0151949	0.519987	0.0535698	0.48359402900881665
0.0155174	0.431914	0.0523235	0.4794009032241905
0.0158399	0.432675	0.052244	0.47518084252755777
0.0161625	0.488515	0.0529147	0.4709328104258553
0.016485	0.528221	0.0530378	0.4666596681986057
0.0168076	0.481746	0.0519266	0.46240374629665604
0.0171302	0.448009	0.0488034	0.4580778118402812
0.0174527	0.456572	0.0496174	0.45372795607232436
0.0177753	0.473817	0.0507737	0.4493520221491855
0.0181087	0.450977	0.0452863	0.4447473450555748
0.0184311	0.437241	0.0438502	0.44032545164297965
0.0187535	0.504606	0.044497	0.43588052636322444
0.0190839	0.499456	0.0402668	0.43130458800751525
0.0194062	0.471876	0.039816	0.4268164080543885
0.0197285	0.441095	0.0392501	0.42230727409729313
0.0200508	0.425905	0.0405905	0.41777794357355363
0.0203732	0.434257	0.0403283	0.41322782621976817
0.0206955	0.423726	0.0388854	0.40866050763967987
0.0210179	0.447821	0.0384572	0.4040740748947842
0.0213403	0.407109	0.0389683	0.39947079885816916
0.0216626	0.409405	0.0377814	0.39485299906467525
0.021985	0.421987	0.0373817	0.39021881562285055
0.0223074	0.337838	0.0367699	0.38557061347525295
0.0226298	0.378227	0.0372319	0.3809093809653961
0.0229522	0.412725	0.0367578	0.37623612628566305
0.0232746	0.39736	0.037173	0.37155187529502653
0.0236367	0.372701	0.0333043	0.3662917883872751
0.0239732	0.403799	0.0360648	0.36138632843080953
0.0242957	0.37219	0.0362789	0.35667278990760815
0.0246366	0.35921	0.0345137	0.35168916086267527
0.024984	0.291644	0.0319721	0.3465561040169335
0.0253167	0.325673	0.0344783	0.3416790577507218
0.0256341	0.384589	0.032788	0.3370688550726659
0.0259564	0.291588	0.0320474	0.33239603897667636
0.0262788	0.305757	0.0316402	0.3277268542221566
0.0266334	0.339874	0.0274012	0.322552645563711
0.0269906	0.322509	0.0293698	0.317403026190424
0.027323	0.335144	0.0300359	0.31261840696529936
0.027663	0.33474	0.0278709	0.3077387118593878
0.0280077	0.329632	0.0291629	0.3028077860802881
0.02833	0.288943	0.0285056	0.29820964717590065
0.0286522	0.295553	0.0286701	0.2936299341006891
0.0289745	0.26277	0.0281906	0.28906750496446737
0.029313	0.271159	0.02662	0.28430048699458704
0.0296716	0.273447	0.0262374	0.2792803585154364
0.0300218	0.246092	0.0275666	0.2744051752755107
0.030344	0.280979	0.0278507	0.26994222609203766
0.0306663	0.272893	0.027923	0.2655053186566264
0.0309885	0.254319	0.0279373	0.26109880331737306
0.0313108	0.252227	0.027227	0.25672159439770875
0.0316331	0.233908	0.0266818	0.2523766415458291
0.0319615	0.265348	0.0254982	0.24798533752177498
0.032303	0.234922	0.0249621	0.24346015926198422
0.0326401	0.230095	0.0262516	0.23903330572650075
0.0329665	0.224634	0.0253391	0.23478532437012914
0.0332768	0.253647	0.024162	0.23078203707807302
0.033599	0.236763	0.0244353	0.22666799366325066
0.0339255	0.236056	0.023687	0.22254334707189843
0.0342375	0.227343	0.0234189	0.21864142270709602
0.0345655	0.212277	0.0225135	0.21458813052208903
0.0349032	0.230868	0.0223259	0.21046699544317657
0.035236	0.203544	0.02262	0.20645593970723625
0.0355581	0.222178	0.0220034	0.2026213731894564
0.0358802	0.213057	0.0220611	0.198836465357697
0.0362023	0.202947	0.0230276	0.19510215780767218
0.0365244	0.206534	0.0224065	0.19141932557809035
0.0368465	0.147904	0.0213625	0.1877864977763356
0.0371686	0.180113	0.0215919	0.1842688155848583
0.0374907	0.174212	0.0214777	0.18074548015628317
0.0378127	0.176529	0.0215344	0.17727753572750637
0.0381348	0.16909	0.0215157	0.17386208108363255
0.0384569	0.178935	0.0209958	0.17050324984627646
0.038779	0.181749	0.0205347	0.16720012168355605
0.0391011	0.169769	0.0203866	0.16395299238816174
0.0394232	0.170187	0.0205446	0.1607621223259346
0.0397453	0.14618	0.0204756	0.15762768256582702
0.0400674	0.167971	0.0213053	0.154549774230988
0.0403994	0.134044	0.0196675	0.15143831704406352
0.0407214	0.149702	0.0195202	0.1484761440893508
0.0410434	0.137644	0.0192851	0.14557034313913805

#[[Data]] la
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.0166861	0.4869	0.0152795	0.47439831784239106
0.0185209	0.434354	0.0211721	0.4477718127050441
0.0197446	0.409085	0.0208002	0.429959176207398
0.0209685	0.416671	0.0204087	0.41258338371082964
0.0221925	0.388476	0.0200826	0.39504520685187683
0.0233351	0.371485	0.0142946	0.3787781494431856
0.0245595	0.354774	0.0146206	0.3618763321413735
0.0257838	0.342904	0.0142289	0.34487181179259274
0.0270083	0.33098	0.0141093	0.3280882034850231
0.0282328	0.312821	0.0137067	0.31188966643731975
0.0294573	0.305841	0.0135819	0.29567057952151754
0.0306818	0.257992	0.0129191	0.27976086713123166
0.0319062	0.250254	0.0127456	0.26452573212609876
0.0331307	0.240046	0.0126071	0.2493566339347032
0.0343551	0.227425	0.0126248	0.2348786479632656
0.0359604	0.216867	0.0100092	0.2162985830605669
0.0374159	0.188968	0.0116607	0.20011376993031704
0.0388713	0.179943	0.00953792	0.18462791169927686
0.0404868	0.15392	0.0098768	0.16834044277441781
0.0415933	0.155658	0.00841397	0.15791034065654064
0.0429662	0.148638	0.00877808	0.14535077644334285
0.0442158	0.132225	0.00743072	0.1345184214969951
0.0454377	0.115816	0.00732381	0.12478336951155941
0.0466595	0.111857	0.00718188	0.11538132622207334
0.0478813	0.106996	0.00719664	0.10656643432740585
0.049103	0.10291	0.00714761	0.0986093740175445
0.0503247	0.0937907	0.00706321	0.09099358574367056
0.0515464	0.0897179	0.00688319	0.08395710867212292
0.0527679	0.079064	0.0067657	0.07774921946184152
0.0539894	0.0714627	0.00668351	0.07186618955234589
0.0552108	0.0615186	0.00649187	0.0665275712075696
0.056432	0.0581065	0.00637608	0.0619589175955856
0.0578709	0.0566504	0.00567796	0.05700482032131004
0.0593565	0.0476469	0.00556545	0.052604652453007404
0.0608342	0.0453657	0.00545945	0.04889754159315302
0.0622789	0.0467517	0.00589703	0.04607076015787784
0.0636369	0.0457983	0.00583286	0.043717471615537185
0.0649774	0.0395693	0.00610404	0.04176814128497264
0.0661976	0.0344476	0.0060058	0.040444708232643733
0.0674177	0.0422551	0.006003	0.03942674354953734
0.0686782	0.0460003	0.00542213	0.03865013249334456
0.0698972	0.0397002	0.00536685	0.03813486924394105
0.071116	0.0373487	0.0053575	0.03791976849682378
0.0723648	0.034189	0.00486955	0.037782496298974115
0.0735828	0.036871	0.00483684	0.03779570277949375
0.0748006	0.0401637	0.00483693	0.03792880477169457
0.0760183	0.0427061	0.00478526	0.038156738493984835
0.0772357	0.0434838	0.00474587	0.038466269493744425
0.078601	0.0434092	0.004433	0.03886423847949578
0.080003	0.038503	0.0044466	0.03930306385576838
0.0813539	0.0411201	0.00465689	0.03969941231774143
0.0827956	0.0369197	0.00415352	0.040119381892791475
0.0842611	0.0397703	0.00458547	0.04049416617659276
0.0856073	0.0436566	0.0044366	0.04076435681780686
0.0869686	0.0364269	0.00474815	0.040967408385034466
0.0881842	0.0449121	0.0047781	0.041060243093634145
0.0893996	0.0378996	0.00479507	0.04107222502135221
0.0906148	0.0350585	0.00469063	0.04099534251607487
0.0918298	0.0389286	0.00468979	0.040825271087853963
0.0930445	0.0311558	0.004671	0.04055941369466113
0.0942589	0.0345275	0.00462094	0.04019732587641158
0.0954731	0.0338055	0.00466887	0.03974106162842237
0.096726	0.0341555	0.00431322	0.03917388505156748
0.0979392	0.031284	0.00425388	0.03853246689961549
0.099279	0.0316786	0.00401301	0.03772564271044656
0.100647	0.0321864	0.00380667	0.036801696751665315
0.102082	0.0364679	0.00356953	0.0357325659373363
0.103493	0.0340556	0.00375678	0.03459250550955187
0.104902	0.0396853	0.00356105	0.03336711145492933
0.106302	0.0330884	0.00390898	0.032094261265211796
0.10756	0.0315629	0.0036991	0.030899341161677217
0.108874	0.0281434	0.00386795	0.02962431589977263
0.110085	0.0280824	0.00388109	0.028426973062542323
0.111294	0.0216316	0.00386137	0.02721790798979554
0.112504	0.0242186	0.00387008	0.025996267684884604
0.113713	0.0247106	0.00396818	0.024783070695628275
0.114922	0.020893	0.00386338	0.02357889957292661
0.11613	0.0247261	0.00386578	0.02238751059350044
0.117338	0.021247	0.00374895	0.021222512389832988
0.118752	0.0175434	0.00338118	0.019896000881596248
0.120227	0.0160996	0.00342366	0.018560421145945655
0.121633	0.0162366	0.00354853	0.017345604283429024
0.123032	0.0190521	0.00337164	0.01619521288955791
0.12443	0.0184609	0.00376636	0.015112970504720342
0.125625	0.015842	0.00321848	0.014239256735901425
0.126962	0.00976734	0.00347697	0.013326174783166242
0.128225	0.0109008	0.00325087	0.012525352387980066
0.12947	0.0151943	0.00331514	0.011794661811006418
0.130674	0.0145396	0.00332915	0.011144458049114082
0.131877	0.0110451	0.00330286	0.010565998894245246
0.13308	0.00921356	0.00327411	0.010029874450392905
0.134283	0.0117176	0.00325201	0.009548831634584054
0.135571	0.0113136	0.00302283	0.009094714935552273
0.136887	0.0159776	0.00310967	0.00869217402610748
0.138331	0.00975517	0.00284005	0.008321308531314221
0.139794	0.00801092	0.00293321	0.008001464806826397
0.141131	0.00517079	0.00321401	0.007777308364051594
0.142418	0.00748362	0.00296482	0.007609691239268909
0.143811	0.0130171	0.00308956	0.007480939991265037
0.145089	0.00731259	0.00325439	0.007403135145837965
0.146288	0.00662047	0.00329212	0.007375617937270002
0.147486	0.00594783	0.00324258	0.007367345468349445
0.148684	0.00912301	0.00318629	0.0073847851049302455
0.149882	0.00765588	0.003211	0.007427238091430325
0.151079	0.009078	0.00318901	0.007495427559496946
0.152458	0.00873561	0.00278347	0.0075989838580153134
0.153795	0.00662733	0.00290837	0.007722695163984688
0.154785	0.00687123	0.00353638	0.007835272793929855
