# GRASP V.7.05    Instrument:  ILL_d33

# ***** Sample, Backgrounds and Transmissions Data: *****
# Subtitle:  KWI338 Vpol Col5.3 Det 2 RF+
# Start: 10-Sep-15   14:02:06   End: 10-Sep-15   14:12:06

# Foreground:  23568 , Loaded: 23567,23568
# Background:  23562 , Loaded: 23561+23562
# Cadmium: No Cadmium Subtraction
# Det: 1 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 2 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 3 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 4 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Det: 5 : Applying Deadtime Correction per (horizontal) Tube: 1/[1-tau/detector_rate], tau = 1.5e-06 (seconds)
# Data Normalisation: Exposure Time (1) seconds
# Attenuator: 0 is In.  Attenuation factor 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator: 0 is In. Up-scaling data by 1
# Attenuator2: is Out
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1
# Attenuator2: Up-scaling data by 1

# Beam Centre1 :  Cx = 127.9334  Cy = 65.436       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre2 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre3 :  Cx = 16.5  Cy = 128.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre4 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Beam Centre5 :  Cx = 128.5  Cy = 16.5       Cm Translation :  Tx = 0  Ty = 0 [mm]
# Transmissions:  Ts = 0.99488 +/- 0.0017198  Te = 0.8812 +/- 0.0014755
# Transmissions Thickness Correction is:  on
# Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd]

# ***** Calibrations: *****
# Data: Corrected for D33 Detector Paralax
# Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction)
# Data: Divided by Volume 0.1 cm3
# Solid Angle Correction:
# Divide data by empty beam flux, I0, from worksheet: Trans Empty Beam 2 3
# Applying Default Instrument Mask
# Applying User Defined Mask
# Applying NanInf Mask
# Intensity units are:  cm-1 \\ \Delta\Omega

# ***** Analysis *****
# Averaging I vs. Q.  Bin size:  1 [Pixel(s)]


# Mod_Q   	I       	Err_I   	Sigma_Q


0.0185854	0.429795	0.0231075	0.00283347
0.0208783	0.388731	0.0158363	0.00285707
0.0233283	0.361651	0.015816	0.00289183
0.0257785	0.312279	0.0147848	0.00292032
0.0282492	0.279157	0.0122783	0.00296393
0.0307116	0.249701	0.0106178	0.00300104
0.0331592	0.233873	0.0102423	0.0030465
0.0356069	0.194427	0.00971723	0.00309191
0.037898	0.178601	0.0128727	0.00313603
0.0382111	0.173544	0.01314	0.00314122
0.0403455	0.135141	0.012117	0.00318821
0.0406586	0.144156	0.0129484	0.00319516
0.0429456	0.113557	0.00811623	0.00323968
0.0432277	0.135857	0.0199128	0.00324541
0.0454294	0.106483	0.00700815	0.00330045
0.0478743	0.0986479	0.00686124	0.00335391
0.050319	0.0794862	0.00654546	0.00341583
0.0527633	0.0725577	0.00642684	0.00347593
0.055228	0.0686785	0.00615012	0.00353842
0.0576853	0.0573222	0.00545007	0.00360493
0.0599124	0.0423302	0.00995778	0.00366189
0.0602093	0.0440989	0.0061451	0.00366881
0.0624118	0.0411121	0.00741148	0.00373397
0.0627241	0.0442172	0.00745897	0.00374262
0.0649448	0.0446983	0.00583001	0.00380126
0.0652316	0.0447624	0.010855	0.00381057
0.0674485	0.0388386	0.00522966	0.00389411
0.0699067	0.0473297	0.00492641	0.00403603
0.0723609	0.0338916	0.00462771	0.00417772
0.0747977	0.0422802	0.00460111	0.00419073
0.0772338	0.045408	0.00460723	0.00415152
0.0796692	0.0367625	0.00454412	0.00428243
0.0819065	0.0320495	0.0075667	0.00440269
0.0822165	0.0460463	0.00570822	0.00441935
0.0843818	0.0460984	0.00639674	0.00453574
0.0847033	0.042897	0.00592253	0.00455303
0.0869506	0.0442525	0.00467053	0.00453717
0.087301	0.0408005	0.0108315	0.00455545
0.0894217	0.0432446	0.00426888	0.0045212
0.0897803	0.05505	0.0217463	0.00453933
0.0918655	0.0404579	0.00416569	0.00464476
0.0942946	0.0427849	0.00417175	0.00476758
0.0967228	0.0452929	0.00410099	0.00489034
0.0991847	0.0391102	0.00378334	0.00501482
0.101347	0.0341552	0.00800101	0.00509629
0.10169	0.0329859	0.00427093	0.0051135
0.103846	0.0327702	0.00555593	0.00507662
0.104178	0.0375606	0.0048534	0.00509287
0.106387	0.034737	0.00414225	0.00520085
0.106737	0.0299002	0.00796428	0.00506424
0.108853	0.0280237	0.00372321	0.00516463
0.109239	0.0287455	0.0138281	0.00518297
0.111318	0.0351922	0.00353534	0.00528157
0.113753	0.023432	0.00335889	0.00539714
0.116171	0.0238306	0.00330316	0.00551183
0.118587	0.0255615	0.0032553	0.00562647
0.120752	0.0174421	0.00604473	0.0057292
0.121106	0.0197542	0.00380409	0.00574597
0.123262	0.0194672	0.00456789	0.00584831
0.123587	0.0251417	0.0046519	0.0058637
0.12577	0.0120999	0.00343264	0.00596729
