#Initialized GISAXS Reduction. Version 0.21
#Date: 02. February 2018 04:48PM
#Author: Dominique Dresen
#Contact: Dominique.Dresen@uni-koeln.de
#Extracted Yoneda between qz = 0.024 .. 0.029 A-1
#q/A-1	I/a.u.	sI/a.u.
-2.8317357642390344	1.8649489914537685e-08	1.3187180784239725e-08
-2.827113605865174	9.324744957268843e-09	9.324744957268843e-09
-2.8224913646009995	9.324744957268843e-09	9.324744957268843e-09
-2.8178690405800575	9.324744957268843e-09	9.324744957268843e-09
-2.813246633935908	9.324744957268843e-09	9.324744957268843e-09
-2.7762644223780972	1.8649489914537685e-08	1.3187180784239725e-08
-2.7716412781371553	9.324744957268843e-09	9.324744957268843e-09
-2.7439007103446853	9.324744957268843e-09	9.324744957268843e-09
-2.7254053870070702	9.324744957268843e-09	9.324744957268843e-09
-2.7161572451058595	9.324744957268843e-09	9.324744957268843e-09
-2.7069087844769886	9.324744957268843e-09	9.324744957268843e-09
-2.66991177610148	9.324744957268843e-09	9.324744957268843e-09
-2.582023912242897	9.324744957268843e-09	9.324744957268843e-09
-2.5588909416986185	9.324744957268843e-09	9.324744957268843e-09
-2.5496372266645846	9.324744957268843e-09	9.324744957268843e-09
-2.5450102567951918	9.324744957268843e-09	9.324744957268843e-09
-2.540383212203194	9.324744957268843e-09	9.324744957268843e-09
-2.535756093022839	1.8649489914537685e-08	1.3187180784239725e-08
-2.531128899388384	9.324744957268843e-09	9.324744957268843e-09
-2.521874289294263	9.324744957268843e-09	9.324744957268843e-09
-2.5172468731031685	9.324744957268843e-09	9.324744957268843e-09
-2.5126193829951173	9.324744957268843e-09	9.324744957268843e-09
-2.5079918191044204	9.324744957268843e-09	9.324744957268843e-09
-2.489480828401816	9.324744957268843e-09	9.324744957268843e-09
-2.4755968172400116	9.324744957268843e-09	9.324744957268843e-09
-2.461712151708457	9.324744957268843e-09	9.324744957268843e-09
-2.4570837850763727	1.8649489914537685e-08	1.3187180784239725e-08
-2.4524553462742307	1.8649489914537685e-08	1.3187180784239725e-08
-2.447826835436483	9.324744957268843e-09	9.324744957268843e-09
-2.4431982526975915	1.8649489914537685e-08	1.3187180784239725e-08
-2.438569598192028	9.324744957268843e-09	9.324744957268843e-09
-2.4246832054201914	9.324744957268843e-09	9.324744957268843e-09
-2.4154252538714087	9.324744957268843e-09	9.324744957268843e-09
-2.4107961715903246	1.8649489914537685e-08	1.3187180784239725e-08
-2.396908500334878	9.324744957268843e-09	9.324744957268843e-09
-2.3922791355608846	9.324744957268843e-09	9.324744957268843e-09
-2.3830201952871386	9.324744957268843e-09	9.324744957268843e-09
-2.3783906200565905	2.797423487180653e-08	1.6150932033611315e-08
-2.373760974943079	1.8649489914537685e-08	1.3187180784239725e-08
-2.369131260081232	9.324744957268843e-09	9.324744957268843e-09
-2.345981644259659	9.324744957268843e-09	9.324744957268843e-09
-2.32746070986817	9.324744957268843e-09	9.324744957268843e-09
-2.313569290387366	9.324744957268843e-09	9.324744957268843e-09
-2.308938681052923	9.324744957268843e-09	9.324744957268843e-09
-2.285784619139227	9.324744957268843e-09	9.324744957268843e-09
-2.2811536046517844	1.8649489914537685e-08	1.3187180784239725e-08
-2.2626288775138703	9.324744957268843e-09	9.324744957268843e-09
-2.2302080494177807	9.324744957268843e-09	9.324744957268843e-09
-2.225576239187924	9.324744957268843e-09	9.324744957268843e-09
-2.2209443635231114	1.8649489914537685e-08	1.3187180784239725e-08
-2.193151742958317	1.8649489914537685e-08	1.3187180784239725e-08
-2.1885194130280867	9.324744957268843e-09	9.324744957268843e-09
-2.1838870187428054	9.324744957268843e-09	9.324744957268843e-09
-2.1653568007519333	9.324744957268843e-09	9.324744957268843e-09
-2.1607240867170487	9.324744957268843e-09	9.324744957268843e-09
-2.151458468148191	9.324744957268843e-09	9.324744957268843e-09
-2.128293316786068	1.8649489914537685e-08	1.3187180784239725e-08
-2.109760068105161	9.324744957268843e-09	9.324744957268843e-09
-2.1051266004513454	1.8649489914537685e-08	1.3187180784239725e-08
-2.0958594795096928	2.797423487180653e-08	1.6150932033611315e-08
-2.091225826492259	9.324744957268843e-09	9.324744957268843e-09
-2.0680566413478996	9.324744957268843e-09	9.324744957268843e-09
-2.0634226212542854	9.324744957268843e-09	9.324744957268843e-09
-2.0587885404546977	9.324744957268843e-09	9.324744957268843e-09
-2.0448859351729194	9.324744957268843e-09	9.324744957268843e-09
-2.0263482864548017	9.324744957268843e-09	9.324744957268843e-09
-2.012444423395837	1.8649489914537685e-08	1.3187180784239725e-08
-1.9985400273800622	9.324744957268843e-09	9.324744957268843e-09
-1.9939051109050592	9.324744957268843e-09	9.324744957268843e-09
-1.9660943846012229	9.324744957268843e-09	9.324744957268843e-09
-1.9475527413270863	9.324744957268843e-09	9.324744957268843e-09
-1.942917186866345	1.8649489914537685e-08	1.3187180784239725e-08
-1.9336459065226472	9.324744957268843e-09	9.324744957268843e-09
-1.9290101809107036	9.324744957268843e-09	9.324744957268843e-09
-1.915102663940754	9.324744957268843e-09	9.324744957268843e-09
-1.910466712024518	9.324744957268843e-09	9.324744957268843e-09
-1.90583070387107	9.324744957268843e-09	9.324744957268843e-09
-1.9011946396159711	1.8649489914537685e-08	1.3187180784239725e-08
-1.8965585193947905	9.324744957268843e-09	9.324744957268843e-09
-1.878013481560922	1.8649489914537685e-08	1.3187180784239725e-08
-1.854830941303459	9.324744957268843e-09	9.324744957268843e-09
-1.850194268879566	9.324744957268843e-09	9.324744957268843e-09
-1.8455575419813908	9.324744957268843e-09	9.324744957268843e-09
-1.794549989605151	9.324744957268843e-09	9.324744957268843e-09
-1.7852751968845468	9.324744957268843e-09	9.324744957268843e-09
-1.73426010699159	9.324744957268843e-09	9.324744957268843e-09
-1.7249839667608968	9.324744957268843e-09	9.324744957268843e-09
-1.7203458203648048	2.797423487180653e-08	1.6150932033611315e-08
-1.7157076232960469	1.8649489914537685e-08	1.3187180784239725e-08
-1.7110693756905055	1.8649489914537685e-08	1.3187180784239725e-08
-1.7064310776840705	1.8649489914537685e-08	1.3187180784239725e-08
-1.70179272941264	9.324744957268843e-09	9.324744957268843e-09
-1.6971543310121182	1.8649489914537685e-08	1.3187180784239725e-08
-1.6925158826184175	9.324744957268843e-09	9.324744957268843e-09
-1.6878773843674577	1.8649489914537685e-08	1.3187180784239725e-08
-1.6832388363951654	9.324744957268843e-09	9.324744957268843e-09
-1.641489689616114	1.8649489914537685e-08	1.3187180784239725e-08
-1.6368506519080745	9.324744957268843e-09	9.324744957268843e-09
-1.632211565974377	9.324744957268843e-09	9.324744957268843e-09
-1.6229332499740654	9.324744957268843e-09	9.324744957268843e-09
-1.609015417681722	9.324744957268843e-09	9.324744957268843e-09
-1.604376045250599	9.324744957268843e-09	9.324744957268843e-09
-1.5626195823956424	9.324744957268843e-09	9.324744957268843e-09
-1.5486999276693338	9.324744957268843e-09	9.324744957268843e-09
-1.5440599512986188	1.8649489914537685e-08	1.3187180784239725e-08
-1.5254995921365895	9.324744957268843e-09	9.324744957268843e-09
-1.4837361671744456	9.324744957268843e-09	9.324744957268843e-09
-1.4744549215059644	9.324744957268843e-09	9.324744957268843e-09
-1.4698142334119306	9.324744957268843e-09	9.324744957268843e-09
-1.4651735019930316	9.324744957268843e-09	9.324744957268843e-09
-1.4605327273855229	2.797423487180653e-08	1.6150932033611315e-08
-1.4558919097256653	9.324744957268843e-09	9.324744957268843e-09
-1.4326871804107588	9.324744957268843e-09	9.324744957268843e-09
-1.4234049920882264	9.324744957268843e-09	9.324744957268843e-09
-1.4141226359175894	1.8649489914537685e-08	1.3187180784239725e-08
-1.386274571223234	9.324744957268843e-09	9.324744957268843e-09
-1.3816330832625143	1.8649489914537685e-08	1.3187180784239725e-08
-1.3677083755161832	9.324744957268843e-09	9.324744957268843e-09
-1.3630667254339448	1.8649489914537685e-08	1.3187180784239725e-08
-1.349141534596313	9.324744957268843e-09	9.324744957268843e-09
-1.3352159857368207	1.8649489914537685e-08	1.3187180784239725e-08
-1.3305740571931897	9.324744957268843e-09	9.324744957268843e-09
-1.3212900825388088	9.324744957268843e-09	9.324744957268843e-09
-1.3120059520378806	1.8649489914537685e-08	1.3187180784239725e-08
-1.3073638286860878	9.324744957268843e-09	9.324744957268843e-09
-1.3027216667820203	2.797423487180653e-08	1.6150932033611315e-08
-1.270225465453727	1.8649489914537685e-08	1.3187180784239725e-08
-1.2655830000447161	9.324744957268843e-09	9.324744957268843e-09
-1.2562979573915762	9.324744957268843e-09	9.324744957268843e-09
-1.2516553804204855	9.324744957268843e-09	9.324744957268843e-09
-1.237727428567473	1.8649489914537685e-08	1.3187180784239725e-08
-1.2330847047583489	1.8649489914537685e-08	1.3187180784239725e-08
-1.2284419445810744	9.324744957268843e-09	9.324744957268843e-09
-1.2237991481722046	9.324744957268843e-09	9.324744957268843e-09
-1.2145134472059207	9.324744957268843e-09	9.324744957268843e-09
-1.2098705429216423	1.8649489914537685e-08	1.3187180784239725e-08
-1.2052276029520375	9.324744957268843e-09	9.324744957268843e-09
-1.2005846274336878	9.324744957268843e-09	9.324744957268843e-09
-1.1959416165031787	1.8649489914537685e-08	1.3187180784239725e-08
-1.1866554889520522	1.8649489914537685e-08	1.3187180784239725e-08
-1.182012372604633	9.324744957268843e-09	9.324744957268843e-09
-1.1773692213914495	9.324744957268843e-09	9.324744957268843e-09
-1.168082814914244	9.324744957268843e-09	9.324744957268843e-09
-1.149509589581929	2.797423487180653e-08	1.6150932033611315e-08
-1.140222772912973	9.324744957268843e-09	9.324744957268843e-09
-1.117005145000856	9.324744957268843e-09	9.324744957268843e-09
-1.0984304487019076	9.324744957268843e-09	9.324744957268843e-09
-1.0937866932704734	9.324744957268843e-09	9.324744957268843e-09
-1.0844990857364594	9.324744957268843e-09	9.324744957268843e-09
-1.0752113502189777	1.8649489914537685e-08	1.3187180784239725e-08
-1.0705674348082266	9.324744957268843e-09	9.324744957268843e-09
-1.0659234878117667	9.324744957268843e-09	9.324744957268843e-09
-1.0612795093663268	1.8649489914537685e-08	1.3187180784239725e-08
-1.056635499608641	9.324744957268843e-09	9.324744957268843e-09
-1.0519914586754469	9.324744957268843e-09	9.324744957268843e-09
-1.0334149859225201	9.324744957268843e-09	9.324744957268843e-09
-1.0101937099429321	9.324744957268843e-09	9.324744957268843e-09
-1.0055493647762686	9.324744957268843e-09	9.324744957268843e-09
-1.000904989938518	9.324744957268843e-09	9.324744957268843e-09
-0.9962605855664723	9.324744957268843e-09	9.324744957268843e-09
-0.9916161517969281	9.324744957268843e-09	9.324744957268843e-09
-0.9869716887666858	1.8649489914537685e-08	1.3187180784239725e-08
-0.9823271966125504	1.8649489914537685e-08	1.3187180784239725e-08
-0.9683935467749056	9.324744957268843e-09	9.324744957268843e-09
-0.9637489394933373	9.324744957268843e-09	9.324744957268843e-09
-0.9591043037719654	9.324744957268843e-09	9.324744957268843e-09
-0.9544596397476218	2.797423487180653e-08	1.6150932033611315e-08
-0.9498149475571409	9.324744957268843e-09	9.324744957268843e-09
-0.9312358998706826	9.324744957268843e-09	9.324744957268843e-09
-0.9265910689021806	9.324744957268843e-09	9.324744957268843e-09
-0.9219462105886368	9.324744957268843e-09	9.324744957268843e-09
-0.9033665066213679	9.324744957268843e-09	9.324744957268843e-09
-0.8940764941261192	9.324744957268843e-09	9.324744957268843e-09
-0.8894314482296799	1.8649489914537685e-08	1.3187180784239725e-08
-0.8847863760832171	9.324744957268843e-09	9.324744957268843e-09
-0.8615606263920118	2.797423487180653e-08	1.6150932033611315e-08
-0.8569153996203378	1.8649489914537685e-08	1.3187180784239725e-08
-0.8522701475569855	9.324744957268843e-09	9.324744957268843e-09
-0.847624870338876	9.324744957268843e-09	9.324744957268843e-09
-0.8429795681029355	3.729897982907537e-08	1.8649489914537685e-08
-0.8290435126574319	9.324744957268843e-09	9.324744957268843e-09
-0.8243981117194908	9.324744957268843e-09	9.324744957268843e-09
-0.8197526864483994	1.8649489914537685e-08	1.3187180784239725e-08
-0.815107236981105	2.797423487180653e-08	1.6150932033611315e-08
-0.8011707447715251	1.8649489914537685e-08	1.3187180784239725e-08
-0.7965251998889591	2.797423487180653e-08	1.6150932033611315e-08
-0.7918796314949782	2.797423487180653e-08	1.6150932033611315e-08
-0.782588424720648	1.8649489914537685e-08	1.3187180784239725e-08
-0.7779427866142454	9.324744957268843e-09	9.324744957268843e-09
-0.773297125544322	9.324744957268843e-09	9.324744957268843e-09
-0.7640057350618407	9.324744957268843e-09	9.324744957268843e-09
-0.759360005923257	1.8649489914537685e-08	1.3187180784239725e-08
-0.7547142543690994	9.324744957268843e-09	9.324744957268843e-09
-0.7500684805363635	9.324744957268843e-09	9.324744957268843e-09
-0.7454226845620475	2.797423487180653e-08	1.6150932033611315e-08
-0.7407768665831529	1.8649489914537685e-08	1.3187180784239725e-08
-0.7361310267366847	2.797423487180653e-08	1.6150932033611315e-08
-0.7314851651596519	1.8649489914537685e-08	1.3187180784239725e-08
-0.726839281989065	9.324744957268843e-09	9.324744957268843e-09
-0.7175474514152922	1.8649489914537685e-08	1.3187180784239725e-08
-0.7129015042861444	9.324744957268843e-09	9.324744957268843e-09
-0.7036095470284481	1.8649489914537685e-08	1.3187180784239725e-08
-0.6989635371739567	9.324744957268843e-09	9.324744957268843e-09
-0.6943175066850797	1.8649489914537685e-08	1.3187180784239725e-08
-0.6896714556988535	9.324744957268843e-09	9.324744957268843e-09
-0.6803792927825145	3.729897982907537e-08	1.8649489914537685e-08
-0.6757331811264894	9.324744957268843e-09	9.324744957268843e-09
-0.6710870495212907	1.8649489914537685e-08	1.3187180784239725e-08
-0.6664408981039693	3.729897982907537e-08	1.8649489914537685e-08
-0.6617947270115805	1.8649489914537685e-08	1.3187180784239725e-08
-0.6571485363811804	3.729897982907537e-08	1.8649489914537685e-08
-0.6525023263498296	9.324744957268843e-09	9.324744957268843e-09
-0.6432098486325288	9.324744957268843e-09	9.324744957268843e-09
-0.6385635812207135	3.729897982907537e-08	1.8649489914537685e-08
-0.6246246664174715	9.324744957268843e-09	9.324744957268843e-09
-0.6199783244173819	9.324744957268843e-09	9.324744957268843e-09
-0.6153319641129228	1.8649489914537685e-08	1.3187180784239725e-08
-0.610685585641179	9.324744957268843e-09	9.324744957268843e-09
-0.6060391891392386	9.324744957268843e-09	9.324744957268843e-09
-0.6013927747441913	3.729897982907537e-08	1.8649489914537685e-08
-0.5967463425931309	4.6623724786344214e-08	2.0850763597301505e-08
-0.5920998928231529	1.8649489914537685e-08	1.3187180784239725e-08
-0.5874534255713554	1.8649489914537685e-08	1.3187180784239725e-08
-0.5828069409748391	9.324744957268843e-09	9.324744957268843e-09
-0.5781604391707074	1.8649489914537685e-08	1.3187180784239725e-08
-0.5409878217167405	9.324744957268843e-09	9.324744957268843e-09
-0.5363411712141363	1.8649489914537685e-08	1.3187180784239725e-08
-0.5316945048750867	2.797423487180653e-08	1.6150932033611315e-08
-0.5270478228367228	1.8649489914537685e-08	1.3187180784239725e-08
-0.5224011252361764	1.8649489914537685e-08	1.3187180784239725e-08
-0.5177544122105827	4.6623724786344214e-08	2.0850763597301505e-08
-0.5131076838970781	4.6623724786344214e-08	2.0850763597301505e-08
-0.5084609404328029	9.324744957268843e-09	9.324744957268843e-09
-0.5038141819548981	3.729897982907537e-08	1.8649489914537685e-08
-0.49916740860050796	2.797423487180653e-08	1.6150932033611315e-08
-0.49452062050677814	7.459795965815074e-08	2.637436156847945e-08
-0.4898738178108566	4.6623724786344214e-08	2.0850763597301505e-08
-0.4852270006498943	2.797423487180653e-08	1.6150932033611315e-08
-0.4805801691610434	5.594846974361306e-08	2.2840867126899194e-08
-0.47593332348145856	9.324744957268843e-09	9.324744957268843e-09
-0.47128646374829636	1.8649489914537685e-08	1.3187180784239725e-08
-0.4666395900987152	9.324744957268843e-09	9.324744957268843e-09
-0.46199270266987674	1.8649489914537685e-08	1.3187180784239725e-08
