#Initialized GISAXS Reduction. Version 0.21
#Date: 14. November 2017 11:57AM
#Author: Dominique Dresen
#Contact: Dominique.Dresen@uni-koeln.de
#Extracted Yoneda between qz = 0.024 .. 0.029 A-1
#q/A-1	I/a.u.	sI/a.u.
-0.283173576424	5.06482260824e-08	2.2650575292e-08
-0.282711360587	5.06482260824e-08	2.2650575292e-08
-0.28224913646	1.11426097381e-07	3.35962324425e-08
-0.281786904058	1.11426097381e-07	3.35962324425e-08
-0.281324663394	9.11668069484e-08	3.03889356495e-08
-0.28086241448	8.10371617319e-08	2.86509632944e-08
-0.280400157331	6.07778712989e-08	2.48124620558e-08
-0.27993789196	6.07778712989e-08	2.48124620558e-08
-0.27947561838	8.10371617319e-08	2.86509632944e-08
-0.279013336604	8.10371617319e-08	2.86509632944e-08
-0.278551046646	8.10371617319e-08	2.86509632944e-08
-0.27808874852	3.03889356495e-08	1.75450601776e-08
-0.277626442238	3.03889356495e-08	1.75450601776e-08
-0.277164127814	4.0518580866e-08	2.0259290433e-08
-0.276701805261	1.01296452165e-08	1.01296452165e-08
-0.276239474593	1.01296452165e-08	1.01296452165e-08
-0.275777135823	2.0259290433e-08	1.43254816472e-08
-0.275314788964	4.0518580866e-08	2.0259290433e-08
-0.27485243403	4.0518580866e-08	2.0259290433e-08
-0.274390071034	5.06482260824e-08	2.2650575292e-08
-0.27392769999	5.06482260824e-08	2.2650575292e-08
-0.273465320911	6.07778712989e-08	2.48124620558e-08
-0.27300293381	8.10371617319e-08	2.86509632944e-08
-0.272540538701	3.03889356495e-08	1.75450601776e-08
-0.272078135596	5.06482260824e-08	2.2650575292e-08
-0.271615724511	4.0518580866e-08	2.0259290433e-08
-0.271153305457	1.11426097381e-07	3.35962324425e-08
-0.270690878448	5.06482260824e-08	2.2650575292e-08
-0.270228443497	5.06482260824e-08	2.2650575292e-08
-0.269766000619	2.0259290433e-08	1.43254816472e-08
-0.269303549826	4.0518580866e-08	2.0259290433e-08
-0.268841091132	2.0259290433e-08	1.43254816472e-08
-0.26837862455	1.01296452165e-08	1.01296452165e-08
-0.267916150093	4.0518580866e-08	2.0259290433e-08
-0.267453667776	3.03889356495e-08	1.75450601776e-08
-0.26699117761	1.01296452165e-08	1.01296452165e-08
-0.26652867961	6.07778712989e-08	2.48124620558e-08
-0.26606617379	7.09075165154e-08	2.68005221121e-08
-0.265603660162	1.11426097381e-07	3.35962324425e-08
-0.265141138739	2.0259290433e-08	1.43254816472e-08
-0.264678609536	3.03889356495e-08	1.75450601776e-08
-0.264216072566	3.03889356495e-08	1.75450601776e-08
-0.263290975377	3.03889356495e-08	1.75450601776e-08
-0.262828415185	5.06482260824e-08	2.2650575292e-08
-0.26236584728	7.09075165154e-08	2.68005221121e-08
-0.261903271674	5.06482260824e-08	2.2650575292e-08
-0.261440688381	2.0259290433e-08	1.43254816472e-08
-0.260978097415	4.0518580866e-08	2.0259290433e-08
-0.260515498788	2.0259290433e-08	1.43254816472e-08
-0.260052892515	6.07778712989e-08	2.48124620558e-08
-0.259590278609	3.03889356495e-08	1.75450601776e-08
-0.259127657083	1.31685387814e-07	3.65229552303e-08
-0.25866502795	8.10371617319e-08	2.86509632944e-08
-0.258202391224	7.09075165154e-08	2.68005221121e-08
-0.257739746919	1.01296452165e-07	3.20327507735e-08
-0.257277095047	4.0518580866e-08	2.0259290433e-08
-0.256814435623	7.09075165154e-08	2.68005221121e-08
-0.256351768659	1.01296452165e-08	1.01296452165e-08
-0.25588909417	5.06482260824e-08	2.2650575292e-08
-0.255426412168	4.0518580866e-08	2.0259290433e-08
-0.254963722666	9.11668069484e-08	3.03889356495e-08
-0.25450102568	1.01296452165e-08	1.01296452165e-08
-0.25403832122	5.06482260824e-08	2.2650575292e-08
-0.253575609302	3.03889356495e-08	1.75450601776e-08
-0.253112889939	6.07778712989e-08	2.48124620558e-08
-0.252650163143	5.06482260824e-08	2.2650575292e-08
-0.252187428929	4.0518580866e-08	2.0259290433e-08
-0.25172468731	8.10371617319e-08	2.86509632944e-08
-0.2512619383	5.06482260824e-08	2.2650575292e-08
-0.25079918191	5.06482260824e-08	2.2650575292e-08
-0.250336418157	5.06482260824e-08	2.2650575292e-08
-0.249873647051	5.06482260824e-08	2.2650575292e-08
-0.249410868608	2.0259290433e-08	1.43254816472e-08
-0.24894808284	3.03889356495e-08	1.75450601776e-08
