#File generated by ModelExp v0.6.7
#Read datafile: ../../mftFiles/DD205_4_300K_500mT_d.mft
#Read datafile: ../../mftFiles/DD205_4_300K_500mT_u.mft
#Started Fit at 2018-12-31 00:57:48.493481
#Finished Fit at 2018-12-31 00:57:48.527048
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 5
#    # data points      = 239
#    # variables        = 1
#    chi-square         = 9880.29137
#    reduced chi-square = 41.5138293
#    Akaike info crit   = 891.518261
#    Bayesian info crit = 894.994725
#[[Variables]]
#    i0:                      0.921 (fixed)
#    bg:                      1.4e-07 (fixed)
#    roughnessSubstrate:      20.04103 (fixed)
#    roughnessSpacer:         23.52761 (fixed)
#    roughnessShellCube:      14.57009 (fixed)
#    roughnessCubeShell:      22.31643 (fixed)
#    roughnessShellAir:       8.4 (fixed)
#    a:                       93.8 (fixed)
#    sigA:                    0 (fixed)
#    packingDensity:          0.506359 (fixed)
#    sldSubstrate:            2.079e-06 (fixed)
#    sldCore:                 6.194e-06 (fixed)
#    sldSpacer:               4.186e-06 (fixed)
#    sldShellLower:           7.8e-08 (fixed)
#    sldShellTop:             7.8e-08 (fixed)
#    thicknessSpacer:         24.25716 (fixed)
#    thicknessShellLower:     36.601 (fixed)
#    thicknessShellTop:       39.6 (fixed)
#    coverage:                1 (fixed)
#    orderHermite:            10 (fixed)
#    magSldCore:              5.7520e-07 +/- 3.4964e-08 (6.08%) (init = 5.73e-07)
#    polarization_m:         -1 (fixed)
#    polarizationEfficiency:  0.99 (fixed)
#    gamma:                   0 (fixed)
#    polarization_p:          1 (fixed)

#[[Data]] m
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00437475	1.04327	0.05069	0.9210001399999994
0.00447001	1.02105	0.0479463	0.9210001399999997
0.00456577	0.996471	0.0429373	0.92100014
0.00466573	0.973497	0.0381632	0.9210001400000001
0.00476603	0.982134	0.0361185	0.92100014
0.00486648	0.989529	0.0336058	0.9210001400000002
0.00497126	0.977708	0.0309519	0.92100014
0.00508066	0.98151	0.0286353	0.9210001400000002
0.00519008	0.983379	0.0278134	0.92100014
0.00529927	0.980515	0.0258883	0.92100014
0.00541316	0.962318	0.0236904	0.92100014
0.00553206	0.952113	0.0217392	0.92100014
0.00565629	0.933411	0.0199018	0.9210001400000001
0.00578015	0.949349	0.0195811	0.92100014
0.00590331	0.960299	0.0184981	0.9210001399999999
0.00603183	0.965667	0.0174525	0.92100014
0.00616607	0.952456	0.0162255	0.92100014
0.00630642	0.950841	0.0152148	0.92100014
0.00644575	0.948532	0.0150513	0.92100014
0.0065836	0.94801	0.014173	0.9210001400000003
0.00672748	0.950679	0.0133728	0.92100014
0.00687778	0.951174	0.0125964	0.92100014
0.00703496	0.955825	0.0119552	0.9210001399999999
0.00719007	0.944915	0.0119589	0.9210001399999999
0.00734251	0.944116	0.0113509	0.9210001399999999
0.00750156	0.946652	0.0108183	0.9210001399999999
0.00766764	0.949861	0.0103028	0.92100014
0.00784125	0.936158	0.00972102	0.9210001399999999
0.0080229	0.934797	0.00921307	0.9210001399999997
0.00820092	0.943025	0.00941495	0.92100014
0.00837444	0.949122	0.00903857	0.92100014
0.00855545	0.943842	0.00860332	0.9210001399999999
0.00874447	0.926862	0.00814028	0.92100014
0.00894203	0.910548	0.00768114	0.9210001399999995
0.00914872	0.889071	0.00724234	0.9210001399999997
0.0093652	0.855824	0.00679689	0.9171265374723145
0.00957546	0.806523	0.00683773	0.9025920507355696
0.00977823	0.746094	0.00635264	0.8669555059237195
0.00998977	0.656173	0.0057562	0.7966312665722092
0.0102107	0.570544	0.00517708	0.6871403604897675
0.0104416	0.472153	0.00454116	0.5514698608528354
0.0106831	0.387963	0.00395474	0.41560202107304806
0.0109361	0.301504	0.00334107	0.3025331365485521
0.0112014	0.228256	0.00277367	0.22104240316607507
0.011456	0.170684	0.00250327	0.17036172180302972
0.0116978	0.132412	0.00209964	0.1382695861628344
0.0119501	0.105071	0.00178023	0.1146767568276429
0.0122135	0.083974	0.00151359	0.09670831560562092
0.0124888	0.0708022	0.00132717	0.08233213721900015
