[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,20327486.64,08/24/2018,3:30 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC1014,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM707,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,704,PREAMP_SERIAL_NUMBER
INFO,822,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,CoFe2O4,SAMPLE_MATERIAL
INFO,Cobalt deficient,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,27,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,20327501.94,300.0588379,-0.137013956904411,,,2,,,,24.1400007599592,,,,,,,300.0588379,300.0588379,-0.137013956904411,-0.137013956904411,,,8.102614,,,,-99999999,4881,300.7981,-0.137013956904411,,,,,,,,,,,,,,,,,,,,,,,300.0588379,,,,
sample offset = 33.03 mm touchdown = 16.0000007599592 mm,20327542.84,300.0683899,-0.0152237731963396,-5.54404048965597E-5,1.04378579198033E-6,1,0.999253354069792,40.0298881530762,1.98315164314342,24.1199992597103,-0.00054458764904658,-0.000559080593495837,0.25,-4.01659933534912E-5,-5.54120304252179E-5,-4.02014038738557E-5,300.0683899,300.0683899,-0.0304475463926792,0,53.6501999314864,19.5329214037163,7.343312,0,0,0,40,4929,300.77035,-0.0152237731963396,,,,,,,,,,,,,0,,,,0,,,,,,300.0683899,,,,
,20327557.395,300.0677948,16.4346203804016,-5.37753087769055E-5,1.50723407841081E-6,1,0.999253354069792,40.0298881530762,1.98372474269818,24.1199992597103,-0.000527821559041764,-0.000545646666655598,0.25,-3.92451368828216E-5,-5.37475972984463E-5,-3.9279477083166E-5,300.0677795,300.0678101,13.6712808609009,19.1979598999023,53.8229398342365,19.5240717951783,7.343312,0,0,0,40,4961,300.7584,16.4346203804016,,,,,,,,,,,,,0,,,,0,,,,,,300.0677948,,,,
,20327557.975,300.0677795,40.151050567627,1.3548946603026E-5,2.99768461113639E-6,1,0.999253354069792,40.0298881530762,1.9836290202328,24.1199992597103,0.000135122666040676,0.000125111090782178,0.25,8.78784130998722E-6,1.3542692951783E-5,8.79652884548385E-6,300.0677795,300.0677795,19.1979598999023,61.1041412353516,54.0464855907365,19.5192617212946,7.722963,0,0,0,40,4961,300.75875,40.151050567627,,,,,,,,,,,,,0,,,,0,,,,,,300.0677795,,,,
,20327558.96,300.0677795,84.5712738037109,0.000162015914746794,7.90307829633718E-6,1,0.999253354069792,40.0298881530762,1.98376327429842,24.1299998015165,0.00160244882372582,0.00157365956048282,0.25,0.000111981351086825,0.000161936568275925,0.000112085012893856,300.0677795,300.0677795,61.1041412353516,108.03840637207,53.7510300104672,19.5222342139194,7.722963,0,0,0,40,4961,300.7591,84.5712738037109,,,,,,,,,,,,,0,,,,0,,,,,,300.0677795,,,,
,20327560.06,300.0667419,137.630027770996,0.00032940874541124,9.05338911142312E-6,1,0.999253354069792,40.0298881530762,1.98358748220725,24.1199992597103,0.00325461424233576,0.00321768101650936,0.25,0.000229317380976201,0.000329246346355083,0.000229528101280419,300.0657043,300.0677795,108.03840637207,167.221649169922,53.9464371402749,19.5249040803165,7.722963,0,0,0,40,4961,300.7575,137.630027770996,,,,,,,,,,,,,0,,,,0,,,,,,300.0667419,,,,
,20327561.1,300.0661926,187.131118774414,0.000499593349093117,1.13607409126155E-5,1,0.999253354069792,40.0298881530762,1.98365974383891,24.1299998015165,0.00493519913548807,0.00488622346726267,0.25,0.000348325212447246,0.000499346703726763,0.000348644789816778,300.0657043,300.0666809,167.221649169922,207.040588378906,53.9487820258326,19.5220121737596,7.722963,0,0,0,40,4961,300.7553,187.131118774414,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.0661926,,,,
,20327562.07,300.0666809,234.482681274414,0.000640831174220554,1.44879025780117E-5,1,0.999253354069792,40.0298881530762,1.98368042170519,24.1199992597103,0.00631846850981517,0.00633691973076062,0.25,0.000452963924395005,0.00064051070749876,0.000453373642684899,300.0666809,300.0666809,207.040588378906,261.924774169922,53.7815135227172,19.5225529782965,8.102614,0,0,0,40,4961,300.75405,234.482681274414,,,,,,,,,,,,,0,,,,0.00245,,,,,,300.0666809,,,,
,20327563.195,300.06655885,291.816940307617,0.000778062746487698,1.25529830020794E-5,1,0.999253354069792,40.0298881530762,1.98374814906082,24.1199992597103,0.0076987155302091,0.00753881981860817,0.25,0.000536136035454572,0.00077768281319566,0.000536633937879937,300.0664368,300.0666809,261.924774169922,321.709106445313,53.9644145962173,19.5212493451217,7.343312,0,0,0,40,4961,300.75385,291.816940307617,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.06655885,,,,
,20327564.25,300.0664368,344.193832397461,0.000893495746635459,1.70561030695628E-5,1,0.999253354069792,40.0298881530762,1.9837203127403,24.1299998015165,0.0088274853898359,0.00873386142941096,0.25,0.000622503358739788,0.000893054934297743,0.000623074909425389,300.0664368,300.0664368,321.709106445313,366.678558349609,53.8839068587365,19.5222376175346,7.722963,0,0,0,40,4961,300.75445,344.193832397461,,,,,,,,,,,,,0,,,,-0.00245,,,,,,300.0664368,,,,
,20327565.26,300.0663605,394.217468261719,0.000990431531438618,1.83296466733365E-5,1,0.999253354069792,40.0298881530762,1.98382162661241,24.1199992597103,0.00979429930295727,0.00963201659232255,0.25,0.000685601925145023,0.000989945835626628,0.000686235627770579,300.0662842,300.0664368,366.678558349609,421.756378173828,54.0371060485057,19.5194558955704,7.722963,0,0,0,40,4961,300.7534,394.217468261719,,,,,,,,,,,,,0,,,,0,,,,,,300.0663605,,,,
,20327566.36,300.0662842,448.991714477539,0.00114971540170193,2.40067963748884E-5,1,0.999253354069792,40.0298881530762,1.98379619366579,24.1299998015165,0.011365552027296,0.0112025922311017,0.25,0.000797790442672331,0.00114915032682473,0.000798525993094802,300.0662842,300.0662842,421.756378173828,476.22705078125,53.9018843146788,19.5216085268504,7.722963,0,0,0,40,4961,300.75435,448.991714477539,,,,,,,,,,,,,0,,,,0,,,,,,300.0662842,,,,
